value,birthday,denominator_exponent,minimum_vertices,minimum_edges,predicted_forms,observed_forms
0,0,0,1,0,1,1
-1,1,0,2,1,1,1
1,1,0,2,1,1,1
-2,2,0,3,2,2,2
-1/2,2,1,3,3,1,1
1/2,2,1,3,3,1,1
2,2,0,3,2,2,2
-3,3,0,4,3,8,8
-3/2,3,1,4,4,4,4
-3/4,3,2,4,5,2,2
-1/4,3,2,4,5,2,2
1/4,3,2,4,5,2,2
3/4,3,2,4,5,2,2
3/2,3,1,4,4,4,4
3,3,0,4,3,8,8
-4,4,0,5,4,64,64
-5/2,4,1,5,5,32,32
-7/4,4,2,5,6,16,16
-5/4,4,2,5,6,16,16
-7/8,4,3,5,7,8,8
-5/8,4,3,5,7,8,8
-3/8,4,3,5,7,8,8
-1/8,4,3,5,7,8,8
1/8,4,3,5,7,8,8
3/8,4,3,5,7,8,8
5/8,4,3,5,7,8,8
7/8,4,3,5,7,8,8
5/4,4,2,5,6,16,16
7/4,4,2,5,6,16,16
5/2,4,1,5,5,32,32
4,4,0,5,4,64,64
