number_of_terms,base_partial_sum_d2,all_upgraded_partial_sum_d2,infinite_base_value_from_theorem,infinite_upgraded_value_from_theorem
1,1/4,3/8,1,sqrt(omega)
2,3/8,9/16,1,sqrt(omega)
3,7/16,21/32,1,sqrt(omega)
4,15/32,45/64,1,sqrt(omega)
5,31/64,93/128,1,sqrt(omega)
6,63/128,189/256,1,sqrt(omega)
7,127/256,381/512,1,sqrt(omega)
8,255/512,765/1024,1,sqrt(omega)
9,511/1024,1533/2048,1,sqrt(omega)
10,1023/2048,3069/4096,1,sqrt(omega)
11,2047/4096,6141/8192,1,sqrt(omega)
12,4095/8192,12285/16384,1,sqrt(omega)
13,8191/16384,24573/32768,1,sqrt(omega)
14,16383/32768,49149/65536,1,sqrt(omega)
15,32767/65536,98301/131072,1,sqrt(omega)
16,65535/131072,196605/262144,1,sqrt(omega)
17,131071/262144,393213/524288,1,sqrt(omega)
18,262143/524288,786429/1048576,1,sqrt(omega)
19,524287/1048576,1572861/2097152,1,sqrt(omega)
20,1048575/2097152,3145725/4194304,1,sqrt(omega)
21,2097151/4194304,6291453/8388608,1,sqrt(omega)
22,4194303/8388608,12582909/16777216,1,sqrt(omega)
23,8388607/16777216,25165821/33554432,1,sqrt(omega)
24,16777215/33554432,50331645/67108864,1,sqrt(omega)
25,33554431/67108864,100663293/134217728,1,sqrt(omega)
26,67108863/134217728,201326589/268435456,1,sqrt(omega)
27,134217727/268435456,402653181/536870912,1,sqrt(omega)
28,268435455/536870912,805306365/1073741824,1,sqrt(omega)
29,536870911/1073741824,1610612733/2147483648,1,sqrt(omega)
30,1073741823/2147483648,3221225469/4294967296,1,sqrt(omega)
