value,rank,vertices,edges,cycle_rank,girth,leaves,internal,spacing,last_leaf_depth
0,0,1,0,0,,1,0,4,0
0,0,1,0,0,,1,0,6,0
-1,1,2,1,0,,1,1,4,1
-1,1,2,1,0,,1,1,6,1
1,1,2,1,0,,1,1,4,1
1,1,2,1,0,,1,1,6,1
-2,2,3,2,0,,1,2,4,2
-2,2,3,2,0,,1,2,6,2
-1/2,10,11,11,1,11,2,2,4,2
-1/2,14,15,15,1,15,2,2,6,2
1/2,10,11,11,1,11,2,2,4,2
1/2,14,15,15,1,15,2,2,6,2
2,2,3,2,0,,1,2,4,2
2,2,3,2,0,,1,2,6,2
-3,3,4,3,0,,1,3,4,3
-3,3,4,3,0,,1,3,6,3
-3/2,11,13,13,1,13,2,4,4,3
-3/2,15,17,17,1,17,2,4,6,3
-3/4,18,21,22,2,11,3,4,4,2
-3/4,26,29,30,2,15,3,4,6,2
-1/4,19,20,21,2,11,3,3,4,3
-1/4,27,28,29,2,15,3,3,6,3
1/4,19,20,21,2,11,3,3,4,3
1/4,27,28,29,2,15,3,3,6,3
3/4,18,21,22,2,11,3,4,4,2
3/4,26,29,30,2,15,3,4,6,2
3/2,11,13,13,1,13,2,4,4,3
3/2,15,17,17,1,17,2,4,6,3
3,3,4,3,0,,1,3,4,3
3,3,4,3,0,,1,3,6,3
-4,4,5,4,0,,1,4,4,4
-4,4,5,4,0,,1,4,6,4
-5/2,12,15,15,1,15,2,6,4,4
-5/2,16,19,19,1,19,2,6,6,4
-7/4,19,24,25,2,13,3,7,4,3
-7/4,27,32,33,2,17,3,7,6,3
-5/4,20,23,24,2,13,3,6,4,4
-5/4,28,31,32,2,17,3,6,6,4
-7/8,26,31,33,3,11,4,6,4,2
-7/8,38,43,45,3,15,4,6,6,2
-5/8,35,40,43,4,11,5,7,4,3
-5/8,51,56,59,4,15,5,7,6,3
-3/8,35,39,42,4,11,5,6,4,3
-3/8,51,55,58,4,15,5,6,6,3
-1/8,28,29,31,3,11,4,4,4,4
-1/8,40,41,43,3,15,4,4,6,4
1/8,28,29,31,3,11,4,4,4,4
1/8,40,41,43,3,15,4,4,6,4
3/8,35,39,42,4,11,5,6,4,3
3/8,51,55,58,4,15,5,6,6,3
5/8,35,40,43,4,11,5,7,4,3
5/8,51,56,59,4,15,5,7,6,3
7/8,26,31,33,3,11,4,6,4,2
7/8,38,43,45,3,15,4,6,6,2
5/4,20,23,24,2,13,3,6,4,4
5/4,28,31,32,2,17,3,6,6,4
7/4,19,24,25,2,13,3,7,4,3
7/4,27,32,33,2,17,3,7,6,3
5/2,12,15,15,1,15,2,6,4,4
5/2,16,19,19,1,19,2,6,6,4
4,4,5,4,0,,1,4,4,4
4,4,5,4,0,,1,4,6,4
-5,5,6,5,0,,1,5,4,5
-5,5,6,5,0,,1,5,6,5
-7/2,13,17,17,1,17,2,8,4,5
-7/2,17,21,21,1,21,2,8,6,5
-11/4,20,27,28,2,15,3,10,4,4
-11/4,28,35,36,2,19,3,10,6,4
-9/4,21,26,27,2,15,3,9,4,5
-9/4,29,34,35,2,19,3,9,6,5
-15/8,27,35,37,3,13,4,10,4,3
-15/8,39,47,49,3,17,4,10,6,3
-13/8,36,45,48,4,13,5,12,4,4
-13/8,52,61,64,4,17,5,12,6,4
-11/8,36,44,47,4,13,5,11,4,4
-11/8,52,60,63,4,17,5,11,6,4
-9/8,29,33,35,3,13,4,8,4,5
-9/8,41,45,47,3,17,4,8,6,5
-15/16,34,41,44,4,11,5,8,4,2
-15/16,50,57,60,4,15,5,8,6,2
-13/16,51,60,65,6,11,7,11,4,3
-13/16,75,84,89,6,15,7,11,6,3
-11/16,59,69,75,7,11,8,12,4,3
-11/16,87,97,103,7,15,8,12,6,3
-9/16,52,59,64,6,11,7,10,4,4
-9/16,76,83,88,6,15,7,10,6,4
-7/16,51,58,63,6,11,7,9,4,3
-7/16,75,82,87,6,15,7,9,6,3
-5/16,60,67,73,7,11,8,10,4,4
-5/16,88,95,101,7,15,8,10,6,4
-3/16,52,57,62,6,11,7,8,4,4
-3/16,76,81,86,6,15,7,8,6,4
-1/16,37,38,41,4,11,5,5,4,5
-1/16,53,54,57,4,15,5,5,6,5
1/16,37,38,41,4,11,5,5,4,5
1/16,53,54,57,4,15,5,5,6,5
3/16,52,57,62,6,11,7,8,4,4
3/16,76,81,86,6,15,7,8,6,4
5/16,60,67,73,7,11,8,10,4,4
5/16,88,95,101,7,15,8,10,6,4
7/16,51,58,63,6,11,7,9,4,3
7/16,75,82,87,6,15,7,9,6,3
9/16,52,59,64,6,11,7,10,4,4
9/16,76,83,88,6,15,7,10,6,4
11/16,59,69,75,7,11,8,12,4,3
11/16,87,97,103,7,15,8,12,6,3
13/16,51,60,65,6,11,7,11,4,3
13/16,75,84,89,6,15,7,11,6,3
15/16,34,41,44,4,11,5,8,4,2
15/16,50,57,60,4,15,5,8,6,2
9/8,29,33,35,3,13,4,8,4,5
9/8,41,45,47,3,17,4,8,6,5
11/8,36,44,47,4,13,5,11,4,4
11/8,52,60,63,4,17,5,11,6,4
13/8,36,45,48,4,13,5,12,4,4
13/8,52,61,64,4,17,5,12,6,4
15/8,27,35,37,3,13,4,10,4,3
15/8,39,47,49,3,17,4,10,6,3
9/4,21,26,27,2,15,3,9,4,5
9/4,29,34,35,2,19,3,9,6,5
11/4,20,27,28,2,15,3,10,4,4
11/4,28,35,36,2,19,3,10,6,4
7/2,13,17,17,1,17,2,8,4,5
7/2,17,21,21,1,21,2,8,6,5
5,5,6,5,0,,1,5,4,5
5,5,6,5,0,,1,5,6,5
