A_word,B_word,spectrum,count_degree_1,count_degree_2,count_degree_3
aaa,aa,1,1,0,0
aaa,ab,1 2,2,2,0
aaa,ac,1 2,2,2,0
aaa,ba,1 2,2,2,0
aaa,bb,1 2 3,3,6,1
aaa,bc,1 2 3,3,6,1
aaa,ca,1 2,2,2,0
aaa,cb,1 2 3,3,6,1
aaa,cc,1 2 3,3,6,1
aab,aa,1,3,0,0
aab,ab,1,3,0,0
aab,ac,1 2,3,2,0
aab,ba,1 2,3,3,0
aab,bb,1 2,3,3,0
aab,bc,1 2 3,3,5,1
aab,ca,1 2,3,4,0
aab,cb,1 2,3,4,0
aab,cc,1 2 3,3,6,1
aac,aa,1,3,0,0
aac,ab,1 2,3,2,0
aac,ac,1,3,0,0
aac,ba,1 2,3,4,0
aac,bb,1 2 3,3,6,1
aac,bc,1 2,3,4,0
aac,ca,1 2,3,3,0
aac,cb,1 2 3,3,5,1
aac,cc,1 2,3,3,0
aca,aa,1,3,0,0
aca,ab,1 2,3,3,0
aca,ac,1 2,3,1,0
aca,ba,1 2,3,3,0
aca,bb,1 2 3,3,6,1
aca,bc,1 2,3,5,0
aca,ca,1 2,3,1,0
aca,cb,1 2,3,5,0
aca,cc,1 2,3,3,0
acc,aa,1 2,3,3,0
acc,ab,1 2,3,4,0
acc,ac,1,3,0,0
acc,ba,1 2 3,3,5,1
acc,bb,1 2 3,3,6,1
acc,bc,1 2,3,2,0
acc,ca,1 2,3,3,0
acc,cb,1 2,3,4,0
acc,cc,1,3,0,0
baa,aa,1,3,0,0
baa,ab,1 2,3,3,0
baa,ac,1 2,3,4,0
baa,ba,1,3,0,0
baa,bb,1 2,3,3,0
baa,bc,1 2,3,4,0
baa,ca,1 2,3,2,0
baa,cb,1 2 3,3,5,1
baa,cc,1 2 3,3,6,1
bab,aa,1 2,3,3,0
bab,ab,1 2,3,1,0
bab,ac,1 2,3,5,0
bab,ba,1 2,3,1,0
bab,bb,1,3,0,0
bab,bc,1 2,3,3,0
bab,ca,1 2,3,5,0
bab,cb,1 2,3,3,0
bab,cc,1 2 3,3,6,1
bac,aa,1 2,3,3,0
bac,ab,1 2,3,4,0
bac,ac,1 2,3,2,0
bac,ba,1 2,3,2,0
bac,bb,1 2,3,3,0
bac,bc,1 2,3,2,0
bac,ca,1 2,3,4,0
bac,cb,1 2 3,3,4,1
bac,cc,1 2,3,3,0
bbb,aa,1 2 3,3,6,1
bbb,ab,1 2,2,2,0
bbb,ac,1 2 3,3,6,1
bbb,ba,1 2,2,2,0
bbb,bb,1,1,0,0
bbb,bc,1 2,2,2,0
bbb,ca,1 2 3,3,6,1
bbb,cb,1 2,2,2,0
bbb,cc,1 2 3,3,6,1
bbc,aa,1 2 3,3,6,1
bbc,ab,1 2,3,4,0
bbc,ac,1 2,3,4,0
bbc,ba,1 2,3,2,0
bbc,bb,1,3,0,0
bbc,bc,1,3,0,0
