m,n,all_antichains,labelled_cores,degree_sorted_cores,core_orbits
2,0,1,0,0,0
2,1,4,0,0,0
2,2,1,0,0,0
3,0,1,0,0,0
3,1,8,0,0,0
3,2,9,0,0,0
3,3,2,1,1,1
4,0,1,0,0,0
4,1,16,0,0,0
4,2,55,0,0,0
4,3,64,0,0,0
4,4,25,8,5,3
4,5,6,6,1,1
4,6,1,1,1,1
5,0,1,0,0,0
5,1,32,0,0,0
5,2,285,0,0,0
5,3,1090,0,0,0
5,4,2020,0,0,0
5,5,2146,495,97,15
5,6,1380,850,163,21
5,7,490,445,61,15
5,8,115,115,15,7
5,9,20,20,2,2
5,10,2,2,2,2
6,0,1,0,0,0
6,1,64,0,0,0
6,2,1351,0,0,0
6,3,14000,0,0,0
6,4,82115,0,0,0
6,5,304752,0,0,0
6,6,759457,117821,11121,296
6,7,1308270,564330,30802,1141
6,8,1613250,1113390,43439,2133
6,9,1484230,1264720,40640,2416
6,10,1067771,998987,30753,1973
6,11,635044,618712,13428,1274
6,12,326990,323900,6614,706
6,13,147440,147020,2639,349
6,14,57675,57645,1318,159
6,15,19238,19238,378,65
6,16,5325,5325,164,25
6,17,1170,1170,33,9
6,18,190,190,14,3
6,19,20,20,1,1
6,20,1,1,1,1
