# m n family_key | target_columns | row_permutation | column_permutation | predecessor_columns
4 4 16936 | 3 5 9 14 | 0 1 3 2 | 0 2 1 3 | 3 8 5 14
4 4 5160 | 3 5 10 12 | 0 1 2 3 | 1 3 0 2 | 1 4 2 8
5 6 4342312 | 3 5 9 14 17 22 | 0 1 2 3 4 | 0 1 3 5 2 4 | 3 5 8 6 1 16
5 6 1327656 | 3 5 9 14 18 20 | 0 1 2 3 4 | 1 5 2 3 0 4 | 1 4 9 14 2 16
5 7 18104872 | 3 5 9 14 18 20 24 | 0 1 2 3 4 | 0 2 6 3 4 1 5 | 3 1 8 14 18 4 16
5 5 1073873448 | 3 5 9 17 30 | 0 1 2 4 3 | 0 1 3 2 4 | 3 5 16 9 30
5 6 18088488 | 3 5 9 18 20 24 | 0 1 2 3 4 | 0 2 5 3 1 4 | 3 1 8 18 4 16
5 5 268698152 | 3 5 9 18 28 | 0 1 2 4 3 | 2 1 3 0 4 | 1 5 16 2 28
5 6 37753896 | 3 5 10 12 22 25 | 0 1 2 3 4 | 1 3 0 2 4 5 | 1 4 2 8 22 25
5 5 17826856 | 3 5 10 20 24 | 0 1 2 3 4 | 1 3 0 4 2 | 1 4 2 16 8
5 5 34604072 | 3 5 10 20 25 | 0 1 2 4 3 | 1 3 0 2 4 | 1 4 2 8 25
5 5 37749800 | 3 5 10 22 25 | 0 1 2 4 3 | 1 3 0 2 4 | 1 4 2 10 25
5 5 37765160 | 3 5 14 22 25 | 0 1 2 4 3 | 0 1 3 2 4 | 3 5 20 14 25
5 5 337643648 | 7 11 21 26 28 | 0 1 2 3 4 | 0 2 4 1 3 | 7 1 20 10 24
6 8 283472183848 | 3 5 9 14 17 22 33 38 | 0 1 2 3 4 5 | 0 1 2 3 5 7 4 6 | 3 5 9 14 16 6 1 32
6 9 72057877510111784 | 3 5 9 14 17 22 33 38 56 | 0 1 2 3 4 5 | 0 1 2 3 5 7 4 6 8 | 3 5 9 14 16 6 1 32 56
6 9 288230659623895592 | 3 5 9 14 17 22 33 38 58 | 0 1 2 3 4 5 | 0 1 2 3 5 7 4 6 8 | 3 5 9 14 16 6 1 32 58
