k,T_k,a=1,a=3,a=4,a=5
0,1,1,0,0,0
1,2,1,1,0,0
2,4,1,3,0,0
3,7,1,4,2,0
4,13,1,7,5,0
5,24,1,14,9,0
6,44,1,19,24,0
7,81,1,33,43,4
8,149,1,60,82,6
9,274,1,94,167,12
10,504,1,168,295,40
11,927,1,301,552,73
12,1705,1,521,1048,135
13,3136,1,945,1890,300
14,5768,1,1711,3492,564
15,10609,1,3084,6482,1042
16,19513,1,5628,11846,2038
17,35890,1,10276,21794,3819
18,66012,1,18770,40188,7053
19,121415,1,34385,73796,13233
20,223317,1,63043,135677,24596
21,410744,1,115662,249705,45376
22,755476,1,212339,459140,83996
23,1389537,1,390021,844246,155269
24,2555757,1,716651,1552982,286123
25,4700770,1,1317053,2856321,527395
26,8646064,1,2421023,5252914,972126
27,15902591,1,4451134,9661580,1789876
28,29249425,1,8184100,17770640,3294684
29,53798080,1,15049126,32683802,6065151
30,98950096,1,27674836,60113914,11161345
31,181997601,1,50894685,110567458,20535457
32,334745777,1,93599861,203362437,37783478
33,615693474,1,172144044,374038027,69511402
34,1132436852,1,316603439,687964154,127869258
35,2082876103,1,582297921,1265358660,235219521
36,3831006429,1,1070978013,2327346428,432681987
37,7046319384,1,1969786673,4280656059,795876651
38,12960201916,1,3622932623,7873346580,1463922712
39,23837527729,1,6663518432,14481314830,2692694466
40,43844049029,1,12255992608,26635276818,4952779602
41,80641778674,1,22542101588,48989898434,9109778651
42,148323355432,1,41461138914,90106409756,16755806761
43,272809183135,1,76258584013,165731470048,30819129073
44,501774317241,1,140260923199,304827663193,56685730848
45,922906855808,1,257979393894,560665351185,104262110728
46,1697490356184,1,474497181595,1031224177604,191768996984
47,3122171529233,1,872735120593,1896716857434,352719551205
48,5742568741225,1,1605208389599,3488605910762,648754440863
49,10562230626642,1,2952436138213,6416546155249,1193248333179
50,19426970897100,1,5430373366399,11801867970210,2194729560490
51,35731770264967,1,9988009167402,21707018807824,4036742289740
52,65720971788709,1,18370806621528,39925430929292,7424734237888
53,120879712950776,1,33789172547102,73434315066018,13656225337655
54,222332455004452,1,62147965301908,135066761527306,25117728175237
55,408933139743937,1,114307912603233,248426502448230,46198724692473
56,752145307699165,1,210245006525665,456927571908897,84972729264602
57,1383410902447554,1,386700823611932,840420827004107,156289251831514
58,2544489349890656,1,711253658516103,1545774888393018,287460802981534
59,4680045560037375,1,1308199372464885,2843123268415968,528722919156521
60,8607945812375585,1,2406153693938241,5229318959663792,972473158773551
