index,numerator_parameters,denominator_parameters,positive_offset_denominators,negative_offset_denominators
1,12;1,6;4;3,1;2;3,12
2,12;3;2,6;6;4;1,1;2;6,12
3,12;1,8;3;2,1;2;8,6;12
4,12;3,8;6;1,1;2;8,3;12
5,12;3,6;5;4,1;2;5,3;12
6,12;5,10;4;3,1;2;10,6;12
7,18;1,9;6;4,1;2;3;4,18
8,9;2,6;4;1,1;2;4;6,9
9,9;4,8;3;2,1;2;8,9
10,18;4;3,9;8;6;2,1;2;8,18
11,9;1,5;3;2,1;2;5,9
12,18;5;3,10;9;6;1,1;2;10,18
13,18;4,12;9;1,1;3;12,2;18
14,12;2,9;4;1,1;9,2;6;12
15,18;2,9;6;5,1;3;5,2;18
16,10;6,9;5;2,1;9,2;6;10
17,14;3,9;7;1,1;9,2;14
18,18;3;2,9;7;6;1,1;7,2;18
19,12;2,7;4;3,1;7,2;6;12
20,14;6;4,12;7;3;2,1;3;12,2;14
21,14;1,7;5;3,1;3;5,2;14
22,10;6;1,7;5;3;2,1;7,2;6;10
23,15;1,9;5;2,1;2;9,15
24,30;9;5,18;15;10;1,1;2;18,30
25,15;4,12;5;2,1;2;6;12,15
26,30;5;4,15;12;10;2,1;2;3;12,30
27,15;4,8;6;5,1;2;6;8,15
28,30;5;4,15;10;8;6,1;2;3;8,30
29,15;2,10;4;3,1;2;4;10,15
30,30;3;2,15;10;6;4,1;2;4;5,30
31,30;1,15;10;6,1;2;3;5,30
32,15;2,10;6;1,1;2;6;10,15
33,15;7,14;5;3,1;2;14,15
34,30;5;3,15;10;7;6,1;2;7,30
35,30;5;3,15;12;10;1,1;2;4;12,30
36,15;6;1,12;5;3;2,1;2;4;12,15
37,15;1,8;5;3,1;2;4;8,15
38,30;5;3;2,15;10;8;6;1,1;2;4;8,30
39,20;3,12;10;1,1;2;6;12,20
40,20;6;1,12;10;3;2,1;2;3;12,20
41,20;1,10;8;3,1;2;3;8,20
42,20;3;2,10;8;6;1,1;2;6;8,20
43,20;1,10;7;4,1;2;7,20
44,20;7;2,14;10;4;1,1;2;14,20
45,20;3,10;9;4,1;2;9,20
46,20;9;6,18;10;4;3,1;2;18,20
47,24;1,12;8;5,1;2;4;5,24
48,24;5;2,12;10;8;1,1;2;4;10,24
49,24;4;1,12;8;7;2,1;2;7,24
50,24;7;4,14;12;8;1,1;2;14,24
51,24;4;3,12;9;8;2,1;2;9,24
52,24;9;6;4,18;12;8;3;2,1;2;18,24
