n,U_n
0,42
1,45287852610
2,5873158887743776788432
3,1645528285131615053352729526247883
4,651513824020384996737626629490778468760906320
5,314406314746403334995682847514374539526748439430075135170
6,172523704931604224756815181043682943827489294418534417377279597245600
7,103604277593518464654163934998688229861130887152419082762146541411915713004085210
8,66517416771222409923248785205195524317552073486468111176498656923047977296001294045381024976
9,44964785249300007193340697575172752537478203618101539334130789649740253644757835433834803577071367373840
10,31665932913584222081583787684226501767404704334985381396078374346595961585937864035923821124407037598779505039472320
11,23055979222301120494223560492314017405060477720122796826743584340407937670844655139309392418057255554059089057749918516308925850
12,17257665248371318186555520182430301725850321066317387632905259465053894894349351853219268952168943100343230114071200599200675685997150441632
13,13222204471343257806339612109741263866149501791127313999615365930997414681830749870345341918074088945146366875119081795023072823287716550239547437171147
14,10334193308832701459959656976941476547276186136975244587012370658152992269942743574623749778611744110297918447771390646831948729738371207319244838594087262531600080
15,8217266108532279799844983464151102349407147945955841906647089500105432157819610487782323195230058495745308632433994166056581122317234340590643127482358782165000923933678051460
16,6632951577412892865427565709645948131463761074240864539901143547061708268879602743230636708099368009040791729034351143612042953245522641347542143974462861898109019233059592137911070414800
17,5425449431455404894634890947074494770104341787753189260294221253206882258479589866518813271061925210661170271923199441105371702866061276119760448210851106150966597015500203725031172286012183939238928
18,4490208037638967165406197924206134552267833956445363282391057933617133347173233513109072272424472616358688345248362235091938145510108476873051403203703141719796951774161910137843024386665661226622258055464281984
19,3755390435977000698971440743298850747941793032967763251398452659954551808205550160054148800561309560874694135724472475371639398488247442571053426381994741330057015410059028932527612181141070409354998868547891077707711807460
20,3170591397886128694813987009292978855842130017709347103732141182672706648405123069155241542137767045811657305719680786283521719533651394271854052661501543793189613498052076998280245141439856200640380961296762672744713176153315914754240
21,2699773644045084927600948998898595974947899640676008530201743829002451148468293337240257521575418983870947253522008058197894449003402380823661484382071010185378607742003808163185161032128505283648485740411773748577145293212182157713835337412896450
22,2316733587308302571467492988669739532215156112681713997788555961130869208855728015288501172786151160987430908561672181558667150234150192489047004516292539659691643092293466789935935487123651149358318165401078417612784889314035926053978879219977875832196581920
23,2002124711871463226930988974420330114354883503698293654518890040964558634889362970780835317125810341665972739356131185626798673383494278202297248801098175690795533816439851851882552441993720578930677985039874763223997532293574550623395636053914012970512015853661479290940
24,1741463476805678380039518221680825978573375812563634166623083295273899965031000533343180272580090630798710959749876037521737571789202172221139115867897297330209130173424525153305162591921875056153428277625175347451756897156096329341408515710877538939092812811826548331299222675485600
25,1523768615828907585695818980982921826894562951177041298551693412433389766021109668847961732716723943698688998999626823133409318602719913638236116113916590597914474614159017705149792366336166448887246748173733160755244569996156821847852403939077316510732683265154686075832535533411191483444357920
26,1340616926770338479659296170230211965711860826777319506220214126861572261529123146315723862772463973832691383262421133811384153630065890320647959409219109425363870149833762249804208545237054805032724364942757194223276476352034546300879259551670599201543226379830234602203212924853251377788909260480271523600
27,1185477919775087441980536882910270824633384893359520447664881054304738842098573683502782623385270518483793811248403077793499259160290187396346761563180455770751238911987495985409543416598760875822878473552395800198697115219104416198789418438306990717828083951392100463641589965711847662752785660347117122104853212029945
28,1053238295052416091040720490150386398113917254518039163494704664748277808510948027049916885879030138468338947972135559718680356009624336420921197752931138102239954094429211100073562223037105113665977787334611059744229747073295964873082298225302694851564041257950483514309817265109491080897916699991299655740654753169035521214678480
29,939857631466883094656775277761046942497315569311881242463239293742166808622925501579322273696805959138898931914741604195039903602262506336819074354665193856919255539043937917711856862449039044028615658562398852685885411538817324895455460697328959323440128987863433095390937780191100309604414694835875826783102797114090234781693165112915775450
30,842116055504871687851648933714188318573737263707908537784902347295976260046216519066641411598995432048008052677336392697443701573724238616638162982316401353267044421687543043589400406713519615983978842726156108164752033877564972497568290854388472123702326210993885844753094341959870450634268686316574103382001599515823322780116389170232011774911725119200
31,757427236788245978791900071990820280199762531643002938145962421134367316172992180874586172977609403360257968412579229782611666205295544038515746846742629342751089741786607192451612930087753514620838414950076089881231457509819712275375159929365386227867308474218199792446547651655936930616297131126021327161815232632600850762071100821354539339865231957369177115581000
32,683698346079053683823642797542006037831833585323320256901439464108351101970343328556553446074977342087538224928759086251867034801852171233761869905152067299655803745376696779705188897349296201972728194610557820122077597036953943439564437927423482272013591395137060991605610349190948765772512618367321755549984923175298456751697846760426904250728068798358654735358728086917211600
