ratio,slopes,optimal_multiplier,prime,minimum_valuation,witness_n,states,edges
A,2,7,2,0,0,31,62
A,2,7,3,0,0,34,102
A,2,7,5,0,0,33,165
A,2,7,7,-1,10,33,231
A,2,7,11,0,0,33,363
A,2,7,13,0,0,33,429
A,2,7,17,0,0,32,544
A,2,7,19,0,0,32,608
A,2,7,23,0,0,32,736
A,2,7,29,0,0,32,928
A,3,1,2,0,0,36,72
A,3,1,3,0,0,31,93
A,3,1,5,0,0,34,170
A,3,1,7,0,0,33,231
A,3,1,11,0,0,33,363
A,3,1,13,0,0,32,416
A,3,1,17,0,0,33,561
A,3,1,19,0,0,32,608
A,3,1,23,0,0,33,759
A,3,1,29,0,0,33,957
A,5,1,2,0,0,37,74
A,5,1,3,0,0,36,108
A,5,1,5,0,0,31,155
A,5,1,7,0,0,35,245
A,5,1,11,0,0,32,352
A,5,1,13,0,0,35,455
A,5,1,17,0,0,35,595
A,5,1,19,0,0,33,627
A,5,1,23,0,0,35,805
A,5,1,29,0,0,33,957
A,2;3;5,42,2,-1,3,41,82
A,2;3;5,42,3,-1,16,38,114
A,2;3;5,42,5,0,0,36,180
A,2;3;5,42,7,-1,10,39,273
A,2;3;5,42,11,0,0,36,396
A,2;3;5,42,13,0,0,38,494
A,2;3;5,42,17,0,0,38,646
A,2;3;5,42,19,0,0,35,665
A,2;3;5,42,23,0,0,38,874
A,2;3;5,42,29,0,0,36,1044
B,1,385,2,0,0,17,34
B,1,385,3,0,0,16,48
B,1,385,5,-1,9,15,75
B,1,385,7,-1,20,15,105
B,1,385,11,-1,10,15,165
B,2,5,2,0,0,13,26
B,2,5,3,0,0,15,45
B,2,5,5,-1,2,15,75
B,2,5,7,0,0,14,98
B,2,5,11,0,0,14,154
B,3,1,2,0,0,16,32
B,3,1,3,0,0,13,39
B,3,1,5,0,0,15,75
B,3,1,7,0,0,14,98
B,3,1,11,0,0,15,165
B,1;2;3,770,2,-1,1,19,38
B,1;2;3,770,3,0,0,18,54
B,1;2;3,770,5,-1,2,19,95
B,1;2;3,770,7,-1,20,17,119
B,1;2;3,770,11,-1,10,18,198
