modulus,least_eventual_period,first_periodic_index,pure_from_index_1
1,1,0,1
2,1,0,1
3,2,1,1
4,1,0,1
5,2,1,1
6,2,1,1
7,6,1,1
8,4,0,1
9,6,1,1
10,2,1,1
11,10,1,1
12,2,1,1
13,6,1,1
14,6,1,1
15,2,1,1
16,8,0,1
17,8,1,1
18,6,1,1
19,18,1,1
20,2,1,1
21,6,1,1
22,10,1,1
23,22,1,1
24,4,1,1
25,10,1,1
26,6,1,1
27,18,2,0
28,6,1,1
29,14,1,1
30,2,1,1
31,30,1,1
32,16,0,1
33,10,1,1
34,8,1,1
35,6,1,1
36,6,1,1
37,18,1,1
38,18,1,1
39,6,1,1
40,4,1,1
41,20,1,1
42,6,1,1
43,42,1,1
44,10,1,1
45,6,1,1
46,22,1,1
47,46,1,1
48,8,1,1
49,42,1,1
50,10,1,1
51,8,1,1
52,6,1,1
53,26,1,1
54,18,2,0
55,10,1,1
56,12,1,1
57,18,1,1
58,14,1,1
59,58,1,1
60,2,1,1
61,30,1,1
62,30,1,1
63,6,1,1
64,32,0,1
65,6,1,1
66,10,1,1
67,66,1,1
68,8,1,1
69,22,1,1
70,6,1,1
71,70,1,1
72,12,1,1
73,36,1,1
74,18,1,1
75,10,1,1
76,18,1,1
77,30,1,1
78,6,1,1
79,78,1,1
80,8,1,1
81,54,2,0
82,20,1,1
83,82,1,1
84,6,1,1
85,8,1,1
86,42,1,1
87,14,1,1
88,20,1,1
89,44,1,1
90,6,1,1
91,6,1,1
92,22,1,1
93,30,1,1
94,46,1,1
95,18,1,1
96,16,1,1
97,48,1,1
98,42,1,1
99,30,1,1
100,10,1,1
101,50,1,1
102,8,1,1
103,102,1,1
104,12,1,1
105,6,1,1
106,26,1,1
107,106,1,1
108,18,2,0
109,54,1,1
110,10,1,1
111,18,1,1
112,24,1,1
113,56,1,1
114,18,1,1
115,22,1,1
116,14,1,1
117,6,1,1
118,58,1,1
119,24,1,1
120,4,1,1
121,110,1,1
122,30,1,1
123,20,1,1
124,30,1,1
125,50,2,0
126,6,1,1
127,126,1,1
128,64,0,1
129,42,1,1
130,6,1,1
131,130,1,1
132,10,1,1
133,18,1,1
134,66,1,1
135,18,2,0
136,8,1,1
137,68,1,1
138,22,1,1
139,138,1,1
140,6,1,1
141,46,1,1
142,70,1,1
143,30,1,1
144,24,1,1
145,14,1,1
146,36,1,1
147,42,1,1
148,18,1,1
149,74,1,1
150,10,1,1
151,150,1,1
152,36,1,1
153,24,1,1
154,30,1,1
155,30,1,1
156,6,1,1
157,78,1,1
158,78,1,1
159,26,1,1
160,16,1,1
161,66,1,1
162,54,2,0
163,162,1,1
164,20,1,1
165,10,1,1
166,82,1,1
167,166,1,1
168,12,1,1
169,78,1,1
170,8,1,1
171,18,1,1
172,42,1,1
173,86,1,1
174,14,1,1
175,30,1,1
176,40,1,1
177,58,1,1
178,44,1,1
179,178,1,1
180,6,1,1
181,90,1,1
182,6,1,1
183,30,1,1
184,44,1,1
185,18,1,1
186,30,1,1
187,40,1,1
188,46,1,1
189,18,2,0
190,18,1,1
191,190,1,1
192,32,1,1
193,96,1,1
194,48,1,1
195,6,1,1
196,42,1,1
197,98,1,1
198,30,1,1
199,198,1,1
200,20,1,1
201,66,1,1
202,50,1,1
203,42,1,1
204,8,1,1
205,20,1,1
206,102,1,1
207,66,1,1
208,24,1,1
209,90,1,1
210,6,1,1
211,210,1,1
212,26,1,1
213,70,1,1
214,106,1,1
215,42,1,1
216,36,2,0
217,30,1,1
218,54,1,1
219,36,1,1
220,10,1,1
221,24,1,1
222,18,1,1
223,222,1,1
224,48,1,1
225,30,1,1
226,56,1,1
227,226,1,1
228,18,1,1
229,114,1,1
230,22,1,1
231,30,1,1
232,28,1,1
233,116,1,1
234,6,1,1
235,46,1,1
236,58,1,1
237,78,1,1
238,24,1,1
239,238,1,1
240,8,1,1
241,120,1,1
242,110,1,1
243,162,3,0
244,30,1,1
245,42,1,1
246,20,1,1
247,18,1,1
248,60,1,1
249,82,1,1
250,50,2,0
251,250,1,1
252,6,1,1
253,110,1,1
254,126,1,1
255,8,1,1
256,128,0,1
257,128,1,1
258,42,1,1
259,18,1,1
260,6,1,1
261,42,1,1
262,130,1,1
263,262,1,1
264,20,1,1
265,26,1,1
266,18,1,1
267,44,1,1
268,66,1,1
269,134,1,1
270,18,2,0
271,270,1,1
272,8,1,1
273,6,1,1
274,68,1,1
275,10,1,1
276,22,1,1
277,138,1,1
278,138,1,1
279,30,1,1
280,12,1,1
281,140,1,1
282,46,1,1
283,282,1,1
284,70,1,1
285,18,1,1
286,30,1,1
287,60,1,1
288,48,1,1
289,136,1,1
290,14,1,1
291,48,1,1
292,36,1,1
293,146,1,1
294,42,1,1
295,58,1,1
296,36,1,1
297,90,2,0
298,74,1,1
299,66,1,1
300,10,1,1
301,42,1,1
302,150,1,1
303,50,1,1
304,72,1,1
305,30,1,1
306,24,1,1
307,306,1,1
308,30,1,1
309,102,1,1
310,30,1,1
311,310,1,1
312,12,1,1
313,156,1,1
314,78,1,1
315,6,1,1
316,78,1,1
317,158,1,1
318,26,1,1
319,70,1,1
320,32,1,1
321,106,1,1
322,66,1,1
323,72,1,1
324,54,2,0
325,30,1,1
326,162,1,1
327,54,1,1
328,20,1,1
329,138,1,1
330,10,1,1
331,330,1,1
332,82,1,1
333,18,1,1
334,166,1,1
335,66,1,1
336,24,1,1
337,168,1,1
338,78,1,1
339,56,1,1
340,8,1,1
341,30,1,1
342,18,1,1
343,294,2,0
344,84,1,1
345,22,1,1
346,86,1,1
347,346,1,1
348,14,1,1
349,174,1,1
350,30,1,1
351,18,2,0
352,80,1,1
353,176,1,1
354,58,1,1
355,70,1,1
356,44,1,1
357,24,1,1
358,178,1,1
359,358,1,1
360,12,1,1
361,342,1,1
362,90,1,1
363,110,1,1
364,6,1,1
365,36,1,1
366,30,1,1
367,366,1,1
368,88,1,1
369,60,1,1
370,18,1,1
371,78,1,1
372,30,1,1
373,186,1,1
374,40,1,1
375,50,2,0
376,92,1,1
377,42,1,1
378,18,2,0
379,378,1,1
380,18,1,1
381,126,1,1
382,190,1,1
383,382,1,1
384,64,1,1
385,30,1,1
386,96,1,1
387,42,1,1
388,48,1,1
389,194,1,1
390,6,1,1
391,88,1,1
392,84,1,1
393,130,1,1
394,98,1,1
395,78,1,1
396,30,1,1
397,198,1,1
398,198,1,1
399,18,1,1
400,40,1,1
401,200,1,1
402,66,1,1
403,30,1,1
404,50,1,1
405,54,2,0
406,42,1,1
407,90,1,1
408,8,1,1
409,204,1,1
410,20,1,1
411,68,1,1
412,102,1,1
413,174,1,1
414,66,1,1
415,82,1,1
416,48,1,1
417,138,1,1
418,90,1,1
419,418,1,1
420,6,1,1
421,210,1,1
422,210,1,1
423,138,1,1
424,52,1,1
425,40,1,1
426,70,1,1
427,30,1,1
428,106,1,1
429,30,1,1
430,42,1,1
431,430,1,1
432,72,2,0
433,216,1,1
434,30,1,1
435,14,1,1
436,54,1,1
437,198,1,1
438,36,1,1
439,438,1,1
