n,a_n_mod_27
0,1
1,1
2,5
3,7
4,8
5,4
6,11
7,1
8,14
9,25
10,17
11,22
12,20
13,19
14,23
15,16
16,26
17,13
18,2
19,10
20,5
21,7
22,8
23,4
24,11
25,1
26,14
27,25
28,17
29,22
30,20
31,19
32,23
33,16
34,26
35,13
36,2
37,10
38,5
39,7
40,8
41,4
42,11
43,1
44,14
45,25
46,17
47,22
48,20
49,19
50,23
51,16
52,26
53,13
54,2
55,10
56,5
57,7
58,8
59,4
60,11
61,1
62,14
63,25
64,17
65,22
66,20
67,19
68,23
69,16
70,26
71,13
72,2
73,10
74,5
75,7
76,8
77,4
78,11
79,1
80,14
81,25
82,17
83,22
84,20
85,19
86,23
87,16
88,26
89,13
90,2
91,10
92,5
93,7
94,8
95,4
96,11
97,1
98,14
99,25
100,17
