t,p,r,n,N,proved_exponent,actual_valuation,scaled_difference
-10,3,1,1,3,2,2,4585
-10,3,1,2,6,2,3,-5250657687
-10,3,1,3,9,4,4,765073115259395
-10,3,1,4,12,2,2,-9557644353651642504695
-10,3,2,1,9,4,4,765073115259395
-10,3,2,2,18,4,6,-2222825140898117291458372322842605
-10,3,2,3,27,6,12,826272065389719912271085840953590965883287419179417
-10,3,2,4,36,4,4,-26369285829907919295740429443658685440983179435893319180036442514923021
-10,3,3,1,27,6,12,826272065389719912271085840953590965883287419179417
-10,3,3,2,54,6,8,-40078405928383386484047461296341014576287279541446928347334337393308330693912580611807265883784339098120887
-10,3,3,3,81,8,11,249183348378805122477920434811887536539787552696405343958049702796353080337110696695224115410787702414960866214132770751943859338908644348434185341092175043762227
-10,3,3,4,108,6,10,-133072214186944455736507096024566427333341064285865555025784023490640419224098137679526826345564400447537232648972462323905933261516957737742628226552570488559626211745411499136023741435367346895534897843540494268872215
-10,3,4,1,81,8,11,249183348378805122477920434811887536539787552696405343958049702796353080337110696695224115410787702414960866214132770751943859338908644348434185341092175043762227
-10,5,1,1,5,2,3,17661835
-10,5,1,2,10,2,3,-275246089441730005
-10,5,1,3,15,2,3,4928451697640532938565751210
-10,5,1,4,20,2,3,-93482691045892073050759686241634764405
-10,5,2,1,25,4,6,73216307160611063977565277650763927800077020100
-10,5,2,2,50,4,6,-259696735645972313774070829470748490999249644374884557791963085917110111203972018133491962845061900
-10,5,2,3,75,4,9,1062567421061629650542978625983928308220570057102560345817461700458342777645410114597126283657127667626179386990797098004181375914568684991573462162500
-10,5,2,4,100,4,6,-4610129881519966570649127523134197248942820141644426291495126925584559278561698165174074199061557767733962288560487320581046568660431127426233155046976548831237389863301327851254949081580706528146005900
-10,5,3,1,125,6,8,826228790398940922066763331861176575301239536906429017725887862271441977961673360085087916695647687417142826254970485809961763186884177139961353004185184789768466632955958413776000476424056889382952491668458563843971182540288454296983447635430594693800
-10,7,1,1,7,2,2,104604563675
-10,7,1,2,14,2,2,-22248015276110761277436053
-10,7,1,3,21,2,2,5444365849836970732521037416486455213630
-10,7,1,4,28,2,2,-1411853048522825016790368996382345139318584173517723189
-10,7,2,1,49,4,4,583901019496108557797040876835498276716109251589721244955523911036126297039222270613409714396445
-10,7,2,2,98,4,4,-88634736131576581084597778217718420558421018454935327696669428989872957387777100558883085677174233905869073139821071494618163751154177063170526745650202334375285683158547051494701691030449703883251
-10,7,2,3,147,4,4,15527957525317646610055141807815380874560862643499171470768621336202783671272172809940868429733390018974670913335659198487628796058929742283349230324943294144553346063623266827405611269828323857160986408112688636004199511067685112340323743184723487276463916572683072499982676489943167613360940762320
-10,11,1,1,11,2,3,6345496107382597605
-10,11,1,2,22,2,3,-251950972290390548638485364433380130551963
-10,11,1,3,33,2,3,11525063722307122788106335311556803476320249885404515519102343520
-10,11,1,4,44,2,3,-558853785347669851989519676939242042126660357309357000837419946860633436433821423590011
-10,11,2,1,121,4,5,4791247539753106246119062441876229266175207846537499065301812011417267160553544721401742686521757928537297471873176796015873117571145237452734056890848917992699139286897051485070298073521961760440750981613652866799039643272661162339793078631610
-10,13,1,1,13,2,2,57216892373813694678935
-10,13,1,2,26,2,2,-31054436446579791069606566380999862962427825779337
-10,13,1,3,39,2,2,19424588667014142404697338898331536151064393448492156065452238233591752281018
-10,13,1,4,52,2,2,-12880886070473754837213861948236502508168191032460616016848582843763699059273316865728830151062817544105
-9,3,1,1,3,2,2,3580
-9,3,1,2,6,2,2,-2837279992
-9,3,1,3,9,4,5,286151448042786
-9,3,1,4,12,2,2,-2474374444476929013352
-9,3,2,1,9,4,5,286151448042786
-9,3,2,2,18,4,5,-275727061969997615215276686939930
-9,3,2,3,27,6,8,33993810667437569132188457472976073315491525441449
-9,3,2,4,36,4,5,-359818174353172813685711085162916173590250384610819661630825906995386
-9,3,3,1,27,6,8,33993810667437569132188457472976073315491525441449
-9,3,3,2,54,6,8,-60161168087917288516403902986757834168478350530885050240427441585448863070384114272273955503260755768257
-9,3,3,3,81,8,11,13647741075617287359456996225296254713071573970817579596863256568950423285276250474114417923310453534191382342850032255287077153553301551806314798742940751863
-9,3,3,4,108,6,8,-265929665079094942079402636326123599077487555476657122240873687905417850082849249031152753390586217944193435439297715237404256784998413701930079239298545364936774844199673345706758727822739343218575796160765243745
-9,3,4,1,81,8,11,13647741075617287359456996225296254713071573970817579596863256568950423285276250474114417923310453534191382342850032255287077153553301551806314798742940751863
-9,5,1,1,5,2,3,10789440
-9,5,1,2,10,2,4,-91065435519750700
-9,5,1,3,15,2,3,883188098192690564591222970
-9,5,1,4,20,2,3,-9073899422188350955470155062174077340
-9,5,2,1,25,4,5,3849412551768830725120644307741557390495644245
-9,5,2,2,50,4,6,-636633553547677619415203391041804187194721531439311252731584324325928083697808524125928770001525
-9,5,2,3,75,4,5,121457234296269137036825539318716032886782412468563648354548051792569619321944970993979236622392204356130098022844169491856851501653672823564002540
-9,5,2,4,100,4,6,-24571165572910300220744640466350155346147942087438938554083072353921837444921008529301342021810327675812873817827913669153948138604189337344503515201948045598273946944751268437888564813963071100725
-9,5,3,1,125,6,7,205333289133158691677156826556873732725167182992764383006896415930592085894337239505544299151636341291517444034846063727856411671277724082881309389480149815561789846952001589371911370217176819949321795958899637766179311534055497316024441706010495
-9,7,1,1,7,2,2,50000075064
-9,7,1,2,14,2,2,-4507033602795199808246036
-9,7,1,3,21,2,2,467470936773835193664509462652412263465
-9,7,1,4,28,2,3,-51382051288364370108845008839906455042657754228190916
-9,7,2,1,49,4,4,1618141854908760596368036049492394819799886471067789712041556485136793040929379538919670276538
-9,7,2,2,98,4,4,-603705124748638008438962132391532617254221139747956625277429563680863456780938293669040497870709567007939152393772185307199858687957297846013600747313013336585749662409229040961735791044866634
-9,7,2,3,147,4,4,259945649682645352123803446696018875137722869418777323020957684147551790654794737324236711461410252845699897963688056291074492900715246212777494015185860080379344563012224037402904768986356294421763674920984125589155060775544367342242928007272570091882190726235391128630835883513174972115777
-9,11,1,1,11,2,3,1857114212673844190
-9,11,1,2,22,2,3,-19136743492035707471102902696570128547498
-9,11,1,3,33,2,3,227191335594097837075683020886598495313013876779131113902402165
-9,11,1,4,44,2,4,-2859218413682712536263600385161300275052933519959042396951370234336717396445738268570
-9,11,2,1,121,4,5,1944572714819282816521532963333699753291697239314797099076317165271622246325691237030776340010734267280643490244667865673709690212898821548402935719984281051292990365812726148485513598946128371402686739971880286568257022022429747396732395
