n,apery_a_n,G_coefficient,B_minus_2,B_minus_1,B_0,B_1,B_2,u_1,v_1,v_2
1,5,5,5,5,5,5,5,5,5,10
2,73,49,-27,23,73,123,173,123,73,246
3,1445,685,410,365,1445,3650,6980,3650,1445,7300
4,33001,11807,-1915,6343,33001,118059,301517,118059,33001,236118
5,819005,232771,53130,123255,819005,4015380,13540505,4015380,819005,8030760
6,21460825,5031415,3114,2555843,21460825,141175410,623546948,141175410,21460825,282350820
7,584307365,116222699,9712148,55420279,584307365,5082313276,29224654632,5082313276,584307365,10164626552
8,16367912425,2822056474,72100485,1241333063,16367912425,186243853995,1387680014797,186243853995,16367912425,372487707990
9,468690849005,71230971002,2483257100,28497202718,468690849005,6920379988871,66556407357221,6920379988871,468690849005,13840759977742
10,13657436403073,1854334597966,34687939098,666979766273,13657436403073,260030830600748,3217765030168673,260030830600748,13657436403073,520061661201496
11,403676083788125,49503739725470,805271686752,15855898303492,403676083788125,9860709859708350,156580459041764576,9860709859708350,403676083788125,19721419719416700
12,12073365010564729,1349449053997654,14212452168938,381803815834819,12073365010564729,376821110248674594,7660547239431959108,376821110248674594,12073365010564729,753642220497349188
13,364713572395983725,37438177610268014,296886446001800,9293001976031766,364713572395983725,14494688046084958080,376490883017124583882,14494688046084958080,364713572395983725,28989376092169916160
14,11111571997143198073,1054371288632733022,5724327710942100,228263910326263737,11111571997143198073,560708803489098556632,18575270551977410772968,560708803489098556632,11111571997143198073,1121417606978197113264
15,341034504521827105445,30081609844254013942,116818563718751160,5651060761018006740,341034504521827105445,21797478402692370515400,919546639364101331648480,21797478402692370515400,341034504521827105445,43594956805384741030800
16,10534522198396293262825,867990837575171240525,2335705766483616389,140860355794657096007,10534522198396293262825,851057798310071946207915,45654721432635471070435789,851057798310071946207915,10534522198396293262825,1702115596620143892415830
17,327259338516161442321485,25295504900322451251793,47680441297657101447,3532239623689012369761,327259338516161442321485,33356751162583463626417872,2272581259516998154210567840,33356751162583463626417872,327259338516161442321485,66713502325166927252835744
18,10217699252454924737153425,743693247567203873712485,970491104616677653980,89045829647037231960614,10217699252454924737153425,1311906621874956275397103305,113383277296081850506856262221,1311906621874956275397103305,10217699252454924737153425,2623813243749912550794206610
19,320453816254421403579490445,22037070560562612082952449,19933594104311274223050,2255421738640595700042188,320453816254421403579490445,51756701702620458484674844418,5668506673928462568011979043752,51756701702620458484674844418,320453816254421403579490445,103513403405240916969349688836
20,10090942470266994032842836001,657618153063748485104051093,410153430340234136325210,57369414800870741063162593,10090942470266994032842836001,2047607564221682909384136432684,283915207485258896450380888918017,2047607564221682909384136432684,10090942470266994032842836001,4095215128443365818768272865368
