n,a_n
0,1
1,1
2,5
3,19
4,85
5,376
6,1715
7,7890
8,36693
9,171820
10,809380
11,3830619
12,18201235
13,86770516
14,414836210
15,1988138644
16,9548771157
17,45948159420
18,221470766204
19,1069091485500
20,5167705849460
21,25009724705460
22,121171296320475
23,587662804774890
24,2852708925078675
25,13859743127937876
26,67389585220215900
27,327902619994928650
28,1596573261949721266
29,7778652997232881560
30,37920433065421152340
31,184960530548674540264
32,902623868629926260565
33,4406999482556706313308
34,21526592032211669815020
35,105194341707880877419140
36,514261449028815680247484
37,2515014883367318755783360
38,12304200986971210362897852
39,60216357575412971828167720
40,294792414600726565463582068
41,1443616977592073570099987824
42,7071557944132032285316067840
43,34649718968173160717668611963
44,169824469980930757892704278075
45,832552405965355010643839076820
46,4082524643401042185289368692490
47,20023843564310906492104935177700
48,98234315283899335062864706280595
49,482027890815816283970750780720100
50,2365759197226959658112493538309380
51,11613277624356479802836216018915124
52,57019271389862547084616961207276220
53,280006409892155515346910295095957288
54,1375278909984010416602266335011401610
55,6755963583157458893429279096318735244
56,33193640112017894235801809680110292658
57,163113919398682541437213282420129086840
58,801665794854412193758672730018020536168
59,3940575202759082357525381107513359688420
60,19372589835502544195262983078303059131860
61,95252308636737140749555621129267392509424
62,468404616124401874373930958331573520045160
63,2303683485228172113228195398724874389195984
64,11331272466383215009994604533080555019022165
65,55742586038091795729621035571659157245487516
66,274249915234308259710689036363533901523034188
67,1349445420546737664816677720082924945799108980
68,6640673374550685882170609732455669342740322476
69,32682516920743543660454134422669987256055186400
70,160865944694575188652356442165422504983874707460
71,791875120638172985068168962739191488757570667800
72,3898450495362764540135146614165704803428083303100
73,19194151355348155320725249074541259901472409768720
74,94511846009597353053870928909914126055750522474800
75,465417741689273169382131627514440147441265727263644
76,2292123122553779426319354696925306679933024206378812
77,11289384661811045157514674465086393261569228285449360
78,55608215808081331033681185796368842806326577680622248
79,273932202347900817545241656977386593223027327945442320
80,1349527587994009367054624020664870631931564543251932532
81,6648966419325153665018618332199354510374645935483161200
82,32761168417299185253813172962600822226564812794190816880
83,161434629524205756951032292471700198779786490689536311536
84,795546063136458001068726175906691148643051821746130604240
85,3920708302445502694935501906388395970695230216913806464420
86,19323847116993901276478113705366785820933903110273205090683
87,95247113766560367352912188881261445387373401124620404788170
88,469503205854195360690698811965478616932505944550452087304251
89,2314478569860541689674378121992604433484532440465454107940660
90,11410246039376803911870592735421970987567116936192602037254204
91,56255306821775173013579217548538711708660473345743968692747362
92,277369081790398922433518960429726746251121208241851298507181770
93,1367659859711148197331783682133698731630244100656340781406523704
94,6744086153295855423698754417958918837172251895147399284610318500
95,33257725835055848642827892560302913521620799435813617030305173000
96,164015883703175916393408965993457166909959123059582627270061923475
97,808914636350879446380465277823314557925710690206623207788161482500
98,3989720071151334582815016597201649513519299335615291133106045163700
99,19679073133924691964410267626721669106658164599410818457828120957500
100,97070861806459154936693186164541145848829310817491855986692117099460
101,478844744549761426326072706557269669220696805561320546796138211909760
102,2362227576619748446299075589791424341451073082121427161104891078693300
103,11653852124131474468139477749854364906276166193335509382142328136530680
104,57495999603153752538483960677246809251199023086123208069132452282893500
105,283678044204158314836028689203696240906738260591254186144606019218402960
106,1399694999559340603352472223987894366623569503317760224233698094702082960
107,6906536684831554686075177154457758183001546980477402347987642671064614250
108,34080511395229168559820565172456644580355880800512581450530847209471771850
109,168178472702759764720175900142174333114762322835215620787627536853737463000
110,829951834363853571415190197734575856509404781456495805668682562320297761100
111,4095936637398766850140320182619773463418310507900809242046008936729840878200
112,20214877140247088131670455014792305018965719753513654566122995690069105987250
113,99771432490731475840196170214716322746939314973146897641540433287804858185560
114,492445566216640110360346013845786513761002751791249185770773399531710727016600
115,2430674936412415160117768200645905080969299500948644574731471904415273229723640
116,11998083340231576972935939877784472369992871820768508498061407564014486014682920
117,59226071426775562097188168996629292790994154840570331746687251080099160615509200
118,292367951913815282484863622982328062149836123856916136156412341754447360969171940
119,1443318328276240124822880273917060725688000368639104782516133729378174015592875000
120,7125408219872274389444804808700291488034134974915188483309210305871802561970169300
121,35178100405625483514340824025844722197606805543230553835487865082157837673843562800
122,173679988307594291379673190158901410834586319887498664120356471466977456905518458000
123,857514951698871550386383101930251328946073525255518494214453351215590115019440424200
124,4233971295612269222963025117032077635609252864751837416874196854401525154182364209000
125,20905866694180456989431318480075253076891572313815541794763045709566082593204432625376
126,103229133020188830090744497996176445379285657190918091600786344646582317753101009717200
127,509741509146851426037735345939891382830777784731546932290353289149970633887799863031200
128,2517161758327787829628036195779770494886958116042900754271106655732196368374936075743061
129,12430409786437507679207671608221167169239667425927901651147500024263486411073461510444060
130,61386484053125571391859897199902643444649967273033386911458603850345223137374371103685900
131,303160676318042169073911532661509993188640915515916638696046585251768530794406750970649044
132,1497219844636804151807142834688230497823454296777488756706359594042136776160210718402806540
133,7394531993902420174026503129060318370910834263826280919816154190679350645168925778580031648
134,36521451901324995704733033467088573972298898960515816393906393517090728808596885261012568820
135,180383753539590599172864087442475508579279967759358539224222953834318194514315200485412857400
136,890960952204745220015695511247244855947003056993676061232721259541292874430456285413286177964
137,4400799819195335185875369592323688808302235251399549444201827737071794085049864234711504679760
138,21737824588509149227282073621637170052098001507277407106950142168482773072443035199027164188784
139,107377157290619536768613561988909479685313417151783427136811521768469174083492170358005197815140
140,530418812054679765383763903340949833329770786903671416535839061327690601669995280243804012624516
141,2620215248991770301073535700509952784296947015005484904417997611746221884234055736901846038397808
142,12943922391355993553841375834284338352839728433833884252026587778533671491422995575337843301181080
143,63944847770872802959185021218056132907479806519793735002201703149753496342382471094311628165803376
144,315904485863704563854371274930222489833196588213444779986992561804325710081847300501613650941543100
145,1560689324407475975560617139697769824648316115399678344443920879697079890837875329045079397486596560
146,7710586522380386504430543846937871201838857635514846398365694803496834002268814041407491592689088720
147,38095047401161704328830342007862499455911067777052932522226104787806265264338091483629117304278331600
148,188217340540976625135006554373966039075157047523724636819637660710015429421760258836550321389715720560
149,929952194013184579593994933136105352506020483550741970867139950724445957695360970153141633726717926800
150,4594850214444080469226363187868972569586972368036177283622965243715591116056668725263257742560369277340
