p,r,m,n,required_valuation,observed_valuation,leading_unit_mod_p
3,1,1,3,2,2,2
3,1,2,6,2,2,1
3,1,3,9,5,5,2
3,1,4,12,2,2,2
3,1,5,15,2,2,2
3,2,1,9,5,5,2
3,2,2,18,5,5,1
3,2,3,27,8,8,2
3,2,4,36,5,5,2
3,2,5,45,5,5,2
3,3,1,27,8,8,2
3,3,2,54,8,8,1
3,3,3,81,11,11,2
3,3,4,108,8,8,2
3,3,5,135,8,8,2
3,4,1,81,11,11,2
3,4,2,162,11,11,1
3,4,3,243,14,14,2
3,4,4,324,11,11,2
3,4,5,405,11,11,2
3,5,1,243,14,14,2
3,5,2,486,14,14,1
3,5,3,729,17,17,2
3,5,4,972,14,14,2
3,5,5,1215,14,14,2
3,6,1,729,17,17,2
3,6,2,1458,17,17,1
3,6,3,2187,20,20,2
3,6,4,2916,17,17,2
3,6,5,3645,17,17,2
3,7,1,2187,20,20,2
3,7,2,4374,20,20,1
5,1,1,5,3,3,3
5,1,2,10,3,5,4
5,1,3,15,3,3,4
5,1,4,20,3,4,4
5,1,5,25,6,6,3
5,2,1,25,6,6,3
5,2,2,50,6,8,1
5,2,3,75,6,6,4
5,2,4,100,6,7,4
5,2,5,125,9,9,3
5,3,1,125,9,9,3
5,3,2,250,9,11,1
5,3,3,375,9,9,4
5,3,4,500,9,10,4
5,3,5,625,12,12,3
5,4,1,625,12,12,3
5,4,2,1250,12,14,1
5,4,3,1875,12,12,4
5,4,4,2500,12,13,4
5,4,5,3125,15,15,3
5,5,1,3125,15,15,3
7,1,1,7,3,3,2
7,1,2,14,3,3,3
7,1,3,21,3,3,4
7,1,4,28,3,3,2
7,1,5,35,3,3,4
7,2,1,49,6,6,2
7,2,2,98,6,6,3
7,2,3,147,6,6,4
7,2,4,196,6,6,2
7,2,5,245,6,6,4
7,3,1,343,9,9,2
7,3,2,686,9,9,3
7,3,3,1029,9,9,4
7,3,4,1372,9,9,2
7,3,5,1715,9,9,4
7,4,1,2401,12,12,2
7,4,2,4802,12,12,3
11,1,1,11,3,3,7
11,1,2,22,3,3,1
11,1,3,33,3,3,3
11,1,4,44,3,3,2
11,1,5,55,3,3,3
11,2,1,121,6,6,7
11,2,2,242,6,6,1
11,2,3,363,6,6,3
11,2,4,484,6,6,2
11,2,5,605,6,6,3
11,3,1,1331,9,9,7
11,3,2,2662,9,9,1
11,3,3,3993,9,9,3
13,1,1,13,3,3,1
13,1,2,26,3,3,9
13,1,3,39,3,3,9
13,1,4,52,3,3,4
13,1,5,65,3,3,5
13,2,1,169,6,6,1
13,2,2,338,6,6,9
13,2,3,507,6,6,9
13,2,4,676,6,6,4
13,2,5,845,6,6,5
13,3,1,2197,9,9,1
13,3,2,4394,9,9,9
17,1,1,17,3,4,2
17,1,2,34,3,3,11
17,1,3,51,3,3,3
17,1,4,68,3,3,11
17,1,5,85,3,3,5
17,2,1,289,6,7,8
17,2,2,578,6,6,11
17,2,3,867,6,6,3
17,2,4,1156,6,6,11
17,2,5,1445,6,6,5
17,3,1,4913,9,10,8
19,1,1,19,3,3,5
19,1,2,38,3,3,7
19,1,3,57,3,3,10
19,1,4,76,3,3,12
19,1,5,95,3,3,13
19,2,1,361,6,6,5
19,2,2,722,6,6,7
19,2,3,1083,6,6,10
19,2,4,1444,6,6,12
19,2,5,1805,6,6,13
23,1,1,23,3,3,15
23,1,2,46,3,3,12
23,1,3,69,3,3,5
23,1,4,92,3,4,22
23,1,5,115,3,4,21
23,2,1,529,6,6,15
23,2,2,1058,6,6,12
23,2,3,1587,6,6,5
23,2,4,2116,6,7,14
23,2,5,2645,6,7,8
29,1,1,29,3,3,25
29,1,2,58,3,3,27
29,1,3,87,3,3,19
29,1,4,116,3,3,13
29,1,5,145,3,3,26
29,2,1,841,6,6,25
29,2,2,1682,6,6,27
29,2,3,2523,6,6,19
29,2,4,3364,6,6,13
29,2,5,4205,6,6,26
31,1,1,31,3,3,12
31,1,2,62,3,3,7
31,1,3,93,3,3,30
31,1,4,124,3,3,26
31,1,5,155,3,3,14
31,2,1,961,6,6,12
31,2,2,1922,6,6,7
31,2,3,2883,6,6,30
31,2,4,3844,6,6,26
31,2,5,4805,6,6,14
37,1,1,37,3,3,19
37,1,2,74,3,3,27
37,1,3,111,3,3,36
37,1,4,148,3,3,8
37,1,5,185,3,3,15
37,2,1,1369,6,6,19
37,2,2,2738,6,6,27
37,2,3,4107,6,6,36
41,1,1,41,3,3,1
41,1,2,82,3,3,38
41,1,3,123,3,3,11
41,1,4,164,3,3,34
41,1,5,205,3,3,2
41,2,1,1681,6,6,1
41,2,2,3362,6,6,38
43,1,1,43,3,3,22
43,1,2,86,3,3,32
43,1,3,129,3,3,34
43,1,4,172,3,3,32
43,1,5,215,3,3,19
43,2,1,1849,6,6,22
43,2,2,3698,6,6,32
47,1,1,47,3,3,26
47,1,2,94,3,3,45
47,1,3,141,3,3,3
47,1,4,188,3,3,44
47,1,5,235,3,3,6
47,2,1,2209,6,6,26
47,2,2,4418,6,6,45
53,1,1,53,3,3,29
53,1,2,106,3,3,37
53,1,3,159,3,3,2
53,1,4,212,3,3,51
53,1,5,265,3,3,32
53,2,1,2809,6,6,29
59,1,1,59,3,3,40
59,1,2,118,3,3,18
59,1,3,177,3,3,33
59,1,4,236,3,3,30
59,1,5,295,3,3,8
59,2,1,3481,6,6,40
61,1,1,61,3,3,55
61,1,2,122,3,3,49
61,1,3,183,3,3,54
61,1,4,244,3,3,27
61,1,5,305,3,3,40
61,2,1,3721,6,6,55
67,1,1,67,3,3,35
67,1,2,134,3,3,55
67,1,3,201,3,3,7
67,1,4,268,3,3,56
67,1,5,335,3,3,55
67,2,1,4489,6,6,35
71,1,1,71,3,3,60
71,1,2,142,3,3,21
71,1,3,213,3,3,63
71,1,4,284,3,3,24
71,1,5,355,3,3,60
73,1,1,73,3,3,8
73,1,2,146,3,3,68
73,1,3,219,3,3,56
73,1,4,292,3,3,67
73,1,5,365,3,3,14
79,1,1,79,3,3,43
79,1,2,158,3,3,8
79,1,3,237,3,3,64
79,1,4,316,3,3,40
79,1,5,395,3,3,62
83,1,1,83,3,3,77
83,1,2,166,3,3,59
83,1,3,249,3,3,22
83,1,4,332,3,3,3
83,1,5,415,3,3,40
89,1,1,89,3,3,48
89,1,2,178,3,3,30
89,1,3,267,3,3,81
89,1,4,356,3,3,55
89,1,5,445,3,3,71
97,1,1,97,3,3,20
97,1,2,194,3,3,94
97,1,3,291,3,3,32
97,1,4,388,3,3,24
97,1,5,485,3,3,87
