m,r,n,valuation,proved_exponent
1,1,2,2,1
1,2,4,4,4
1,3,8,8,7
1,4,16,13,10
1,5,32,16,13
1,6,64,19,16
1,7,128,22,19
1,8,256,25,22
1,9,512,28,25
3,1,6,5,1
3,2,12,5,4
3,3,24,9,7
3,4,48,13,10
3,5,96,16,13
3,6,192,19,16
3,7,384,22,19
3,8,768,25,22
3,9,1536,28,25
5,1,10,2,1
5,2,20,4,4
5,3,40,8,7
5,4,80,15,10
5,5,160,18,13
5,6,320,21,16
5,7,640,24,19
5,8,1280,27,22
5,9,2560,30,25
7,1,14,5,1
7,2,28,6,4
7,3,56,10,7
7,4,112,14,10
7,5,224,17,13
7,6,448,20,16
7,7,896,23,19
7,8,1792,26,22
7,9,3584,29,25
9,1,18,4,1
9,2,36,6,4
9,3,72,10,7
9,4,144,15,10
9,5,288,18,13
9,6,576,21,16
9,7,1152,24,19
9,8,2304,27,22
9,9,4608,30,25
11,1,22,7,1
11,2,44,5,4
11,3,88,9,7
11,4,176,13,10
11,5,352,16,13
11,6,704,19,16
11,7,1408,22,19
11,8,2816,25,22
11,9,5632,28,25
13,1,26,3,1
13,2,52,5,4
13,3,104,9,7
13,4,208,15,10
13,5,416,18,13
13,6,832,21,16
13,7,1664,24,19
13,8,3328,27,22
13,9,6656,30,25
15,1,30,6,1
15,2,60,7,4
15,3,120,11,7
15,4,240,15,10
15,5,480,18,13
15,6,960,21,16
15,7,1920,24,19
15,8,3840,27,22
15,9,7680,30,25
1,10,1024,31,28
1,11,2048,34,31
1,12,4096,37,34
1,13,8192,40,37
1,14,16384,43,40
1,15,32768,46,43
