suite,r,s,t,p,h,m,high_index,low_index,required_exponent,actual_valuation,zero_difference,passed
grid_p_ge_5,-6,-6,0,5,1,1,5,1,3,,True,True
grid_p_ge_5,-6,-6,0,5,1,2,10,2,3,,True,True
grid_p_ge_5,-6,-6,0,5,1,5,25,5,3,,True,True
grid_p_ge_5,-6,-6,0,7,1,1,7,1,3,,True,True
grid_p_ge_5,-6,-6,0,11,1,3,33,3,3,,True,True
grid_p_ge_5,-6,-6,0,13,1,1,13,1,3,,True,True
grid_p_ge_5,-6,-6,0,5,2,1,25,5,6,,True,True
grid_p_ge_5,-6,-6,0,5,2,2,50,10,6,,True,True
grid_p_ge_5,-6,-6,0,7,2,1,49,7,6,,True,True
grid_p_ge_5,-6,-6,0,5,3,1,125,25,9,,True,True
grid_p_ge_5,-6,-6,0,7,3,1,343,49,9,,True,True
grid_p_3,-6,-6,0,3,1,1,3,1,2,,True,True
grid_p_3,-6,-6,0,3,1,2,6,2,2,,True,True
grid_p_3,-6,-6,0,3,2,1,9,3,5,,True,True
grid_p_3,-6,-6,0,3,3,1,27,9,8,,True,True
grid_p_3,-6,-6,0,3,4,1,81,27,11,,True,True
grid_p_ge_5,-6,-6,1,5,1,1,5,1,3,,True,True
grid_p_ge_5,-6,-6,1,5,1,2,10,2,3,3,False,True
grid_p_ge_5,-6,-6,1,5,1,5,25,5,3,,True,True
grid_p_ge_5,-6,-6,1,7,1,1,7,1,3,,True,True
grid_p_ge_5,-6,-6,1,11,1,3,33,3,3,,True,True
grid_p_ge_5,-6,-6,1,13,1,1,13,1,3,,True,True
grid_p_ge_5,-6,-6,1,5,2,1,25,5,6,,True,True
grid_p_ge_5,-6,-6,1,5,2,2,50,10,6,6,False,True
grid_p_ge_5,-6,-6,1,7,2,1,49,7,6,,True,True
grid_p_ge_5,-6,-6,1,5,3,1,125,25,9,,True,True
grid_p_ge_5,-6,-6,1,7,3,1,343,49,9,,True,True
grid_p_3,-6,-6,1,3,1,1,3,1,2,,True,True
grid_p_3,-6,-6,1,3,1,2,6,2,2,4,False,True
grid_p_3,-6,-6,1,3,2,1,9,3,5,,True,True
grid_p_3,-6,-6,1,3,3,1,27,9,8,,True,True
grid_p_3,-6,-6,1,3,4,1,81,27,11,,True,True
grid_p_ge_5,-6,-6,2,5,1,1,5,1,3,3,False,True
grid_p_ge_5,-6,-6,2,5,1,2,10,2,3,3,False,True
grid_p_ge_5,-6,-6,2,5,1,5,25,5,3,6,False,True
grid_p_ge_5,-6,-6,2,7,1,1,7,1,3,4,False,True
grid_p_ge_5,-6,-6,2,11,1,3,33,3,3,3,False,True
grid_p_ge_5,-6,-6,2,13,1,1,13,1,3,3,False,True
grid_p_ge_5,-6,-6,2,5,2,1,25,5,6,6,False,True
grid_p_ge_5,-6,-6,2,5,2,2,50,10,6,6,False,True
grid_p_ge_5,-6,-6,2,7,2,1,49,7,6,7,False,True
grid_p_ge_5,-6,-6,2,5,3,1,125,25,9,9,False,True
grid_p_ge_5,-6,-6,2,7,3,1,343,49,9,10,False,True
grid_p_3,-6,-6,2,3,1,1,3,1,2,4,False,True
grid_p_3,-6,-6,2,3,1,2,6,2,2,4,False,True
grid_p_3,-6,-6,2,3,2,1,9,3,5,7,False,True
grid_p_3,-6,-6,2,3,3,1,27,9,8,10,False,True
grid_p_3,-6,-6,2,3,4,1,81,27,11,13,False,True
grid_p_ge_5,-6,-6,3,5,1,1,5,1,3,,True,True
grid_p_ge_5,-6,-6,3,5,1,2,10,2,3,4,False,True
grid_p_ge_5,-6,-6,3,5,1,5,25,5,3,,True,True
grid_p_ge_5,-6,-6,3,7,1,1,7,1,3,,True,True
grid_p_ge_5,-6,-6,3,11,1,3,33,3,3,,True,True
grid_p_ge_5,-6,-6,3,13,1,1,13,1,3,,True,True
grid_p_ge_5,-6,-6,3,5,2,1,25,5,6,,True,True
grid_p_ge_5,-6,-6,3,5,2,2,50,10,6,7,False,True
grid_p_ge_5,-6,-6,3,7,2,1,49,7,6,,True,True
grid_p_ge_5,-6,-6,3,5,3,1,125,25,9,,True,True
grid_p_ge_5,-6,-6,3,7,3,1,343,49,9,,True,True
grid_p_3,-6,-6,3,3,1,1,3,1,2,,True,True
grid_p_3,-6,-6,3,3,1,2,6,2,2,5,False,True
grid_p_3,-6,-6,3,3,2,1,9,3,5,,True,True
grid_p_3,-6,-6,3,3,3,1,27,9,8,,True,True
grid_p_3,-6,-6,3,3,4,1,81,27,11,,True,True
grid_p_ge_5,-6,-6,4,5,1,1,5,1,3,3,False,True
grid_p_ge_5,-6,-6,4,5,1,2,10,2,3,4,False,True
grid_p_ge_5,-6,-6,4,5,1,5,25,5,3,6,False,True
grid_p_ge_5,-6,-6,4,7,1,1,7,1,3,4,False,True
grid_p_ge_5,-6,-6,4,11,1,3,33,3,3,4,False,True
grid_p_ge_5,-6,-6,4,13,1,1,13,1,3,3,False,True
grid_p_ge_5,-6,-6,4,5,2,1,25,5,6,6,False,True
grid_p_ge_5,-6,-6,4,5,2,2,50,10,6,7,False,True
grid_p_ge_5,-6,-6,4,7,2,1,49,7,6,7,False,True
grid_p_ge_5,-6,-6,4,5,3,1,125,25,9,9,False,True
grid_p_ge_5,-6,-6,4,7,3,1,343,49,9,10,False,True
grid_p_3,-6,-6,4,3,1,1,3,1,2,4,False,True
grid_p_3,-6,-6,4,3,1,2,6,2,2,4,False,True
grid_p_3,-6,-6,4,3,2,1,9,3,5,7,False,True
grid_p_3,-6,-6,4,3,3,1,27,9,8,10,False,True
grid_p_3,-6,-6,4,3,4,1,81,27,11,13,False,True
grid_p_ge_5,-6,-5,0,5,1,1,5,1,3,,True,True
grid_p_ge_5,-6,-5,0,5,1,2,10,2,3,,True,True
grid_p_ge_5,-6,-5,0,5,1,5,25,5,3,,True,True
grid_p_ge_5,-6,-5,0,7,1,1,7,1,3,,True,True
grid_p_ge_5,-6,-5,0,11,1,3,33,3,3,,True,True
grid_p_ge_5,-6,-5,0,13,1,1,13,1,3,,True,True
grid_p_ge_5,-6,-5,0,5,2,1,25,5,6,,True,True
grid_p_ge_5,-6,-5,0,5,2,2,50,10,6,,True,True
grid_p_ge_5,-6,-5,0,7,2,1,49,7,6,,True,True
grid_p_ge_5,-6,-5,0,5,3,1,125,25,9,,True,True
grid_p_ge_5,-6,-5,0,7,3,1,343,49,9,,True,True
grid_p_3,-6,-5,0,3,1,1,3,1,2,,True,True
grid_p_3,-6,-5,0,3,1,2,6,2,2,,True,True
grid_p_3,-6,-5,0,3,2,1,9,3,5,,True,True
grid_p_3,-6,-5,0,3,3,1,27,9,8,,True,True
grid_p_3,-6,-5,0,3,4,1,81,27,11,,True,True
grid_p_ge_5,-6,-5,1,5,1,1,5,1,3,3,False,True
grid_p_ge_5,-6,-5,1,5,1,2,10,2,3,3,False,True
grid_p_ge_5,-6,-5,1,5,1,5,25,5,3,6,False,True
grid_p_ge_5,-6,-5,1,7,1,1,7,1,3,3,False,True
grid_p_ge_5,-6,-5,1,11,1,3,33,3,3,3,False,True
grid_p_ge_5,-6,-5,1,13,1,1,13,1,3,3,False,True
grid_p_ge_5,-6,-5,1,5,2,1,25,5,6,6,False,True
grid_p_ge_5,-6,-5,1,5,2,2,50,10,6,6,False,True
grid_p_ge_5,-6,-5,1,7,2,1,49,7,6,6,False,True
grid_p_ge_5,-6,-5,1,5,3,1,125,25,9,9,False,True
grid_p_ge_5,-6,-5,1,7,3,1,343,49,9,9,False,True
grid_p_3,-6,-5,1,3,1,1,3,1,2,3,False,True
grid_p_3,-6,-5,1,3,1,2,6,2,2,6,False,True
grid_p_3,-6,-5,1,3,2,1,9,3,5,6,False,True
grid_p_3,-6,-5,1,3,3,1,27,9,8,9,False,True
grid_p_3,-6,-5,1,3,4,1,81,27,11,12,False,True
grid_p_ge_5,-6,-5,2,5,1,1,5,1,3,3,False,True
grid_p_ge_5,-6,-5,2,5,1,2,10,2,3,4,False,True
grid_p_ge_5,-6,-5,2,5,1,5,25,5,3,6,False,True
grid_p_ge_5,-6,-5,2,7,1,1,7,1,3,3,False,True
grid_p_ge_5,-6,-5,2,11,1,3,33,3,3,3,False,True
