n,A181280,zero_Gram,formula_numerator,formula_denominator,formula_equals_count
0,0,0,103,4096,0
1,0,0,-71,1024,0
2,0,0,-1,64,0
3,0,0,-1,16,0
4,58,3,58,1,1
5,1629,15,1629,1,1
6,28924,1020,28924,1,1
7,507052,8820,507052,1,1
8,8211776,202608,8211776,1,1
9,133693904,2656080,133693904,1,1
10,2140571200,46626240,2140571200,1,1
11,34361115072,706770240,34361115072,1,1
12,549587348992,11575711488,549587348992,1,1
13,8798356254976,182670808320,8798356254976,1,1
14,140744002571264,2939896028160,140744002571264,1,1
15,2252082614856704,46875280757760,2252082614856704,1,1
16,36030315649662976,751103735328768,36030315649662976,1,1
17,576487656686899200,12007216854159360,576487656686899200,1,1
18,9223539637335310336,192185834115809280,9223539637335310336,1,1
19,147576237570319433728,3074304881974394880,147576237570319433728,1,1
20,2361198472133792104448,49193381642498408448,2361198472133792104448,1,1
21,37779114132909072121856,787051322710577971200,37779114132909072121856,1,1
22,604464172813328297230336,12593109392645888409600,604464172813328297230336,1,1
23,9671420528073477867700224,201487012103793809817600,9671420528073477867700224,1,1
24,154742604189972642899427328,3223810640387182483734528,154742604189972642899427328,1,1
25,2475881120299254817330561024,51580795002286748168355840,2475881120299254817330561024,1,1
26,39614088791601576648202256384,825293900627927213140869120,39614088791601576648202256384,1,1
27,633825376229478465494237315072,13204691194429007053895761920,633825376229478465494237315072,1,1
28,10141205359589778101252952948736,211275134668723335177078571008,10141205359589778101252952948736,1,1
29,162259282305059641212225227587584,3380401436899909061993331425280,162259282305059641212225227587584,1,1
30,2596148469800009936036007038156800,54086427826101751392816165027840,2596148469800009936036007038156800,1,1
31,41538375257418409880107869590781952,865382799278447534454693785763840,41538375257418409880107869590781952,1,1
32,664614000796029104095395895146708992,13846125097940169219698665495461888,664614000796029104095395895146708992,1,1
33,10633823993660153551298887174603145216,221537998626935124732809217331691520,10633823993660153551298887174603145216,1,1
34,170141183666104827147851589155609903104,3544607997838002605844287805204725760,170141183666104827147851589155609903104,1,1
35,2722258937278336932943562532259935289344,56713727777241155890457342742217359360,2722258937278336932943562532259935289344,1,1
36,43556142980308452030389905435576936431616,907419645703509094180398980205713031168,43556142980308452030389905435576936431616,1,1
37,696898287586516248384005084871666329190400,14518714319213464807411429003718358466560,696898287586516248384005084871666329190400,1,1
38,11150372600269854246425616718311868665430016,232299429188545075328467179272464635002880,11150372600269854246425616718311868665430016,1,1
39,178405961597369815852947911887180239132950528,3716790866245989640359802986405160267284480,178405961597369815852947911887180239132950528,1,1
40,2854495385481402790216804998868019126707683328,59468653865128131104216117547287352440782848,2854495385481402790216804998868019126707683328,1,1
41,45671926167216243734852112209761753592198332416,951498461792723277512066483792055036700262400,45671926167216243734852112209761753592198332416,1,1
42,730750818670230679899192882319645413747202195456,15223975389015879439138083783079218547733299200,730750818670230679899192882319645413747202195456,1,1
43,11692013098689915564244134774455164123963231043584,243583606221097154536231196779224931065082675200,11692013098689915564244134774455164123963231043584,1,1
44,187072209578682711309034400039344462834929445634048,3897337699558822120512238459620945979237547900928,187072209578682711309034400039344462834929445634048,1,1
45,2993155353256591619655943379500375718939589129273344,62357403192739111272836684644423420700810847191040,2993155353256591619655943379500375718939589129273344,1,1
46,47890485652081324771019638518171686163550752728940544,997718451085186909833070398679618408310826042654720,47890485652081324771019638518171686163550752728940544,1,1
47,766247770433141074578101949532998345061385492225851392,15963495217350059827386133541313000917545814348267520,766247770433141074578101949532998345061385492225851392,1,1
48,12259964326928625047781270680507544552313139530244816896,255415923477688069524109891955894481438767239196049408,12259964326928625047781270680507544552313139530244816896,1,1
49,196159429230847056073687292842433255818171124704098648064,4086654775642181545669406594135980209890906811641364480,196159429230847056073687292842433255818171124704098648064,1,1
50,3138550867693442864682721987785187447183242955566193049600,65386476410280479917010138082732904773558544589326909440,3138550867693442864682721987785187447183242955566193049600,1,1
51,50216813883094340773221120330758168877378698917348357701632,1046183622564434714402315699816722311988699354155649597440,50216813883094340773221120330758168877378698917348357701632,1,1
52,803469022129502053479853168295250095892180923817647713288192,16738937961031312242360227685770170963083323483202716172288,803469022129502053479853168295250095892180923817647713288192,1,1
53,12855504354071982317233309666918281012118328413108273472864256,267823007376497606164493466329172533707238318869127595294720,12855504354071982317233309666918281012118328413108273472864256,1,1
54,205688069665151220710702046930233291146067510113436775579910144,4285168118023984534594978756604575062287672626781976117903360,205688069665151220710702046930233291146067510113436775579910144,1,1
55,3291009114642416114223090258877669108520362288473491671858806784,68562689888383535611870368799956357124768727167470108892200960,3291009114642416114223090258877669108520362288473491671858806784,1,1
56,52656145834278624598705828715799894249816227539591841450301587456,1097003038214138031291563231701895399127473924249269041069293568,52656145834278624598705828715799894249816227539591841450301587456,1,1
57,842498333348457763189799041317344097375345737879432442897917542400,17552048611426194616399457063655564682835805127059917034498293760,842498333348457763189799041317344097375345737879432442897917542400,1,1
58,13479973333575321990853408484621077557881021494427251885934846672896,280832777782819207398496102196270607664343641047497443230854676480,13479973333575321990853408484621077557881021494427251885934846672896,1,1
59,215679573337205136360438067479848789122829145627342745018728739504128,4493324444525106429782942137951402834497954095561507092905936814080,215679573337205136360438067479848789122829145627342745018728739504128,1,1
60,3450873173395282033688962297877007061922781409320808701575481322897408,71893191112401708862837780714600715237510603777637521682035531317248,3450873173395282033688962297877007061922781409320808701575481322897408,1,1
61,55213970774324511499567057144431478559238138218105687418358177806155776,1150291057798427284935452779613517848733726795871027305958346430873600,55213970774324511499567057144431478559238138218105687418358177806155776,1,1
62,883423532389192174132954035059195023477362502644191484769631398868811776,18404656924774836942091129690288498840098389736597860760902391614668800,883423532389192174132954035059195023477362502644191484769631398868811776,1,1
63,14134776518227074716537067743432903021707556106278911659106742714702495744,294474510796397387433781165488129954969705507840938793544952119610572800,14134776518227074716537067743432903021707556106278911659106742714702495744,1,1
