m,majorant_upper,block_d1_lower,block_d2_lower,block_d4_lower,block_d8_lower,remainder_lower_bound,remainder_upper_bound
10,3.2847596397775582,2.534638440415064,2.700133005413212,2.6057939917537927,1.6180339887498947,-0.7888963647554981,5.057369978887962
20,3.5390478301764934,3.054253228855574,3.189524230785135,3.235874254873824,3.0977531127090785,-1.1611759520976452,4.902295553955739
50,3.7589497021829583,3.5337754842921294,3.602820925830587,3.644878661359499,3.637289956315976,-1.227749651557989,4.475802389614977
100,3.8581087163985104,3.740804387273621,3.7779386190670747,3.803096879450139,3.806523492828018,-1.1299305150588257,4.02859184199043
200,3.9185985151511815,3.859290341219547,3.87842926347777,3.892004456721637,3.89555898435896,-0.985894931898212,3.622011226546096
500,3.962095160079864,3.938543168345161,3.9462666481203446,3.951883924721711,3.953756065024447,-0.7844068991793982,3.3851406285291965
1000,3.9790979985297077,3.967470164115035,3.971315717078815,3.9741322346538968,3.9751398962611058,-0.6440880233362272,3.31401424526571
3000,3.9920410715679244,3.988254926751518,3.989519571830884,3.9904479310129277,3.9907959308961005,-0.4568985232302438,3.2785234922414794
10000,3.997299979024825,3.99619172566789,3.9965648638519222,3.996838183795022,3.99694227523599,-0.30177821767520285,3.2752596706740853
30000,3.999008298622803,3.9986459884283736,3.9987686522007504,3.9988582338473746,3.9988924686651512,-0.19891483762223316,3.2759838919251933
100000,3.999673193340679,3.9995664153184576,3.999602736103232,3.9996291785423224,3.9996392833723653,-0.11906642857428551,3.2719304028018286
300000,3.9998823574718516,3.9998472386525084,3.9998592240873783,3.999867928793704,3.99987125180224,-0.06876542155238496,3.2629354618942017
1000000,3.999961897467777,3.9999514892477843,3.9999550514411752,3.9999576330549806,3.9999586173358233,-0.03165655069383888,3.248475402915261
