radices,h,rank,multisets,sumset_size,collision_generators
2,0,0,1,1,0
2,1,0,3,3,0
2,2,1,6,5,1
3,0,0,1,1,0
3,1,0,3,3,0
3,2,0,6,6,0
3,3,1,10,9,1
4,0,0,1,1,0
4,1,0,3,3,0
4,2,0,6,6,0
4,3,0,10,10,0
4,4,1,15,14,1
5,0,0,1,1,0
5,1,0,3,3,0
5,2,0,6,6,0
5,3,0,10,10,0
5,4,0,15,15,0
5,5,1,21,20,1
6,0,0,1,1,0
6,1,0,3,3,0
6,2,0,6,6,0
6,3,0,10,10,0
6,4,0,15,15,0
6,5,0,21,21,0
6,6,1,28,27,1
"2,2",0,0,1,1,0
"2,2",1,0,4,4,0
"2,2",2,2,10,8,2
"2,3",0,0,1,1,0
"2,3",1,0,4,4,0
"2,3",2,1,10,9,1
"2,3",3,2,20,15,5
"2,4",0,0,1,1,0
"2,4",1,0,4,4,0
"2,4",2,1,10,9,1
"2,4",3,1,20,16,4
"2,4",4,2,35,24,11
"2,5",0,0,1,1,0
"2,5",1,0,4,4,0
"2,5",2,1,10,9,1
"2,5",3,1,20,16,4
"2,5",4,1,35,25,10
"2,5",5,2,56,35,21
"2,6",0,0,1,1,0
"2,6",1,0,4,4,0
"2,6",2,1,10,9,1
"2,6",3,1,20,16,4
"2,6",4,1,35,25,10
"2,6",5,1,56,36,20
"2,6",6,2,84,48,36
"3,3",0,0,1,1,0
"3,3",1,0,4,4,0
"3,3",2,0,10,10,0
"3,3",3,2,20,18,2
"3,4",0,0,1,1,0
"3,4",1,0,4,4,0
"3,4",2,0,10,10,0
"3,4",3,1,20,19,1
"3,4",4,2,35,30,5
"3,5",0,0,1,1,0
"3,5",1,0,4,4,0
"3,5",2,0,10,10,0
"3,5",3,1,20,19,1
"3,5",4,1,35,31,4
"3,5",5,2,56,45,11
"3,6",0,0,1,1,0
"3,6",1,0,4,4,0
"3,6",2,0,10,10,0
"3,6",3,1,20,19,1
"3,6",4,1,35,31,4
"3,6",5,1,56,46,10
"3,6",6,2,84,63,21
"4,4",0,0,1,1,0
"4,4",1,0,4,4,0
"4,4",2,0,10,10,0
"4,4",3,0,20,20,0
"4,4",4,2,35,33,2
"4,5",0,0,1,1,0
"4,5",1,0,4,4,0
"4,5",2,0,10,10,0
"4,5",3,0,20,20,0
"4,5",4,1,35,34,1
"4,5",5,2,56,51,5
"4,6",0,0,1,1,0
"4,6",1,0,4,4,0
"4,6",2,0,10,10,0
"4,6",3,0,20,20,0
"4,6",4,1,35,34,1
"4,6",5,1,56,52,4
"4,6",6,2,84,73,11
"5,5",0,0,1,1,0
"5,5",1,0,4,4,0
"5,5",2,0,10,10,0
"5,5",3,0,20,20,0
"5,5",4,0,35,35,0
"5,5",5,2,56,54,2
"5,6",0,0,1,1,0
"5,6",1,0,4,4,0
"5,6",2,0,10,10,0
"5,6",3,0,20,20,0
"5,6",4,0,35,35,0
"5,6",5,1,56,55,1
"5,6",6,2,84,79,5
"6,6",0,0,1,1,0
"6,6",1,0,4,4,0
"6,6",2,0,10,10,0
"6,6",3,0,20,20,0
"6,6",4,0,35,35,0
"6,6",5,0,56,56,0
"6,6",6,2,84,82,2
"2,2,2",0,0,1,1,0
"2,2,2",1,0,5,5,0
"2,2,2",2,3,15,12,3
"2,2,3",0,0,1,1,0
"2,2,3",1,0,5,5,0
"2,2,3",2,2,15,13,2
"2,2,3",3,3,35,24,11
"2,2,4",0,0,1,1,0
"2,2,4",1,0,5,5,0
"2,2,4",2,2,15,13,2
"2,2,4",3,2,35,25,10
"2,2,4",4,3,70,40,30
"2,2,5",0,0,1,1,0
"2,2,5",1,0,5,5,0
"2,2,5",2,2,15,13,2
"2,2,5",3,2,35,25,10
"2,2,5",4,2,70,41,29
"2,2,5",5,3,126,60,66
"2,2,6",0,0,1,1,0
"2,2,6",1,0,5,5,0
"2,2,6",2,2,15,13,2
"2,2,6",3,2,35,25,10
"2,2,6",4,2,70,41,29
"2,2,6",5,2,126,61,65
"2,2,6",6,3,210,84,126
"2,3,3",0,0,1,1,0
"2,3,3",1,0,5,5,0
"2,3,3",2,1,15,14,1
"2,3,3",3,3,35,28,7
"2,3,4",0,0,1,1,0
"2,3,4",1,0,5,5,0
"2,3,4",2,1,15,14,1
"2,3,4",3,2,35,29,6
"2,3,4",4,3,70,49,21
"2,3,5",0,0,1,1,0
"2,3,5",1,0,5,5,0
"2,3,5",2,1,15,14,1
"2,3,5",3,2,35,29,6
"2,3,5",4,2,70,50,20
"2,3,5",5,3,126,76,50
"2,3,6",0,0,1,1,0
"2,3,6",1,0,5,5,0
"2,3,6",2,1,15,14,1
"2,3,6",3,2,35,29,6
"2,3,6",4,2,70,50,20
"2,3,6",5,2,126,77,49
"2,3,6",6,3,210,109,101
"2,4,4",0,0,1,1,0
"2,4,4",1,0,5,5,0
"2,4,4",2,1,15,14,1
"2,4,4",3,1,35,30,5
"2,4,4",4,3,70,53,17
"2,4,5",0,0,1,1,0
"2,4,5",1,0,5,5,0
"2,4,5",2,1,15,14,1
"2,4,5",3,1,35,30,5
"2,4,5",4,2,70,54,16
"2,4,5",5,3,126,85,41
"2,4,6",0,0,1,1,0
"2,4,6",1,0,5,5,0
"2,4,6",2,1,15,14,1
"2,4,6",3,1,35,30,5
"2,4,6",4,2,70,54,16
"2,4,6",5,2,126,86,40
"2,4,6",6,3,210,125,85
"2,5,5",0,0,1,1,0
"2,5,5",1,0,5,5,0
"2,5,5",2,1,15,14,1
"2,5,5",3,1,35,30,5
"2,5,5",4,1,70,55,15
"2,5,5",5,3,126,89,37
"2,5,6",0,0,1,1,0
"2,5,6",1,0,5,5,0
"2,5,6",2,1,15,14,1
"2,5,6",3,1,35,30,5
"2,5,6",4,1,70,55,15
"2,5,6",5,2,126,90,36
"2,5,6",6,3,210,134,76
"2,6,6",0,0,1,1,0
"2,6,6",1,0,5,5,0
"2,6,6",2,1,15,14,1
"2,6,6",3,1,35,30,5
"2,6,6",4,1,70,55,15
"2,6,6",5,1,126,91,35
"2,6,6",6,3,210,138,72
"3,3,3",0,0,1,1,0
"3,3,3",1,0,5,5,0
"3,3,3",2,0,15,15,0
"3,3,3",3,3,35,32,3
"3,3,4",0,0,1,1,0
"3,3,4",1,0,5,5,0
"3,3,4",2,0,15,15,0
"3,3,4",3,2,35,33,2
"3,3,4",4,3,70,59,11
"3,3,5",0,0,1,1,0
"3,3,5",1,0,5,5,0
"3,3,5",2,0,15,15,0
"3,3,5",3,2,35,33,2
"3,3,5",4,2,70,60,10
"3,3,5",5,3,126,95,31
"3,3,6",0,0,1,1,0
"3,3,6",1,0,5,5,0
"3,3,6",2,0,15,15,0
"3,3,6",3,2,35,33,2
"3,3,6",4,2,70,60,10
"3,3,6",5,2,126,96,30
"3,3,6",6,3,210,140,70
"3,4,4",0,0,1,1,0
"3,4,4",1,0,5,5,0
"3,4,4",2,0,15,15,0
"3,4,4",3,1,35,34,1
"3,4,4",4,3,70,63,7
"3,4,5",0,0,1,1,0
"3,4,5",1,0,5,5,0
"3,4,5",2,0,15,15,0
"3,4,5",3,1,35,34,1
"3,4,5",4,2,70,64,6
"3,4,5",5,3,126,105,21
"3,4,6",0,0,1,1,0
"3,4,6",1,0,5,5,0
"3,4,6",2,0,15,15,0
"3,4,6",3,1,35,34,1
"3,4,6",4,2,70,64,6
"3,4,6",5,2,126,106,20
"3,4,6",6,3,210,159,51
"3,5,5",0,0,1,1,0
"3,5,5",1,0,5,5,0
"3,5,5",2,0,15,15,0
"3,5,5",3,1,35,34,1
"3,5,5",4,1,70,65,5
"3,5,5",5,3,126,109,17
"3,5,6",0,0,1,1,0
"3,5,6",1,0,5,5,0
"3,5,6",2,0,15,15,0
"3,5,6",3,1,35,34,1
"3,5,6",4,1,70,65,5
"3,5,6",5,2,126,110,16
"3,5,6",6,3,210,169,41
"3,6,6",0,0,1,1,0
"3,6,6",1,0,5,5,0
"3,6,6",2,0,15,15,0
"3,6,6",3,1,35,34,1
"3,6,6",4,1,70,65,5
"3,6,6",5,1,126,111,15
"3,6,6",6,3,210,173,37
"4,4,4",0,0,1,1,0
"4,4,4",1,0,5,5,0
"4,4,4",2,0,15,15,0
"4,4,4",3,0,35,35,0
"4,4,4",4,3,70,67,3
"4,4,5",0,0,1,1,0
"4,4,5",1,0,5,5,0
"4,4,5",2,0,15,15,0
"4,4,5",3,0,35,35,0
"4,4,5",4,2,70,68,2
"4,4,5",5,3,126,115,11
"4,4,6",0,0,1,1,0
"4,4,6",1,0,5,5,0
"4,4,6",2,0,15,15,0
"4,4,6",3,0,35,35,0
"4,4,6",4,2,70,68,2
"4,4,6",5,2,126,116,10
"4,4,6",6,3,210,179,31
"4,5,5",0,0,1,1,0
"4,5,5",1,0,5,5,0
"4,5,5",2,0,15,15,0
"4,5,5",3,0,35,35,0
"4,5,5",4,1,70,69,1
"4,5,5",5,3,126,119,7
"4,5,6",0,0,1,1,0
"4,5,6",1,0,5,5,0
"4,5,6",2,0,15,15,0
"4,5,6",3,0,35,35,0
"4,5,6",4,1,70,69,1
"4,5,6",5,2,126,120,6
"4,5,6",6,3,210,189,21
"4,6,6",0,0,1,1,0
"4,6,6",1,0,5,5,0
"4,6,6",2,0,15,15,0
"4,6,6",3,0,35,35,0
"4,6,6",4,1,70,69,1
"4,6,6",5,1,126,121,5
"4,6,6",6,3,210,193,17
"5,5,5",0,0,1,1,0
"5,5,5",1,0,5,5,0
"5,5,5",2,0,15,15,0
"5,5,5",3,0,35,35,0
"5,5,5",4,0,70,70,0
"5,5,5",5,3,126,123,3
"5,5,6",0,0,1,1,0
"5,5,6",1,0,5,5,0
"5,5,6",2,0,15,15,0
"5,5,6",3,0,35,35,0
"5,5,6",4,0,70,70,0
"5,5,6",5,2,126,124,2
"5,5,6",6,3,210,199,11
"5,6,6",0,0,1,1,0
"5,6,6",1,0,5,5,0
"5,6,6",2,0,15,15,0
"5,6,6",3,0,35,35,0
"5,6,6",4,0,70,70,0
"5,6,6",5,1,126,125,1
"5,6,6",6,3,210,203,7
"6,6,6",0,0,1,1,0
"6,6,6",1,0,5,5,0
"6,6,6",2,0,15,15,0
