j,r_j,r_j_plus_tree_coefficient,rho_j,beta_j_minus_1
1,0,1,1.00000000000000000000000000000000000000000000000000,0.36787944117144232159552377016146086744581113103177
2,1/4,5/4,0.71616617919084682702650012625687889914809211352261,0.41916910404576586486749936871560550425953943238697
3,2/3,13/6,0.63347528775475737134710505623329214891220027187438,0.44120531479703854312190856724180051603534911640825
4,13/8,103/24,0.59523708680580695702270821543098298140564289022560,0.45360461689748419042720650796432699782612262325033
5,59/15,1097/120,0.57349740847026382941989820953561619795452496555907,0.46159606548330631170841454266828184500823328979174
6,115/12,1223/60,0.55957862497361406511248381212134026603972957063863,0.46719189853438260585640399613147974718854040888513
7,9893/420,47273/1008,0.54994940884468850274815470170699754041975105535732,0.47133670253735976656838517075226192222350434482687
8,42037/720,556403/5040,0.54291410765397515254370175738826381296003845983167,0.47453420883984946322534471701425563764437356490127
9,367439/2520,10661993/40320,0.53756127976039466389370550475985996070709295057801,0.47707823579621896701356537482903733986469521311495
10,461843/1260,7281587/11340,0.53335901606246405453353000609441954326657872705048,0.47915198750964927536494649180035300144184226304723
11,369915925/399168,62929017101/39916800,0.52997678897883358875994961622100760977476000146896,0.48087576195098691049572762288971000989030123829865
12,9889819/4200,7218065/1848,0.52719877426857618045061864133556991648651025648043,0.48233188535721103050422251882286252953572239417433
13,1559199064979/259459200,60718862681977/6227020800,0.52487827181341267736918942322595549842195052886375,0.48357863697492662015944732019716694094232197076835
14,28807163437/1871100,595953719897/24324300,0.52291219939405924634383224425876903620355060749721,0.48465845402954900604386531870096602728805959171516
15,304269517271/7687680,13324966405463/215255040,0.52122607192401748523586711829967568600113632264315,0.48560298585361812734143158416660199521289681460983
16,27804160102001/272432160,247016301114823/1571724000,0.51976477000732609594279002808575900842263262249848,0.48643632571905864279893775725436557745071224487307
17,225635327214620699/855017856000,28505097599389815853/71137485619200,0.51848665717425389711367624064475283301166937720108,0.48717714446094876979107437503748246655120304847307
18,21569117851669/31531500,549689343118061/536035500,0.51735971241481571021625303168262199095966462911444,0.48784013850122325683187695368572700368409267242493
19,6004960948927117890641/3379030566912000,320305944459287485595917/121645100408832000,0.51635891777750832020725969424454758568033347463770,0.48843703656293443197127594443518644274196640545126
20,11125077469799903/2404737720,4027894135040576041/593970216840,0.51546445126382113077395944404908645993152889186397,0.48897731460578313013956896175777236406714719857805
21,9587622797033211391/794598604800,2782930310293769205209/158919720960000,0.51466041018418232950920675414256652818449494491171,0.48946871322550183893391030590398659206123225994375
22,1170251365582467148009/37123138552500,7067855719230554051081/155917181920500,0.51393389217753269180073352179200265118087080845197,0.48991761847134287173911775777390453465925141785299
23,48465416160218397613231601141/587545834974658560000,3040324745825605670388931011533/25852016738884976640000,0.51327432246013409714595396403756471314009005227369,0.49032934642645149590870595389187189789667418488862
24,1130119955771199803489/5228132910000,36763047685799912421559/120247056930000,0.51267295379123974398496653766925304683528758826023,0.49070835881406241013499087121969047238972853301097
25,293275277026176862051787571431/517040334777699532800,19761555183337290865454797569313/24817936069329577574400,0.51212248965823432178648768647664791831627638943243,0.49105842840048829605548007086824292848518213596865
26,176361419586591984934185497/118341141077659500,30729989774313926321118712901/14792642634707437500,0.51161679673077252931552020308608936901851343227388,0.49138276734045008524327607814466161294683334524104
27,1069336736445275826164888725909/272786923487232000000,200200004656139993948950110989249/36880792055473766400000,0.51115068290147572644130777547970332077705706682552,0.49168412781446951896017161883062697657541781908878
28,81023257984881225552954440713/7849157316375375000,3010463088898734769738048328947/211927247542135125000,0.51071972413696346511307861448058583410166569783643,0.49196488170328202321377798915981174870887550356236
