n,A289587,no_upper_bonds,no_upper_bonds_no_fixed_points,indecomposable_nontrivial_core
0,1,1,1,0
1,1,1,0,0
2,1,2,1,1
3,3,4,1,1
4,6,10,4,3
5,18,26,9,7
6,47,72,27,19
7,139,206,76,53
8,405,606,227,153
9,1225,1820,683,453
10,3740,5558,2096,1367
11,11602,17206,6507,4191
12,36357,53872,20429,13015
13,115049,170298,64720,40857
14,366969,542778,206669,129441
15,1178791,1742308,664485,413337
16,3809802,5627698,2149364,1328971
17,12380078,18277698,6989485,4298727
18,40423803,59652952,22836991,13978971
19,132564051,195541494,74933756,45673981
20,436417933,643506310,246819399,149867513
21,1441809621,2125255036,815808119,493638797
22,4778632088,7041631854,2705007808,1631616239
23,15884348886,23400092142,8995038263,5410015615
24,52941973417,77971706848,29990815161,17990076527
25,176889898401,260458050034,100238209856,59981630321
26,592374142673,872040564850,335782072569,200476419713
27,1987954027307,2925902656644,1127169255753,671564145137
28,6684494576974,9836517749658,3791089619076,2254338511507
29,22517715819578,33130048199466,12773934480657,7582179238151
30,75983791423879,111776037271016,43114084154851,25547868961315
31,256809375665355,377722820925406,145747326307852,86228168309701
32,869262494471781,1278356669002478,493431008193387,291494652615705
33,2946469358743265,4332569575823644,1672853779718435,986862016386773
34,10000645973989812,14703394731890598,5678843586226864,3345707559436871
35,33985728711070154,49961472278631846,19301892553089059,11357687172453727
36,115631861349194285,169968367618749264,65682291256285573,38603785106178119
37,393861251950864425,578879834356304810,223757625921866832,131364582512571145
38,1342976429390893961,1973651879722331690,763068313939299013,447515251843733665
39,4583839975096719311,6735825703449841124,2604844537785621549,1526136627878598025
40,15660467184801255954,23010571286856938946,8900441105642847924,5209689075571243099
41,53551798035278670198,78679202460725689938,30439160124719997045,17800882211285695847
42,183281562663673184787,269258640028547245304,104190159889553625607,60878320249439994091
43,627800245387204413811,922229424131951965958,356924552176422357372,208380319779107251213
44,2152117343810763136669,3161197276102357840406,1223674085874756562831,713849104352844714745
45,7383070911392746684845,10844069190987389439996,4198360509618938157167,2447348171749513125661
46,25346652076255324710832,37226033913455673276126,14414656447108898480896,8396721019237876314335
47,87076985393333408289646,127879734356893820587998,49525210731338011813103,28829312894217796961791
48,299345654160414064229073,439586800798473348620224,170268189667898662497009,99050421462676023626207
49,1029716450268798360981121,1512041745860859675742178,585752683262531175374080,340536379335797324994017
50,3544267516076863492473633,5204129584332241795776226,2016312108903589722514033,1171505366525062350748161
51,12206443925547966254777043,17922030654786632582732804,6944703218489726568852369,4032624217807179445028065
52,42062580770559480828078230,61754887230887900870327850,23932740396954223866311556,13889406436979453137704739
53,145023230697603378174430498,212907625949285029135694650,82521072577688290701535769,47865480793908447732623111
54,500271158484546420642091231,734409261874645861575773576,284683558359634640086351019,165042145155376581403071539
