block_size_d,blocks_n,lattice_points,h_coefficients_in_increasing_degree,variance
1,0,1,1,0
1,1,2,1 1,1/4
1,2,5,1 3 1,2/5
1,3,14,1 6 6 1,15/28
1,4,42,1 10 20 10 1,2/3
1,5,132,1 15 50 50 15 1,35/44
1,6,429,1 21 105 175 105 21 1,12/13
1,7,1430,1 28 196 490 490 196 28 1,21/20
1,8,4862,1 36 336 1176 1764 1176 336 36 1,20/17
2,0,1,1,0
2,1,6,1 4 1,1/3
2,2,53,1 12 27 12 1,32/53
2,3,554,1 24 134 236 134 24 1,239/277
2,4,6362,1 40 410 1540 2380 1540 410 40 1,3556/3181
2,5,77580,1 60 975 6260 18386 26216 18386 6260 975 60 1,26593/19395
2,6,986253,1 84 1981 19320 91441 227052 306495 227052 91441 19320 1981 84 1,1601056/986253
2,7,12927170,1 112 3612 49672 344260 1312080 2883562 3740572 2883562 1312080 344260 49672 3612 112 1,2423871/1292717
2,8,173452334,1 144 6084 112056 1067808 5775000 18710520 37474668 47159772 37474668 18710520 5775000 1067808 112056 6084 144 1,16764020/7884197
3,0,1,1,0
3,1,20,1 9 9 1,9/20
3,2,662,1 27 162 282 162 27 1,279/331
3,3,26780,1 54 756 3930 8649 8649 3930 756 54 1,32823/26780
3,4,1205961,1 90 2250 22915 111204 278415 376211 278415 111204 22915 2250 90 1,645168/401987
3,5,58050204,1 135 5265 87810 740475 3452652 9384683 15354081 15354081 9384683 3452652 740475 87810 5265 135 1,38364753/19350068
3,6,2924165436,1 189 10584 261156 3374721 25114635 114078174 328358439 613575234 754619170 613575234 328358439 114078174 25114635 3374721 261156 10584 189 1,574974525/243680453
3,7,152231599628,1 252 19152 654472 11987388 129823974 883961188 3941599131 11835974556 24393401401 34918378299 34918378299 24393401401 11835974556 3941599131 883961188 129823974 11987388 654472 19152 252 1,416492510211/152231599628
3,8,8125577046740,1 324 32076 1448910 35660898 528585750 5027519838 32029024104 140862151683 437006787162 971131577535 1561828301010 1828674868158 1561828301010 971131577535 437006787162 140862151683 32029024104 5027519838 528585750 35660898 1448910 32076 324 1,6321615023592/2031394261685
4,0,1,1,0
4,1,70,1 16 36 16 1,4/7
4,2,8885,1 48 556 2160 3355 2160 556 48 1,9664/8885
4,3,1409002,1 96 2520 26400 129350 325616 441036 325616 129350 26400 2520 96 1,1123372/704501
4,4,250837850,1 160 7400 146400 1466970 8179408 26942180 54381904 68589004 54381904 26942180 8179408 1466970 146400 7400 160 1,52634224/25083785
4,5,47928217484,1 240 17180 545840 9161999 89576592 542757140 2125656912 5536327890 9766255392 11787619112 9766255392 5536327890 2125656912 542757140 89576592 9161999 545840 17180 240 1,31161852692/11982054371
4,6,9605146588557,1 336 34356 1595216 40145917 605218656 5826035896 37418207456 165449945841 515141563696 1147517516556 1848119815216 2164906430271 1848119815216 1147517516556 515141563696 165449945841 37418207456 5826035896 605218656 40145917 1595216 34356 336 1,29798426617088/9605146588557
