n,principal_ideal_bitmasks,h_coefficients
0,,1
1,1,1;1
2,1;2,1;2;1
2,1;3,1;3;1
2,3;2,1;3;1
2,3;3,1;4;1
3,1;2;4,1;3;3;1
3,1;2;5,1;4;4;1
3,1;2;6,1;4;4;1
3,1;2;7,1;5;5;1
3,1;3;4,1;4;4;1
3,1;3;5,1;5;5;1
3,1;3;7,1;6;6;1
3,1;6;4,1;4;4;1
3,1;6;6,1;5;5;1
3,1;7;4,1;5;5;1
3,1;7;5,1;6;6;1
3,1;7;7,1;7;7;1
3,3;2;4,1;4;4;1
3,3;2;6,1;5;5;1
3,3;2;7,1;6;6;1
3,3;3;4,1;5;5;1
3,3;3;7,1;7;7;1
3,5;2;4,1;4;4;1
3,5;2;5,1;5;5;1
3,5;6;4,1;5;5;1
3,5;7;4,1;6;6;1
3,5;7;5,1;7;7;1
3,7;2;4,1;5;5;1
3,7;2;6,1;6;6;1
3,7;2;7,1;7;7;1
3,7;6;4,1;6;6;1
3,7;6;6,1;7;7;1
3,7;7;4,1;7;7;1
3,7;7;7,1;9;9;1
4,1;2;4;8,1;4;6;4;1
4,1;2;4;9,1;5;8;5;1
4,1;2;4;10,1;5;8;5;1
4,1;2;4;11,1;6;10;6;1
4,1;2;4;12,1;5;8;5;1
4,1;2;4;13,1;6;10;6;1
4,1;2;4;14,1;6;10;6;1
4,1;2;4;15,1;7;12;7;1
4,1;2;5;8,1;5;8;5;1
4,1;2;5;9,1;6;10;6;1
4,1;2;5;10,1;6;11;6;1
4,1;2;5;11,1;7;13;7;1
4,1;2;5;13,1;7;12;7;1
4,1;2;5;15,1;8;15;8;1
4,1;2;6;8,1;5;8;5;1
4,1;2;6;9,1;6;11;6;1
4,1;2;6;10,1;6;10;6;1
4,1;2;6;11,1;7;13;7;1
4,1;2;6;14,1;7;12;7;1
4,1;2;6;15,1;8;15;8;1
4,1;2;7;8,1;6;10;6;1
4,1;2;7;9,1;7;13;7;1
4,1;2;7;10,1;7;13;7;1
4,1;2;7;11,1;8;15;8;1
4,1;2;7;15,1;9;17;9;1
4,1;2;12;8,1;5;8;5;1
4,1;2;12;12,1;6;10;6;1
4,1;2;13;8,1;6;10;6;1
4,1;2;13;9,1;7;12;7;1
4,1;2;13;13,1;8;14;8;1
4,1;2;14;8,1;6;10;6;1
4,1;2;14;10,1;7;12;7;1
4,1;2;14;14,1;8;14;8;1
4,1;2;15;8,1;7;12;7;1
4,1;2;15;9,1;8;15;8;1
4,1;2;15;10,1;8;15;8;1
4,1;2;15;11,1;9;17;9;1
4,1;2;15;15,1;10;19;10;1
4,1;3;4;8,1;5;8;5;1
4,1;3;4;9,1;6;10;6;1
4,1;3;4;11,1;7;12;7;1
4,1;3;4;12,1;6;11;6;1
4,1;3;4;13,1;7;13;7;1
4,1;3;4;15,1;8;15;8;1
4,1;3;5;8,1;6;10;6;1
4,1;3;5;9,1;7;12;7;1
4,1;3;5;11,1;8;15;8;1
4,1;3;5;13,1;8;15;8;1
4,1;3;5;15,1;9;18;9;1
4,1;3;7;8,1;7;12;7;1
4,1;3;7;9,1;8;15;8;1
4,1;3;7;11,1;9;17;9;1
4,1;3;7;15,1;10;20;10;1
4,1;3;12;8,1;6;11;6;1
4,1;3;12;12,1;7;14;7;1
4,1;3;13;8,1;7;13;7;1
4,1;3;13;9,1;8;15;8;1
4,1;3;13;13,1;9;18;9;1
4,1;3;15;8,1;8;15;8;1
4,1;3;15;9,1;9;18;9;1
4,1;3;15;11,1;10;20;10;1
4,1;3;15;15,1;11;23;11;1
4,1;6;4;8,1;5;8;5;1
4,1;6;4;9,1;6;11;6;1
4,1;6;4;12,1;6;10;6;1
4,1;6;4;13,1;7;13;7;1
4,1;6;4;14,1;7;12;7;1
4,1;6;4;15,1;8;15;8;1
4,1;6;6;8,1;6;10;6;1
4,1;6;6;9,1;7;14;7;1
4,1;6;6;14,1;8;14;8;1
4,1;6;6;15,1;9;18;9;1
4,1;7;4;8,1;6;10;6;1
4,1;7;4;9,1;7;13;7;1
4,1;7;4;12,1;7;13;7;1
4,1;7;4;13,1;8;15;8;1
4,1;7;4;15,1;9;17;9;1
4,1;7;5;8,1;7;12;7;1
4,1;7;5;9,1;8;15;8;1
4,1;7;5;13,1;9;17;9;1
4,1;7;5;15,1;10;20;10;1
4,1;7;7;8,1;8;14;8;1
4,1;7;7;9,1;9;18;9;1
4,1;7;7;15,1;11;22;11;1
4,1;10;4;8,1;5;8;5;1
4,1;10;4;10,1;6;10;6;1
4,1;10;5;8,1;6;11;6;1
4,1;10;5;10,1;7;14;7;1
4,1;10;12;8,1;6;10;6;1
4,1;10;13;8,1;7;13;7;1
4,1;10;14;8,1;7;12;7;1
4,1;10;14;10,1;8;14;8;1
4,1;10;15;8,1;8;15;8;1
4,1;10;15;10,1;9;18;9;1
4,1;11;4;8,1;6;10;6;1
4,1;11;4;9,1;7;12;7;1
4,1;11;4;11,1;8;14;8;1
4,1;11;5;8,1;7;13;7;1
4,1;11;5;9,1;8;15;8;1
4,1;11;5;11,1;9;18;9;1
4,1;11;12;8,1;7;13;7;1
4,1;11;13;8,1;8;15;8;1
4,1;11;13;9,1;9;17;9;1
4,1;11;15;8,1;9;17;9;1
4,1;11;15;9,1;10;20;10;1
4,1;11;15;11,1;11;22;11;1
4,1;14;4;8,1;6;10;6;1
4,1;14;4;12,1;7;12;7;1
4,1;14;4;14,1;8;14;8;1
4,1;14;12;8,1;7;12;7;1
4,1;14;12;12,1;8;14;8;1
4,1;14;14;8,1;8;14;8;1
4,1;14;14;14,1;10;18;10;1
4,1;15;4;8,1;7;12;7;1
4,1;15;4;9,1;8;15;8;1
4,1;15;4;12,1;8;15;8;1
4,1;15;4;13,1;9;17;9;1
4,1;15;4;15,1;10;19;10;1
4,1;15;5;8,1;8;15;8;1
4,1;15;5;9,1;9;18;9;1
4,1;15;5;13,1;10;20;10;1
4,1;15;5;15,1;11;23;11;1
4,1;15;12;8,1;8;15;8;1
4,1;15;12;12,1;9;18;9;1
4,1;15;13;8,1;9;17;9;1
4,1;15;13;9,1;10;20;10;1
4,1;15;13;13,1;11;22;11;1
4,1;15;15;8,1;10;19;10;1
4,1;15;15;9,1;11;23;11;1
4,1;15;15;15,1;13;27;13;1
4,3;2;4;8,1;5;8;5;1
4,3;2;4;10,1;6;10;6;1
4,3;2;4;11,1;7;12;7;1
4,3;2;4;12,1;6;11;6;1
4,3;2;4;14,1;7;13;7;1
4,3;2;4;15,1;8;15;8;1
4,3;2;6;8,1;6;10;6;1
4,3;2;6;10,1;7;12;7;1
4,3;2;6;11,1;8;15;8;1
4,3;2;6;14,1;8;15;8;1
4,3;2;6;15,1;9;18;9;1
4,3;2;7;8,1;7;12;7;1
4,3;2;7;10,1;8;15;8;1
4,3;2;7;11,1;9;17;9;1
4,3;2;7;15,1;10;20;10;1
4,3;2;12;8,1;6;11;6;1
4,3;2;12;12,1;7;14;7;1
4,3;2;14;8,1;7;13;7;1
4,3;2;14;10,1;8;15;8;1
4,3;2;14;14,1;9;18;9;1
4,3;2;15;8,1;8;15;8;1
4,3;2;15;10,1;9;18;9;1
4,3;2;15;11,1;10;20;10;1
4,3;2;15;15,1;11;23;11;1
4,3;3;4;8,1;6;10;6;1
4,3;3;4;11,1;8;14;8;1
4,3;3;4;12,1;7;14;7;1
4,3;3;4;15,1;9;18;9;1
4,3;3;7;8,1;8;14;8;1
4,3;3;7;11,1;10;19;10;1
4,3;3;7;15,1;11;23;11;1
4,3;3;12;8,1;7;14;7;1
4,3;3;12;12,1;8;18;8;1
4,3;3;15;8,1;9;18;9;1
4,3;3;15;11,1;11;23;11;1
4,3;3;15;15,1;12;27;12;1
4,5;2;4;8,1;5;8;5;1
4,5;2;4;10,1;6;11;6;1
4,5;2;4;12,1;6;10;6;1
4,5;2;4;13,1;7;12;7;1
4,5;2;4;14,1;7;13;7;1
4,5;2;4;15,1;8;15;8;1
4,5;2;5;8,1;6;10;6;1
4,5;2;5;10,1;7;14;7;1
4,5;2;5;13,1;8;14;8;1
4,5;2;5;15,1;9;18;9;1
4,5;6;4;8,1;6;10;6;1
4,5;6;4;12,1;7;12;7;1
4,5;6;4;13,1;8;15;8;1
4,5;6;4;14,1;8;15;8;1
4,5;6;4;15,1;9;18;9;1
4,5;7;4;8,1;7;12;7;1
4,5;7;4;12,1;8;15;8;1
4,5;7;4;13,1;9;17;9;1
4,5;7;4;15,1;10;20;10;1
4,5;7;5;8,1;8;14;8;1
4,5;7;5;13,1;10;19;10;1
4,5;7;5;15,1;11;23;11;1
4,5;10;4;8,1;6;11;6;1
4,5;10;4;10,1;7;14;7;1
4,5;10;5;8,1;7;14;7;1
4,5;10;5;10,1;8;18;8;1
4,5;14;4;8,1;7;13;7;1
4,5;14;4;12,1;8;15;8;1
4,5;14;4;14,1;9;18;9;1
4,5;15;4;8,1;8;15;8;1
4,5;15;4;12,1;9;18;9;1
4,5;15;4;13,1;10;20;10;1
4,5;15;4;15,1;11;23;11;1
4,5;15;5;8,1;9;18;9;1
4,5;15;5;13,1;11;23;11;1
4,5;15;5;15,1;12;27;12;1
4,7;2;4;8,1;6;10;6;1
4,7;2;4;10,1;7;13;7;1
4,7;2;4;12,1;7;13;7;1
4,7;2;4;14,1;8;15;8;1
4,7;2;4;15,1;9;17;9;1
4,7;2;6;8,1;7;12;7;1
4,7;2;6;10,1;8;15;8;1
4,7;2;6;14,1;9;17;9;1
4,7;2;6;15,1;10;20;10;1
4,7;2;7;8,1;8;14;8;1
4,7;2;7;10,1;9;18;9;1
4,7;2;7;15,1;11;22;11;1
4,7;6;4;8,1;7;12;7;1
4,7;6;4;12,1;8;15;8;1
4,7;6;4;14,1;9;17;9;1
4,7;6;4;15,1;10;20;10;1
4,7;6;6;8,1;8;14;8;1
4,7;6;6;14,1;10;19;10;1
4,7;6;6;15,1;11;23;11;1
4,7;7;4;8,1;8;14;8;1
4,7;7;4;12,1;9;18;9;1
4,7;7;4;15,1;11;22;11;1
4,7;7;7;8,1;10;18;10;1
4,7;7;7;15,1;13;27;13;1
4,9;2;4;8,1;5;8;5;1
4,9;2;4;9,1;6;10;6;1
4,9;2;6;8,1;6;11;6;1
4,9;2;6;9,1;7;14;7;1
4,9;2;12;8,1;6;10;6;1
4,9;2;13;8,1;7;12;7;1
4,9;2;13;9,1;8;14;8;1
4,9;2;14;8,1;7;13;7;1
4,9;2;15;8,1;8;15;8;1
4,9;2;15;9,1;9;18;9;1
4,9;6;4;8,1;6;11;6;1
4,9;6;4;9,1;7;14;7;1
4,9;6;6;8,1;7;14;7;1
4,9;6;6;9,1;8;18;8;1
4,9;10;4;8,1;6;10;6;1
4,9;10;12;8,1;7;12;7;1
4,9;10;13;8,1;8;15;8;1
4,9;10;14;8,1;8;15;8;1
4,9;10;15;8,1;9;18;9;1
4,9;11;4;8,1;7;12;7;1
4,9;11;4;9,1;8;14;8;1
4,9;11;12;8,1;8;15;8;1
4,9;11;13;8,1;9;17;9;1
4,9;11;13;9,1;10;19;10;1
4,9;11;15;8,1;10;20;10;1
4,9;11;15;9,1;11;23;11;1
4,9;14;4;8,1;7;13;7;1
4,9;14;12;8,1;8;15;8;1
4,9;14;14;8,1;9;18;9;1
4,9;15;4;8,1;8;15;8;1
4,9;15;4;9,1;9;18;9;1
4,9;15;12;8,1;9;18;9;1
4,9;15;13;8,1;10;20;10;1
4,9;15;13;9,1;11;23;11;1
4,9;15;15;8,1;11;23;11;1
4,9;15;15;9,1;12;27;12;1
4,11;2;4;8,1;6;10;6;1
4,11;2;4;10,1;7;12;7;1
4,11;2;4;11,1;8;14;8;1
4,11;2;6;8,1;7;13;7;1
4,11;2;6;10,1;8;15;8;1
4,11;2;6;11,1;9;18;9;1
4,11;2;12;8,1;7;13;7;1
4,11;2;14;8,1;8;15;8;1
4,11;2;14;10,1;9;17;9;1
4,11;2;15;8,1;9;17;9;1
4,11;2;15;10,1;10;20;10;1
4,11;2;15;11,1;11;22;11;1
4,11;10;4;8,1;7;12;7;1
4,11;10;4;10,1;8;14;8;1
4,11;10;12;8,1;8;15;8;1
4,11;10;14;8,1;9;17;9;1
4,11;10;14;10,1;10;19;10;1
4,11;10;15;8,1;10;20;10;1
4,11;10;15;10,1;11;23;11;1
4,11;11;4;8,1;8;14;8;1
4,11;11;4;11,1;10;18;10;1
4,11;11;12;8,1;9;18;9;1
4,11;11;15;8,1;11;22;11;1
4,11;11;15;11,1;13;27;13;1
4,13;2;4;8,1;6;10;6;1
4,13;2;4;12,1;7;12;7;1
4,13;2;4;13,1;8;14;8;1
4,13;2;12;8,1;7;12;7;1
4,13;2;12;12,1;8;14;8;1
4,13;2;13;8,1;8;14;8;1
4,13;2;13;13,1;10;18;10;1
4,13;6;4;8,1;7;13;7;1
4,13;6;4;12,1;8;15;8;1
4,13;6;4;13,1;9;18;9;1
4,13;10;4;8,1;7;13;7;1
4,13;10;12;8,1;8;15;8;1
4,13;10;13;8,1;9;18;9;1
4,13;14;4;8,1;8;15;8;1
4,13;14;4;12,1;9;17;9;1
4,13;14;12;8,1;9;17;9;1
4,13;14;12;12,1;10;19;10;1
4,13;15;4;8,1;9;17;9;1
4,13;15;4;12,1;10;20;10;1
4,13;15;4;13,1;11;22;11;1
4,13;15;12;8,1;10;20;10;1
4,13;15;12;12,1;11;23;11;1
4,13;15;13;8,1;11;22;11;1
4,13;15;13;13,1;13;27;13;1
4,15;2;4;8,1;7;12;7;1
4,15;2;4;10,1;8;15;8;1
4,15;2;4;12,1;8;15;8;1
4,15;2;4;14,1;9;17;9;1
4,15;2;4;15,1;10;19;10;1
4,15;2;6;8,1;8;15;8;1
4,15;2;6;10,1;9;18;9;1
4,15;2;6;14,1;10;20;10;1
4,15;2;6;15,1;11;23;11;1
4,15;2;12;8,1;8;15;8;1
4,15;2;12;12,1;9;18;9;1
4,15;2;14;8,1;9;17;9;1
4,15;2;14;10,1;10;20;10;1
4,15;2;14;14,1;11;22;11;1
4,15;2;15;8,1;10;19;10;1
4,15;2;15;10,1;11;23;11;1
4,15;2;15;15,1;13;27;13;1
4,15;6;4;8,1;8;15;8;1
4,15;6;4;12,1;9;18;9;1
4,15;6;4;14,1;10;20;10;1
4,15;6;4;15,1;11;23;11;1
4,15;6;6;8,1;9;18;9;1
4,15;6;6;14,1;11;23;11;1
4,15;6;6;15,1;12;27;12;1
4,15;10;4;8,1;8;15;8;1
4,15;10;4;10,1;9;18;9;1
4,15;10;12;8,1;9;18;9;1
4,15;10;14;8,1;10;20;10;1
4,15;10;14;10,1;11;23;11;1
4,15;10;15;8,1;11;23;11;1
4,15;10;15;10,1;12;27;12;1
4,15;14;4;8,1;9;17;9;1
4,15;14;4;12,1;10;20;10;1
4,15;14;4;14,1;11;22;11;1
4,15;14;12;8,1;10;20;10;1
4,15;14;12;12,1;11;23;11;1
4,15;14;14;8,1;11;22;11;1
4,15;14;14;14,1;13;27;13;1
4,15;15;4;8,1;10;19;10;1
4,15;15;4;12,1;11;23;11;1
4,15;15;4;15,1;13;27;13;1
4,15;15;12;8,1;11;23;11;1
4,15;15;12;12,1;12;27;12;1
4,15;15;15;8,1;13;27;13;1
4,15;15;15;15,1;16;36;16;1
5,1;2;4;8;16,1;5;10;10;5;1
5,1;2;4;8;17,1;6;13;13;6;1
5,1;2;4;8;18,1;6;13;13;6;1
5,1;2;4;8;19,1;7;16;16;7;1
5,1;2;4;8;20,1;6;13;13;6;1
5,1;2;4;8;21,1;7;16;16;7;1
5,1;2;4;8;22,1;7;16;16;7;1
5,1;2;4;8;23,1;8;19;19;8;1
5,1;2;4;8;24,1;6;13;13;6;1
5,1;2;4;8;25,1;7;16;16;7;1
5,1;2;4;8;26,1;7;16;16;7;1
5,1;2;4;8;27,1;8;19;19;8;1
5,1;2;4;8;28,1;7;16;16;7;1
5,1;2;4;8;29,1;8;19;19;8;1
5,1;2;4;8;30,1;8;19;19;8;1
5,1;2;4;8;31,1;9;22;22;9;1
5,1;2;4;9;16,1;6;13;13;6;1
5,1;2;4;9;17,1;7;16;16;7;1
5,1;2;4;9;18,1;7;17;17;7;1
5,1;2;4;9;19,1;8;20;20;8;1
5,1;2;4;9;20,1;7;17;17;7;1
5,1;2;4;9;21,1;8;20;20;8;1
5,1;2;4;9;22,1;8;21;21;8;1
5,1;2;4;9;23,1;9;24;24;9;1
5,1;2;4;9;25,1;8;19;19;8;1
5,1;2;4;9;27,1;9;23;23;9;1
5,1;2;4;9;29,1;9;23;23;9;1
5,1;2;4;9;31,1;10;27;27;10;1
5,1;2;4;10;16,1;6;13;13;6;1
5,1;2;4;10;17,1;7;17;17;7;1
5,1;2;4;10;18,1;7;16;16;7;1
5,1;2;4;10;19,1;8;20;20;8;1
5,1;2;4;10;20,1;7;17;17;7;1
5,1;2;4;10;21,1;8;21;21;8;1
5,1;2;4;10;22,1;8;20;20;8;1
5,1;2;4;10;23,1;9;24;24;9;1
