n,A225114,connected_A006958
0,1,0
1,1,1
2,3,2
3,9,4
4,28,9
5,87,20
6,272,46
7,850,105
8,2659,242
9,8318,557
10,26025,1285
11,81427,2964
12,254777,6842
13,797175,15793
14,2494307,36463
15,7804529,84187
16,24419909,194388
17,76408475,448847
18,239077739,1036426
19,748060606,2393208
20,2340639096,5526198
21,7323726778,12760671
22,22915525377,29466050
23,71701378526,68041019
24,224349545236,157115917
25,701976998795,362802072
26,2196446204672,837759792
27,6872555567553,1934502740
28,21503836486190,4467033943
29,67284284442622,10314998977
30,210528708959146,23818760154
31,658732386973300,55000815222
32,2061136268759682,127004500762
33,6449178456112269,293270987832
34,20179113525513748,677203347266
35,63139301454742987,1563756371425
36,197559292342254727,3610930168967
37,618151818146984284,8338138183412
38,1934161971062752001,19253916636516
39,6051883081925973565,44459961920855
40,18935998838390114397,102664213847468
41,59249666121012063785,237065898229979
42,185388844043141954887,547418014594518
43,580071175851976644400,1264064063936659
44,1815009801646921788560,2918899114122157
45,5679062703358723862006,6740142593941682
46,17769465024053967224299,15563923387479164
47,55599647993732034980537,35939256156592924
48,173968144389394213533887,82988723405232422
49,544336454534766049647316,191632464024014680
50,1703197885885728766435265,442505918409646354
51,5329209562062025012976177,1021807493972209754
52,16674794392199456878692663,2359495119278829054
53,52174485687618814610698334,5448401240691976780
54,163251005843945340808044116,12581113576817595852
55,510803136012210354194554506,29051534907283551672
56,1598274034582836079041128978,67084020449867337029
57,5000908783693594691303994892,154906300616518677585
58,15647559881276145546076997878,357700117103597908048
59,48960327178230021134689844115,825979145242667541445
60,153194086208145018003357933413,1907300321565851074773
61,479335605003548538595225440918,4404220781599186739208
62,1499813915218235724873487296637,10169956180338614209425
63,4692832655870828709001115747280,23483838308499497772905
64,14683607154560349694888820046632,54227437357688765129629
65,45944173781633895435209228045432,125218668420050161221091
66,143756713337389617933474443615699,289147259854191126506816
67,449806600675657576514291373818086,667681096885072274575605
68,1407419335864627086800699386581077,1541768188854555171586001
69,4403735258642738662212986461695267,3560156426853308626420454
70,13779037799206800772068758596974033,8220894603540564464357904
71,43113827585195602111839979483409292,18983185000737907014209865
72,134900720655035607141323378451325999,43834805109536466818793914
73,422096701975420016069257740334698472,101220640209551405032520015
74,1320716634821594139333261052413093607,233732486749495623241274796
75,4132447425746651629661892516385727958,539720705668368791080904429
76,12930193560306711927656016177299848235,1246289911078399039311560799
77,40457842116839332574075870310504385561,2877856132149561654374744253
78,126590292799319221812116529276625247337,6645368660799377058877607903
79,396093844667692151550139230931171356385,15345077241560826990200046154
80,1239355169454806445036271203223172134047,35433910076125556141232881484
81,3877872016271798680937564208391643209501,81821809269383809899521123218
82,12133641546191386302027155896867164561433,188937897560060965213536365094
83,37965476053282602551680432215285528278774,436283790998660289267896818338
84,118791820779047729117395631895453625615200,1007439739439541978585119965013
85,371692868125679036942022840600036540254648,2326317982794664097553506800508
86,1163005898128813276076777967711612480427563,5371790634429904696537550244631
87,3638979477607475017398208952815466223445312,12404209069253395986778302612103
88,11386160345148725252276856699411974325278446,28643037881553152106530939853651
89,35626649780029808744537843239054412984595416,66140744202521719407184273182608
90,111473766052283629229506179043756929627536264,152728145029643077666048511455482
91,348795090040848206853761605850487968748908144,352670453975725806865661742830616
92,1091360049498490468058527615297066596889360869,814364956002734472656732873847966
93,3414803681731468632155671315770074280140879971,1880481548961804511470410507176485
94,10684726997405930107272069138804641855256169835,4342292518753611124184728000288988
95,33431904627445185541575078748936962925833930164,10026955238584244503258396703696259
96,104606532978329485446417945226433616346142387064,23153629315012257539467400325260806
97,327307907332426043204071397595376675038143770843,53464939026963110646763518508775541
98,1024127873777495063054653504450025418252353572579,123457954097222267028551695887327943
99,3204438017999895764743693336060965683278082613238,285081526459520614235730780279250470
100,10026504769690554389427704030390667630022902768685,658292754993247645038941428617589552
101,31372364618047889864239305434602388618198197168625,1520089206264763878611078279497181550
102,98162349127184330911131531998067972944480483858682,3510096651491085121603119745981115631
103,307144421642476948594971818139667669910218999926557,8105299644278204098706019072102293091
104,961037470933613808036090342647017153033212522613004,18716260219110731539461818406655836621
105,3007031726636923145928848843475281592022000840892352,43218438794764851726520373510719968272
106,9408831682927846833485420589273193581996975540353511,99797364964483391789610457680717724545
107,29439700570327814289341618410365719981414594340105281,230445946952177177587222693258867349987
108,92115152962419748062134619872022412896540219718704433,532131629783864217411214616907847485462
109,288223087901994379578358743666615708277479932443710785,1228765683065775812990512001427004995430
110,901833691071998938194058782440922360500526981969671337,2837390260927290071270489108249207634566
111,2821786458096294318682598358954559952558964254947823511,6551927355847288001783682406808947067204
112,8829209746678155591370111688563261945246778432122334206,15129308318084794408953628177164641093024
113,27626096413910958069273338591231462210322984887062738455,34935669727685675300480478413868295839233
114,86440488443243264289212874381600392153939236586994654154,80671303252046848182011473165566757578776
115,270467384546736464970634817003955500263576518884517293335,186281219713569224056763050716138459064974
116,846277102559226571041369660695950750020017073812089735992,430149153653280062664513172406643871540083
117,2647953044380046953183574522550261611432173027337165228616,993274011589237962605068540383946008911097
118,8285294856776358668881295068934036889021415811581404699357,2293607353912910470279586756879356861720621
119,25924217579846314602208816004859474942732887995820221355461,5296257258866936273553867718691194667605810
120,81115406119499250359196693186010133483674325132240237648711,12229792036656419119533714348560414814782536
121,253805504049094724242598303426186130565209260426035631366273,28240284780249289900646413471205176632437628
122,794143023715070136624120579887630797272922714730879097713463,65210731472717424795027540729016111253457296
123,2484828469257004296228340589539026505107939854514019708473222,150580616742963335340599809842606120279822048
124,7774887315317403991235308147173635944495354725462038969460409,347711513528684699258124946724917006627413963
125,24327181338178430068701258915764116214693276528520334987998255,802914075234444274749126477518580464854584825
126,76118370319616213881185116612175523211028218081158284358872280,1854039878252119669121088682990582575802471173
127,238170062514446401499169762266056692491734479339942781135786024,4281235036445741323031134684508373817362399317
128,745220614155961507627967969383332889083857559402628830926251881,9885965049775548461646628135098946012758674220
129,2331753025128013377315971349235254974845703469402302664965779351,22828063428753144301306926326716191501729923814
130,7295922934648931550067181559499930336920334954527580913197339862,52713162274330346060636145376837521607798237015
