n,k,number
0,0,1
1,1,1
2,1,2
2,2,1
3,1,4
3,2,4
3,3,1
4,1,9
4,2,12
4,3,6
4,4,1
5,1,20
5,2,34
5,3,24
5,4,8
5,5,1
6,1,46
6,2,92
6,3,83
6,4,40
6,5,10
6,6,1
7,1,105
7,2,244
7,3,264
7,4,164
7,5,60
7,6,12
7,7,1
8,1,242
8,2,635
8,3,798
8,4,600
8,5,285
8,6,84
8,7,14
8,8,1
9,1,557
9,2,1632
9,3,2326
9,4,2040
9,5,1180
9,6,454
9,7,112
9,8,16
9,9,1
10,1,1285
10,2,4150
10,3,6600
10,4,6586
10,5,4462
10,6,2100
10,7,679
10,8,144
10,9,18
10,10,1
11,1,2964
11,2,10464
11,3,18339
11,4,20456
11,5,15815
11,6,8748
11,7,3472
11,8,968
11,9,180
11,10,20
11,11,1
12,1,6842
12,2,26196
12,3,50106
12,4,61652
12,5,53390
12,6,33789
12,7,15806
12,8,5424
12,9,1329
12,10,220
12,11,22
12,12,1
13,1,15793
13,2,65186
13,3,135012
13,4,181372
13,5,173505
13,6,123240
13,7,66108
13,8,26800
13,9,8100
13,10,1770
13,11,264
13,12,24
13,13,1
