k,W1,W2,W3,W4,W5,W6
0,1,1,1,1,1,1
1,3,4,5,6,7,8
2,7,11,16,22,29,37
3,15,31,41,63,92,129
4,31,65,112,155,247,376
5,63,157,244,393,590,966
6,127,298,542,869,1404,2258
7,255,661,1155,1863,3079,5140
8,511,1196,2288,3886,6471,11078
9,1023,2516,4552,7863,13216,22921
10,2047,4434,8852,15217,26354,46011
11,4095,9002,16403,29134,50977,90269
12,8191,15615,30879,55098,96537,173098
13,16383,30914,56639,100994,178629,324477
14,32767,53081,101213,183132,328227,598064
15,65535,103157,182983,327848,591114,1080435
16,131071,175911,324486,584174,1049592,1932161
17,262143,337083,564350,1015063,1838567,3409996
18,524287,572032,993937,1764233,3190361,5942456
19,1048575,1084203,1719921,3024640,5496022,10226259
20,2097151,1833370,2937520,5186207,9352224,17442380
21,4194303,3444906,5071047,8709489,15761574,29425252
22,8388607,5809704,8629072,14691316,26380025,49351946
23,16777215,10840728,14530667,24459622,43858080,82044764
24,33554431,18244741,24723455,40828329,72526176,135251670
25,67108863,33852040,41528426,66960743,118871458,221364451
26,134217727,56879735,69202351,110500644,193689345,360139422
27,268435455,105047899,116399185,180152378,314119846,582102079
28,536870911,176276525,193630543,294835915,507064119,936660588
29,1073741823,324305593,319953484,475266782,814770933,1498014963
30,2147483647,543628822,533411447,771350822,1301318726,2381456824
31,4294967295,996943489,880445775,1238036008,2069714921,3769537729
32,8589934591,1669712456,1445273499,1995997581,3281264304,5939583563
33,17179869183,3053814272,2392127257,3175629094,5182677533,9319994413
34,34359738367,5110947198,3924249304,5087553702,8156645786,14569151101
35,68719476735,9326498630,6406818158,8068163195,12780489466,22677979346
36,137438953471,15599707275,10542753059,12856217514,19965105990,35141875977
37,274877906943,28411941710,17207927338,20246332061,31111144062,54306989871
38,549755813887,47498433365,27970409667,32102936027,48338597786,83615041899
39,1099511627775,86368631105,45805097268,50432132554,74888115924,128379399271
40,2199023255551,144327417651,74455436117,79613175315,115640633027,196470478959
41,4398046511103,262072914039,120576173110,124360329822,178150302396,299775181538
42,8796093022207,437781391276,196674203900,195549400876,273921693342,455803161004
43,17592186044415,793989095511,318586758141,304878883543,420181024602,691786459690
44,35184372088831,1325913665590,514350547329,477648709569,643038739201,1046701974396
45,70368744177663,2402315520342,836155761643,741203177127,981602330923,1580610588747
46,140737488355327,4010658722388,1350563128251,1157550501815,1495651192056,2380202256253
47,281474976710655,7260229297716,2174777868612,1793609244233,2275354919784,3576611108102
48,562949953421311,12118176629521,3525480482131,2792515674651,3454860796734,5359318100812
49,1125899906842623,21920204646676,5680446260129,4309875038804,5235789071385,8020610165145
50,2251799813685247,36580247104499,9126972851103,6692700495566,7918917768757,11971728727151
51,4503599627370495,66125915018407,14760002944124,10317473509873,11959030379843,17844390283681
52,9007199254740991,110331759607865,23732852330957,15980173882273,18037525021827,26533820782776
53,18014398509481983,199334198645749,38060612250097,24551992073621,27162028498814,39393428748953
54,36028797018963967,332542750708546,61425308722086,37945197682376,40837832031052,58349804057344
55,72057594037927935,600506789848237,98591375998135,58247643534628,61300109147535,86352481476851
56,144115188075855871,1001679917921636,157857534828178,89822791402096,91901635725537,127502148990942
57,288230376151711743,1808076766122668,254316039011897,137480567543374,137635205139587,188072222729538
58,576460752303423487,3015647816138922,407572121176305,211623874638264,205851909130239,276837040468961
59,1152921504606846975,5441395831061858,651669811730586,323688029636518,307472591668076,407032939357295
60,2305843009213693951,9074717043484695,1048287954144830,497306560283320,458651326428025,597287816440333
61,4611686018427387903,16369128768431066,1677802896105659,758717977393474,683455560845991,875923272986876
62,9223372036854775807,27296866000767569,2679441153126759,1163902443370331,1017555178878967,1281985595186368
63,18446744073709551615,49225046745819533,4304577291907143,1774817880708058,1513262845490758,1874929967236331
64,36893488147419103231,82080973313142591,6881746937053585,2718168769371547,2247949442536498,2737128482209338
65,73786976294838206463,147983184578759475,10978707478699345,4135605856562165,3335638731770954,3992448976935229
66,147573952589676412927,246741339591568600,17617629271168898,6325593127952850,4945311831006227,5813705755926038
67,295147905179352825855,444756034909589379,28137703787572746,9620676689818347,7326358115049237,8461976836593224
68,590295810358705651711,741528919600157650,44848753177231136,14694252884794810,10843375075043993,12295069620992521
69,1180591620717411303423,1336379521087269378,71898685139405603,22304150065970324,16033475541917274,17855110239385406
70,2361183241434822606847,2228003075984426112,114733858694725566,34029086386652721,23685729700299874,25888014209051438
71,4722366482869645213695,4014666365523739344,182731357907710136,51639302592887617,34964263514069863,37511310881608246
72,9444732965739290427391,6692953347399162781,292693948296624292,78687013457813688,51581148925442523,54273856226324409
73,18889465931478580854783,12058471155717987232,466725627262013125,119194750692319133,76032365448381443,78501943874978587
74,37778931862957161709567,20102276220790142063,742825603876068282,181456239730451409,111982760982137975,113370206262386068
75,75557863725914323419135,36213301979771291635,1188954005316766869,274827343603349147,164800897887197172,163664590238490847
76,151115727451828646838271,60368133353580409925,1894661979991702337,417925581610756805,242377809277069624,235936841394334799
77,302231454903657293676543,108739099692897002545,3013687601036439360,631955819260623477,356283169964738004,339964239976963714
78,604462909807314587353087,181264898505534341230,4820534292516474734,960231841116275745,523344305681637767,489229693425333611
79,1208925819614629174706175,326476992376578874585,7677435769956066674,1451888584699160167,768196877452287015,703875502445347573
80,2417851639229258349412351,544214887259284002176,12205530998024341296,2203957261355338736,1126839253095018493,1011304929144192704
