d,k,hilbert,endpoint_upper_bound,strict_inequalities,minimum_exact_gap
1/4,0,1,1,0,
1/4,1,3,3,6,1/128
1/4,2,5,5,20,1/512
1/4,3,7,7,42,1/1152
1/4,4,9,9,72,1/2048
1/4,5,11,11,110,1/3200
1/4,6,13,13,156,1/4608
1/4,7,15,15,210,1/6272
1/4,8,17,17,272,1/8192
1/4,9,19,19,342,1/10368
1/4,10,21,21,420,1/12800
1/4,11,23,23,506,1/15488
1/4,12,25,25,600,1/18432
1/4,13,27,27,702,1/21632
1/4,14,29,29,812,1/25088
1/4,15,31,31,930,1/28800
1/4,16,33,33,1056,1/32768
1/4,17,35,35,1190,1/36992
1/4,18,37,37,1332,1/41472
1/4,19,39,39,1482,1/46208
1/4,20,41,41,1640,1/51200
1/4,21,43,43,1806,1/56448
1/4,22,45,45,1980,1/61952
1/4,23,47,47,2162,1/67712
1/4,24,49,49,2352,1/73728
1/4,25,51,51,2550,1/80000
1/4,26,53,53,2756,1/86528
1/4,27,55,55,2970,1/93312
1/4,28,57,57,3192,1/100352
1/4,29,59,59,3422,1/107648
1/4,30,61,61,3660,1/115200
1/4,31,63,63,3906,1/123008
1/4,32,65,65,4160,1/131072
1/4,33,67,67,4422,1/139392
1/4,34,69,69,4692,1/147968
1/4,35,71,71,4970,1/156800
1/4,36,73,73,5256,1/165888
1/4,37,75,75,5550,1/175232
1/4,38,77,77,5852,1/184832
1/4,39,79,79,6162,1/194688
1/4,40,81,81,6480,1/204800
1/2,0,1,1,0,
1/2,1,3,3,6,1/64
1/2,2,5,5,20,1/256
1/2,3,7,7,42,1/576
1/2,4,9,9,72,1/1024
1/2,5,11,11,110,1/1600
1/2,6,13,13,156,1/2304
1/2,7,15,15,210,1/3136
1/2,8,17,17,272,1/4096
1/2,9,19,19,342,1/5184
1/2,10,21,21,420,1/6400
1/2,11,23,23,506,1/7744
1/2,12,25,25,600,1/9216
1/2,13,27,27,702,1/10816
1/2,14,29,29,812,1/12544
1/2,15,31,31,930,1/14400
1/2,16,33,33,1056,1/16384
1/2,17,35,35,1190,1/18496
1/2,18,37,37,1332,1/20736
1/2,19,39,39,1482,1/23104
1/2,20,41,41,1640,1/25600
1/2,21,43,43,1806,1/28224
1/2,22,45,45,1980,1/30976
1/2,23,47,47,2162,1/33856
1/2,24,49,49,2352,1/36864
1/2,25,51,51,2550,1/40000
1/2,26,53,53,2756,1/43264
1/2,27,55,55,2970,1/46656
1/2,28,57,57,3192,1/50176
1/2,29,59,59,3422,1/53824
1/2,30,61,61,3660,1/57600
1/2,31,63,63,3906,1/61504
1/2,32,65,65,4160,1/65536
1/2,33,67,67,4422,1/69696
1/2,34,69,69,4692,1/73984
1/2,35,71,71,4970,1/78400
1/2,36,73,73,5256,1/82944
1/2,37,75,75,5550,1/87616
1/2,38,77,77,5852,1/92416
1/2,39,79,79,6162,1/97344
1/2,40,81,81,6480,1/102400
2/3,0,1,1,0,
2/3,1,3,3,6,1/48
2/3,2,5,5,20,1/192
2/3,3,7,7,42,1/432
2/3,4,9,9,72,1/768
2/3,5,11,11,110,1/1200
2/3,6,13,13,156,1/1728
2/3,7,15,15,210,1/2352
2/3,8,17,17,272,1/3072
2/3,9,19,19,342,1/3888
2/3,10,21,21,420,1/4800
2/3,11,23,23,506,1/5808
2/3,12,25,25,600,1/6912
2/3,13,27,27,702,1/8112
2/3,14,29,29,812,1/9408
2/3,15,31,31,930,1/10800
2/3,16,33,33,1056,1/12288
2/3,17,35,35,1190,1/13872
2/3,18,37,37,1332,1/15552
2/3,19,39,39,1482,1/17328
2/3,20,41,41,1640,1/19200
2/3,21,43,43,1806,1/21168
2/3,22,45,45,1980,1/23232
2/3,23,47,47,2162,1/25392
2/3,24,49,49,2352,1/27648
2/3,25,51,51,2550,1/30000
2/3,26,53,53,2756,1/32448
2/3,27,55,55,2970,1/34992
2/3,28,57,57,3192,1/37632
2/3,29,59,59,3422,1/40368
2/3,30,61,61,3660,1/43200
2/3,31,63,63,3906,1/46128
2/3,32,65,65,4160,1/49152
2/3,33,67,67,4422,1/52272
2/3,34,69,69,4692,1/55488
2/3,35,71,71,4970,1/58800
2/3,36,73,73,5256,1/62208
2/3,37,75,75,5550,1/65712
2/3,38,77,77,5852,1/69312
2/3,39,79,79,6162,1/73008
2/3,40,81,81,6480,1/76800
1,0,1,1,0,
1,1,3,3,6,1/32
1,2,5,5,20,1/128
1,3,7,7,42,1/288
1,4,9,9,72,1/512
1,5,11,11,110,1/800
1,6,13,13,156,1/1152
1,7,15,15,210,1/1568
1,8,17,17,272,1/2048
1,9,19,19,342,1/2592
1,10,21,21,420,1/3200
1,11,23,23,506,1/3872
1,12,25,25,600,1/4608
1,13,27,27,702,1/5408
1,14,29,29,812,1/6272
1,15,31,31,930,1/7200
1,16,33,33,1056,1/8192
1,17,35,35,1190,1/9248
1,18,37,37,1332,1/10368
1,19,39,39,1482,1/11552
1,20,41,41,1640,1/12800
1,21,43,43,1806,1/14112
1,22,45,45,1980,1/15488
1,23,47,47,2162,1/16928
1,24,49,49,2352,1/18432
1,25,51,51,2550,1/20000
1,26,53,53,2756,1/21632
1,27,55,55,2970,1/23328
1,28,57,57,3192,1/25088
1,29,59,59,3422,1/26912
1,30,61,61,3660,1/28800
1,31,63,63,3906,1/30752
1,32,65,65,4160,1/32768
1,33,67,67,4422,1/34848
1,34,69,69,4692,1/36992
1,35,71,71,4970,1/39200
1,36,73,73,5256,1/41472
1,37,75,75,5550,1/43808
1,38,77,77,5852,1/46208
1,39,79,79,6162,1/48672
1,40,81,81,6480,1/51200
5/4,0,1,1,0,
5/4,1,3,3,6,1/32
5/4,2,5,5,20,3/512
5/4,3,7,7,42,1/576
5/4,4,9,9,72,1/2048
5/4,5,10,10,90,1/512
5/4,6,12,12,132,1/960
5/4,7,14,14,182,1/1792
5/4,8,16,16,240,1/3584
5/4,9,18,18,306,1/9216
5/4,10,19,19,342,1/2048
5/4,11,21,21,420,1/3168
5/4,12,23,23,506,1/5120
5/4,13,25,25,600,1/9152
5/4,14,27,27,702,1/21504
5/4,15,28,28,756,1/4608
5/4,16,30,30,870,1/6656
5/4,17,32,32,992,3/30464
5/4,18,34,34,1122,1/17280
5/4,19,36,36,1260,1/38912
5/4,20,37,37,1332,1/8192
5/4,21,39,39,1482,1/11424
5/4,22,41,41,1640,1/16896
5/4,23,43,43,1806,1/27968
5/4,24,45,45,1980,1/61440
5/4,25,46,46,2070,1/12800
5/4,26,48,48,2256,1/17472
5/4,27,50,50,2450,1/25344
5/4,28,52,52,2652,1/41216
5/4,29,54,54,2862,1/89088
5/4,30,55,55,2970,1/18432
5/4,31,57,57,3192,1/24800
5/4,32,59,59,3422,3/106496
5/4,33,61,61,3660,1/57024
5/4,34,63,63,3906,1/121856
5/4,35,64,64,4032,1/25088
5/4,36,66,66,4290,1/33408
5/4,37,68,68,4556,1/47360
5/4,38,70,70,4830,1/75392
5/4,39,72,72,5112,1/159744
5/4,40,73,73,5256,1/32768
3/2,0,1,1,0,
3/2,1,3,3,6,1/32
3/2,2,5,5,20,1/256
3/2,3,6,6,30,1/128
3/2,4,8,8,56,1/384
3/2,5,10,10,90,1/1280
3/2,6,11,11,110,1/512
3/2,7,13,13,156,1/1120
3/2,8,15,15,210,1/3072
3/2,9,16,16,240,1/1152
3/2,10,18,18,306,1/2240
3/2,11,20,20,380,1/5632
3/2,12,21,21,420,1/2048
3/2,13,23,23,506,1/3744
3/2,14,25,25,600,1/8960
3/2,15,26,26,650,1/3200
3/2,16,28,28,756,1/5632
3/2,17,30,30,870,1/13056
3/2,18,31,31,930,1/4608
3/2,19,33,33,1056,1/7904
3/2,20,35,35,1190,1/17920
3/2,21,36,36,1260,1/6272
3/2,22,38,38,1406,1/10560
3/2,23,40,40,1560,1/23552
3/2,24,41,41,1640,1/8192
3/2,25,43,43,1806,1/13600
3/2,26,45,45,1980,1/29952
3/2,27,46,46,2070,1/10368
3/2,28,48,48,2256,1/17024
3/2,29,50,50,2450,1/37120
3/2,30,51,51,2550,1/12800
3/2,31,53,53,2756,1/20832
3/2,32,55,55,2970,1/45056
3/2,33,56,56,3080,1/15488
3/2,34,58,58,3306,1/25024
3/2,35,60,60,3540,1/53760
3/2,36,61,61,3660,1/18432
3/2,37,63,63,3906,1/29600
3/2,38,65,65,4160,1/63232
3/2,39,66,66,4290,1/21632
3/2,40,68,68,4556,1/34560
5/3,0,1,1,0,
5/3,1,3,3,6,1/32
5/3,2,5,5,20,1/384
5/3,3,6,6,30,1/144
5/3,4,8,8,56,1/576
5/3,5,9,9,72,1/288
5/3,6,11,11,110,1/768
5/3,7,13,13,156,1/3360
