ASYMPTOTIC DIAGNOSTICS
420 decimal working digits; mpmath reference values.
Ratios below are exact-array / leading-asymptotic, and true-error / leading-error.
These diagnostics are NOT the rational certificates and are NOT a proof.

family        k    N      array ratio       error ratio
zeta3          0   10    0.959031124324    0.938852828497
zeta3          0   30    0.986146451858    0.978501180666
zeta3          0  100     0.99582335811    0.993425604632
zeta3          1   10    0.838000277881     1.07060494936
zeta3          1   30    0.940580455813     1.02452809533
zeta3          1  100     0.98153192622     1.00746625948
zeta3          3   10    0.461815664188      2.7343909484
zeta3          3   30    0.752159788844     1.45798834972
zeta3          3  100     0.91503356659     1.12556509151
zeta2-super    0   10    0.972732711914    0.958331880174
zeta2-super    0   30    0.990827639671    0.985445465887
zeta2-super    0  100    0.997239715738     0.99556003435
zeta2-super    1   10    0.899698468024     1.04029597464
zeta2-super    1   30     0.96399038359     1.01438735361
zeta2-super    1  100    0.988897510934     1.00442441301
zeta2-super    3   10    0.629739436806     1.85325692254
zeta2-super    3   30    0.841704593676     1.26510265895
zeta2-super    3  100    0.947461297796     1.07712180349
zeta2-sub      0   10    0.972732711914    0.958331880174
zeta2-sub      0   30    0.990827639671    0.985445465887
zeta2-sub      0  100    0.997239715738     0.99556003435
zeta2-sub      1   10    0.882457421781     1.04261039518
zeta2-sub      1   30    0.957654966826     1.01467070386
zeta2-sub      1  100    0.986928183518     1.00445083451
zeta2-sub      3   10    0.587725918341     1.92037569426
zeta2-sub      3   30    0.823960080064     1.27142127876
zeta2-sub      3  100    0.941671673044     1.07764978618

Asymptotic decimal digits per added diagonal term:
zeta(3): 3.0622054827029046
zeta(2): 2.0898764024997873
