n,threshold_t_n,nu_1_2n,power_of_2_exponent
0,0,1,0
1,1,2,1
2,2,2,1
3,3,2,1
4,4,2,1
5,4,4,2
6,5,4,2
7,6,4,2
8,6,8,3
9,7,8,3
10,7,16,4
11,8,16,4
12,9,16,4
13,9,32,5
14,10,32,5
15,11,32,5
16,11,64,6
17,12,64,6
18,12,128,7
19,13,128,7
20,14,128,7
21,14,256,8
22,15,256,8
23,16,256,8
24,16,512,9
25,17,512,9
26,18,512,9
27,18,1024,10
28,19,1024,10
29,19,2048,11
30,20,2048,11
31,21,2048,11
32,21,4096,12
33,22,4096,12
34,23,4096,12
35,23,8192,13
36,24,8192,13
37,24,16384,14
38,25,16384,14
39,26,16384,14
40,26,32768,15
41,27,32768,15
42,28,32768,15
43,28,65536,16
44,29,65536,16
45,30,65536,16
46,30,131072,17
47,31,131072,17
48,31,262144,18
49,32,262144,18
50,33,262144,18
51,33,524288,19
52,34,524288,19
53,35,524288,19
54,35,1048576,20
55,36,1048576,20
56,36,2097152,21
57,37,2097152,21
58,38,2097152,21
59,38,4194304,22
60,39,4194304,22
61,40,4194304,22
62,40,8388608,23
63,41,8388608,23
64,42,8388608,23
65,42,16777216,24
66,43,16777216,24
67,43,33554432,25
68,44,33554432,25
69,45,33554432,25
70,45,67108864,26
71,46,67108864,26
72,47,67108864,26
73,47,134217728,27
74,48,134217728,27
75,48,268435456,28
76,49,268435456,28
77,50,268435456,28
78,50,536870912,29
79,51,536870912,29
80,52,536870912,29
81,52,1073741824,30
82,53,1073741824,30
83,53,2147483648,31
84,54,2147483648,31
85,55,2147483648,31
86,55,4294967296,32
87,56,4294967296,32
88,57,4294967296,32
89,57,8589934592,33
90,58,8589934592,33
91,59,8589934592,33
92,59,17179869184,34
93,60,17179869184,34
94,60,34359738368,35
95,61,34359738368,35
96,62,34359738368,35
97,62,68719476736,36
98,63,68719476736,36
99,64,68719476736,36
100,64,137438953472,37
101,65,137438953472,37
102,65,274877906944,38
103,66,274877906944,38
104,67,274877906944,38
105,67,549755813888,39
106,68,549755813888,39
107,69,549755813888,39
108,69,1099511627776,40
109,70,1099511627776,40
110,71,1099511627776,40
111,71,2199023255552,41
112,72,2199023255552,41
113,72,4398046511104,42
114,73,4398046511104,42
115,74,4398046511104,42
116,74,8796093022208,43
117,75,8796093022208,43
118,76,8796093022208,43
119,76,17592186044416,44
120,77,17592186044416,44
121,77,35184372088832,45
122,78,35184372088832,45
123,79,35184372088832,45
124,79,70368744177664,46
125,80,70368744177664,46
126,81,70368744177664,46
127,81,140737488355328,47
128,82,140737488355328,47
129,83,140737488355328,47
130,83,281474976710656,48
131,84,281474976710656,48
132,84,562949953421312,49
133,85,562949953421312,49
134,86,562949953421312,49
135,86,1125899906842624,50
136,87,1125899906842624,50
137,88,1125899906842624,50
138,88,2251799813685248,51
139,89,2251799813685248,51
140,89,4503599627370496,52
141,90,4503599627370496,52
142,91,4503599627370496,52
143,91,9007199254740992,53
144,92,9007199254740992,53
145,93,9007199254740992,53
146,93,18014398509481984,54
147,94,18014398509481984,54
148,95,18014398509481984,54
149,95,36028797018963968,55
150,96,36028797018963968,55
151,96,72057594037927936,56
152,97,72057594037927936,56
153,98,72057594037927936,56
154,98,144115188075855872,57
155,99,144115188075855872,57
156,100,144115188075855872,57
157,100,288230376151711744,58
158,101,288230376151711744,58
159,101,576460752303423488,59
160,102,576460752303423488,59
161,103,576460752303423488,59
162,103,1152921504606846976,60
163,104,1152921504606846976,60
164,105,1152921504606846976,60
165,105,2305843009213693952,61
166,106,2305843009213693952,61
167,106,4611686018427387904,62
168,107,4611686018427387904,62
169,108,4611686018427387904,62
170,108,9223372036854775808,63
171,109,9223372036854775808,63
172,110,9223372036854775808,63
173,110,18446744073709551616,64
174,111,18446744073709551616,64
175,112,18446744073709551616,64
176,112,36893488147419103232,65
177,113,36893488147419103232,65
178,113,73786976294838206464,66
179,114,73786976294838206464,66
180,115,73786976294838206464,66
181,115,147573952589676412928,67
182,116,147573952589676412928,67
183,117,147573952589676412928,67
184,117,295147905179352825856,68
185,118,295147905179352825856,68
186,118,590295810358705651712,69
187,119,590295810358705651712,69
188,120,590295810358705651712,69
189,120,1180591620717411303424,70
190,121,1180591620717411303424,70
191,122,1180591620717411303424,70
192,122,2361183241434822606848,71
193,123,2361183241434822606848,71
194,124,2361183241434822606848,71
195,124,4722366482869645213696,72
196,125,4722366482869645213696,72
197,125,9444732965739290427392,73
198,126,9444732965739290427392,73
199,127,9444732965739290427392,73
200,127,18889465931478580854784,74
201,128,18889465931478580854784,74
202,129,18889465931478580854784,74
203,129,37778931862957161709568,75
204,130,37778931862957161709568,75
205,130,75557863725914323419136,76
206,131,75557863725914323419136,76
207,132,75557863725914323419136,76
208,132,151115727451828646838272,77
209,133,151115727451828646838272,77
210,134,151115727451828646838272,77
211,134,302231454903657293676544,78
212,135,302231454903657293676544,78
213,136,302231454903657293676544,78
214,136,604462909807314587353088,79
215,137,604462909807314587353088,79
216,137,1208925819614629174706176,80
217,138,1208925819614629174706176,80
218,139,1208925819614629174706176,80
219,139,2417851639229258349412352,81
220,140,2417851639229258349412352,81
221,141,2417851639229258349412352,81
222,141,4835703278458516698824704,82
223,142,4835703278458516698824704,82
224,142,9671406556917033397649408,83
225,143,9671406556917033397649408,83
226,144,9671406556917033397649408,83
227,144,19342813113834066795298816,84
228,145,19342813113834066795298816,84
229,146,19342813113834066795298816,84
230,146,38685626227668133590597632,85
231,147,38685626227668133590597632,85
232,148,38685626227668133590597632,85
233,148,77371252455336267181195264,86
234,149,77371252455336267181195264,86
235,149,154742504910672534362390528,87
236,150,154742504910672534362390528,87
237,151,154742504910672534362390528,87
238,151,309485009821345068724781056,88
239,152,309485009821345068724781056,88
240,153,309485009821345068724781056,88
241,153,618970019642690137449562112,89
242,154,618970019642690137449562112,89
243,154,1237940039285380274899124224,90
244,155,1237940039285380274899124224,90
245,156,1237940039285380274899124224,90
246,156,2475880078570760549798248448,91
247,157,2475880078570760549798248448,91
248,158,2475880078570760549798248448,91
249,158,4951760157141521099596496896,92
250,159,4951760157141521099596496896,92
251,159,9903520314283042199192993792,93
252,160,9903520314283042199192993792,93
253,161,9903520314283042199192993792,93
254,161,19807040628566084398385987584,94
255,162,19807040628566084398385987584,94
