m,c_log_zero_minus_m,continuous_zero,ceiling_candidate_not_certified,zero_over_3_power_m,zero_over_e_power_m,second_order_c_approximation,quadrature_c_discrepancy,primary_nodes,check_nodes,working_decimal_precision
3,-0.653898966714907036417296884063,10.4447664344101837576174426773,11,0.386843201274451250282127506568,0.52001430055635032269341256936,-0.903591525539920544398823561035,2.68467588766374991640612529445e-63,64,96,62
4,-0.439844328477482360333768156948,35.1686714796307179691505599968,36,0.434181129378157011964821728355,0.644136687017441023471722259328,-0.501239022136114727856696875503,2.88769349068701547685823661815e-63,64,96,62
5,-0.275925608901979921171759075565,112.6262022973843279654417234,113,0.463482313981005464878361001644,0.758869381788053472679881521173,-0.282470252331978084521516485878,2.21004326058621277379473060776e-63,64,96,63
6,-0.15416912983355350535990866668,345.789728826530764960105948179,346,0.474334333095378278408924483099,0.857127042997632958581870286994,-0.146058877561781508377269401834,2.68616442396801113607824697344e-63,64,96,63
7,-0.063651864615042875976086293908,1029.00555615288418698952843427,1030,0.470510085117916866478979622436,0.938331609111210131861494078978,-0.053243147060242494108949162556,1.36886781443268976899669969596e-64,64,96,64
8,0.00460373935652623511911276846165,2994.71317901170799876038922079,2995,0.456441575828640146130222408289,1.0046143528455529269535773611,0.0138415601643328774639321305525,1.63094318755395083836603740154e-64,64,96,64
9,0.0570978684433181537524876057383,8579.21647552589566845520035569,8580,0.435869353021688546890982083813,1.05875942446186420050979232898,0.0645210194714003062408493518,2.0110859738987585585802812207e-64,64,96,64
10,0.0983374027274792977152262446124,24302.5704295309366692631662236,24303,0.411566164194667761846316893149,1.10333499054854583398219700339,0.104121139740464797321129144561,7.65323907742749523655201028067e-66,64,96,65
12,0.15844497825646235834777837427,190697.747210884931047398050169,190698,0.358831454876242011902352378099,1.17168745416497935099632067914,0.161948908183079114039458859973,4.66826319573650268242359908285e-66,64,96,66
16,0.230101233970335150434379834494,11185191.0533321758247521207391,11185192,0.259838398686212959745577851076,1.25872742945503029892417448189,0.231580173552189176352594173571,6.56112427337707802940587910634e-67,64,96,67
20,0.271194888733240466829563241906,636309023.135355198022759870808,636309024,0.182491645584069824460236212583,1.31153064802577746576250942837,0.271943762008771035828594385374,5.06746854422332465783822864768e-67,64,96,69
30,0.323892698362737242644707868998,14774039939016.5820070901383737,14774039939017,0.0717565627461064962221583424624,1.38249895475903660291176200475,0.324110847391848640899400195363,3.00181438073009132673398292588e-67,64,96,74
50,0.364439497763621615369175915689,7464455925072892584241.83939226,7464455925072892584242,0.0103976554511208675993164136415,1.43970682306177068424308137616,0.364485951764021914160639106053,1.12197175203841619976662953039e-54,64,96,82
