EXPLORATORY: quadrature comparison is not interval certification.
m= 3: c=-0.653898966714907036, zero=10.4447664344101838, node discrepancy=2.685e-63
m= 4: c=-0.43984432847748236, zero=35.168671479630718, node discrepancy=2.888e-63
m= 5: c=-0.275925608901979921, zero=112.626202297384328, node discrepancy=2.21e-63
m= 6: c=-0.154169129833553505, zero=345.789728826530765, node discrepancy=2.686e-63
m= 7: c=-0.063651864615042876, zero=1029.00555615288419, node discrepancy=1.369e-64
m= 8: c=0.00460373935652623512, zero=2994.713179011708, node discrepancy=1.631e-64
m= 9: c=0.0570978684433181538, zero=8579.21647552589567, node discrepancy=2.011e-64
m=10: c=0.0983374027274792977, zero=24302.5704295309367, node discrepancy=7.653e-66
m=12: c=0.158444978256462358, zero=190697.747210884931, node discrepancy=4.668e-66
m=16: c=0.23010123397033515, zero=11185191.0533321758, node discrepancy=6.561e-67
m=20: c=0.271194888733240467, zero=636309023.135355198, node discrepancy=5.067e-67
m=30: c=0.323892698362737243, zero=14774039939016.582, node discrepancy=3.002e-67
m=50: c=0.364439497763621615, zero=7.46445592507289258e+21, node discrepancy=1.122e-54
Wrote /mnt/data/gregory_sign_threshold/data/numerical_roots.csv
