n,a_n
1,1
2,1
3,2
4,4
5,7
6,11
7,15
8,20
9,26
10,32
11,39
12,47
13,55
14,64
15,74
16,84
17,95
18,107
19,119
20,132
21,146
22,160
23,175
24,191
25,207
26,224
27,242
28,260
29,279
30,299
31,319
32,340
33,362
34,384
35,407
36,431
37,455
38,480
39,506
40,532
41,559
42,587
43,615
44,644
45,674
46,704
47,735
48,767
49,799
50,832
51,866
52,900
53,935
54,971
55,1007
56,1044
57,1082
58,1120
59,1159
60,1199
61,1239
62,1280
63,1322
64,1364
65,1407
66,1451
67,1495
68,1540
69,1586
70,1632
71,1679
72,1727
73,1775
74,1824
75,1874
76,1924
77,1975
78,2027
79,2079
80,2132
81,2186
82,2240
83,2295
84,2351
85,2407
86,2464
87,2522
88,2580
89,2639
90,2699
91,2759
92,2820
93,2882
94,2944
95,3007
96,3071
97,3135
98,3200
99,3266
100,3332
101,3399
102,3467
103,3535
104,3604
105,3674
106,3744
107,3815
108,3887
109,3959
110,4032
111,4106
112,4180
113,4255
114,4331
115,4407
116,4484
117,4562
118,4640
119,4719
120,4799
121,4879
122,4960
123,5042
124,5124
125,5207
126,5291
127,5375
128,5460
129,5546
130,5632
131,5719
132,5807
133,5895
134,5984
135,6074
136,6164
137,6255
138,6347
139,6439
140,6532
141,6626
142,6720
143,6815
144,6911
145,7007
146,7104
147,7202
148,7300
149,7399
150,7499
151,7599
152,7700
153,7802
154,7904
155,8007
156,8111
157,8215
158,8320
159,8426
160,8532
161,8639
162,8747
163,8855
164,8964
165,9074
166,9184
167,9295
168,9407
169,9519
170,9632
171,9746
172,9860
173,9975
174,10091
175,10207
176,10324
177,10442
178,10560
179,10679
180,10799
181,10919
182,11040
183,11162
184,11284
185,11407
186,11531
187,11655
188,11780
189,11906
190,12032
191,12159
192,12287
193,12415
194,12544
195,12674
196,12804
197,12935
198,13067
199,13199
200,13332
201,13466
202,13600
203,13735
204,13871
205,14007
206,14144
207,14282
208,14420
209,14559
210,14699
211,14839
212,14980
213,15122
214,15264
215,15407
216,15551
217,15695
218,15840
219,15986
220,16132
221,16279
222,16427
223,16575
224,16724
225,16874
226,17024
227,17175
228,17327
229,17479
230,17632
231,17786
232,17940
233,18095
234,18251
235,18407
236,18564
237,18722
238,18880
239,19039
240,19199
241,19359
242,19520
243,19682
244,19844
245,20007
246,20171
247,20335
248,20500
249,20666
250,20832
251,20999
252,21167
253,21335
254,21504
255,21674
256,21844
257,22015
258,22187
259,22359
260,22532
261,22706
262,22880
263,23055
264,23231
265,23407
266,23584
267,23762
268,23940
269,24119
270,24299
271,24479
272,24660
273,24842
274,25024
275,25207
276,25391
277,25575
278,25760
279,25946
280,26132
281,26319
282,26507
283,26695
284,26884
285,27074
286,27264
287,27455
288,27647
289,27839
290,28032
291,28226
292,28420
293,28615
294,28811
295,29007
296,29204
297,29402
298,29600
299,29799
300,29999
301,30199
302,30400
303,30602
304,30804
305,31007
306,31211
307,31415
308,31620
309,31826
310,32032
311,32239
312,32447
313,32655
314,32864
315,33074
316,33284
317,33495
318,33707
319,33919
320,34132
321,34346
322,34560
323,34775
324,34991
325,35207
326,35424
327,35642
328,35860
329,36079
330,36299
331,36519
332,36740
333,36962
334,37184
335,37407
336,37631
337,37855
338,38080
339,38306
340,38532
341,38759
342,38987
343,39215
344,39444
345,39674
346,39904
347,40135
348,40367
349,40599
350,40832
351,41066
352,41300
353,41535
354,41771
355,42007
356,42244
357,42482
358,42720
359,42959
360,43199
361,43439
362,43680
363,43922
364,44164
365,44407
366,44651
367,44895
368,45140
369,45386
370,45632
371,45879
372,46127
373,46375
374,46624
375,46874
376,47124
377,47375
378,47627
379,47879
380,48132
381,48386
382,48640
383,48895
384,49151
385,49407
386,49664
387,49922
388,50180
389,50439
390,50699
391,50959
392,51220
393,51482
394,51744
395,52007
396,52271
397,52535
398,52800
399,53066
400,53332
401,53599
402,53867
403,54135
404,54404
405,54674
406,54944
407,55215
408,55487
409,55759
410,56032
411,56306
412,56580
413,56855
414,57131
415,57407
416,57684
417,57962
418,58240
419,58519
420,58799
421,59079
422,59360
423,59642
424,59924
425,60207
426,60491
427,60775
428,61060
429,61346
430,61632
431,61919
432,62207
433,62495
434,62784
435,63074
436,63364
437,63655
438,63947
439,64239
440,64532
441,64826
442,65120
443,65415
444,65711
445,66007
446,66304
447,66602
448,66900
449,67199
450,67499
451,67799
452,68100
453,68402
454,68704
455,69007
456,69311
457,69615
458,69920
459,70226
460,70532
461,70839
462,71147
463,71455
464,71764
465,72074
466,72384
467,72695
468,73007
469,73319
470,73632
471,73946
472,74260
473,74575
474,74891
475,75207
476,75524
477,75842
478,76160
479,76479
480,76799
481,77119
482,77440
483,77762
484,78084
485,78407
486,78731
487,79055
488,79380
489,79706
490,80032
491,80359
492,80687
