n,certified_term_count
0,1
1,2
2,5
3,8
4,13
5,18
6,25
7,31
8,41
9,49
10,61
11,71
12,85
13,97
14,113
15,126
16,145
17,160
18,181
19,198
20,221
21,240
22,265
23,285
24,313
25,335
26,365
27,389
28,421
29,447
30,481
31,508
32,545
33,574
34,613
35,644
36,685
37,718
38,761
39,795
40,841
41,877
42,925
43,963
44,1013
45,1053
46,1105
47,1146
48,1201
49,1244
50,1301
51,1346
52,1405
53,1452
54,1513
55,1561
56,1625
57,1675
58,1741
59,1793
60,1861
61,1915
62,1985
63,2040
64,2113
65,2170
66,2245
67,2304
68,2381
69,2442
70,2521
71,2583
72,2665
73,2729
74,2813
75,2879
76,2965
77,3033
78,3121
79,3190
80,3281
81,3352
82,3445
83,3518
84,3613
85,3688
86,3785
87,3861
88,3961
89,4039
90,4141
91,4221
92,4325
93,4407
94,4513
95,4596
96,4705
97,4790
98,4901
99,4988
100,5101
101,5190
102,5305
103,5395
104,5513
105,5605
106,5725
107,5819
108,5941
109,6037
110,6161
111,6258
112,6385
113,6484
114,6613
115,6714
116,6845
117,6948
118,7081
119,7185
120,7321
121,7427
122,7565
123,7673
124,7813
125,7923
126,8065
127,8176
128,8321
129,8434
130,8581
131,8696
132,8845
133,8962
134,9113
135,9231
136,9385
137,9505
138,9661
139,9783
140,9941
141,10065
142,10225
143,10350
144,10513
145,10640
146,10805
147,10934
148,11101
149,11232
150,11401
151,11533
152,11705
153,11839
154,12013
155,12149
156,12325
157,12463
158,12641
159,12780
160,12961
161,13102
162,13285
163,13428
164,13613
165,13758
166,13945
167,14091
168,14281
169,14429
170,14621
171,14771
172,14965
173,15117
174,15313
175,15466
176,15665
177,15820
178,16021
179,16178
180,16381
181,16540
182,16745
183,16905
184,17113
185,17275
186,17485
187,17649
188,17861
189,18027
190,18241
191,18408
192,18625
193,18794
194,19013
195,19184
196,19405
197,19578
198,19801
199,19975
200,20201
201,20377
202,20605
203,20783
204,21013
205,21193
206,21425
207,21606
208,21841
209,22024
210,22261
211,22446
212,22685
213,22872
214,23113
215,23301
216,23545
217,23735
218,23981
219,24173
220,24421
221,24615
222,24865
223,25060
224,25313
225,25510
226,25765
227,25964
228,26221
229,26422
230,26681
231,26883
232,27145
233,27349
234,27613
235,27819
236,28085
237,28293
238,28561
239,28770
240,29041
241,29252
242,29525
243,29738
244,30013
245,30228
246,30505
247,30721
248,31001
249,31219
250,31501
251,31721
252,32005
253,32227
254,32513
255,32736
256,33025
257,33250
258,33541
259,33768
260,34061
261,34290
262,34585
263,34815
264,35113
265,35345
266,35645
267,35879
268,36181
269,36417
270,36721
271,36958
272,37265
273,37504
274,37813
275,38054
276,38365
277,38608
278,38921
279,39165
280,39481
281,39727
282,40045
283,40293
284,40613
285,40863
286,41185
287,41436
288,41761
289,42014
290,42341
291,42596
292,42925
293,43182
294,43513
295,43771
296,44105
297,44365
298,44701
299,44963
300,45301
301,45565
302,45905
303,46170
304,46513
305,46780
306,47125
307,47394
308,47741
309,48012
310,48361
311,48633
312,48985
313,49259
314,49613
315,49889
316,50245
317,50523
318,50881
319,51160
320,51521
321,51802
322,52165
323,52448
324,52813
325,53098
326,53465
327,53751
328,54121
329,54409
330,54781
331,55071
332,55445
333,55737
334,56113
335,56406
336,56785
337,57080
338,57461
339,57758
340,58141
341,58440
342,58825
343,59125
344,59513
345,59815
346,60205
347,60509
348,60901
349,61207
350,61601
351,61908
352,62305
353,62614
354,63013
355,63324
356,63725
357,64038
358,64441
359,64755
360,65161
361,65477
362,65885
363,66203
364,66613
365,66933
366,67345
367,67666
368,68081
369,68404
370,68821
371,69146
372,69565
373,69892
374,70313
375,70641
376,71065
377,71395
378,71821
379,72153
380,72581
381,72915
382,73345
383,73680
384,74113
385,74450
386,74885
387,75224
388,75661
389,76002
390,76441
391,76783
392,77225
393,77569
394,78013
395,78359
396,78805
397,79153
398,79601
399,79950
400,80401
401,80752
402,81205
403,81558
404,82013
405,82368
406,82825
407,83181
408,83641
409,83999
410,84461
411,84821
412,85285
413,85647
414,86113
415,86476
416,86945
417,87310
418,87781
419,88148
420,88621
421,88990
422,89465
423,89835
424,90313
425,90685
426,91165
427,91539
428,92021
429,92397
430,92881
431,93258
432,93745
433,94124
434,94613
435,94994
436,95485
437,95868
438,96361
439,96745
440,97241
441,97627
442,98125
443,98513
444,99013
445,99403
446,99905
447,100296
448,100801
449,101194
450,101701
451,102096
452,102605
453,103002
454,103513
455,103911
456,104425
457,104825
458,105341
459,105743
460,106261
461,106665
462,107185
463,107590
464,108113
465,108520
466,109045
467,109454
468,109981
469,110392
470,110921
471,111333
472,111865
473,112279
474,112813
475,113229
476,113765
477,114183
478,114721
479,115140
480,115681
481,116102
482,116645
483,117068
484,117613
485,118038
486,118585
487,119011
488,119561
489,119989
490,120541
491,120971
492,121525
493,121957
494,122513
495,122946
496,123505
497,123940
498,124501
499,124938
500,125501
501,125940
502,126505
503,126945
504,127513
505,127955
506,128525
507,128969
508,129541
509,129987
510,130561
511,131008
512,131585
513,132034
514,132613
515,133064
516,133645
517,134098
518,134681
519,135135
520,135721
521,136177
522,136765
523,137223
524,137813
525,138273
526,138865
527,139326
528,139921
529,140384
530,140981
531,141446
532,142045
533,142512
534,143113
535,143581
536,144185
537,144655
538,145261
539,145733
540,146341
541,146815
542,147425
543,147900
544,148513
545,148990
546,149605
547,150084
548,150701
549,151182
550,151801
551,152283
552,152905
553,153389
554,154013
555,154499
556,155125
557,155613
558,156241
559,156730
560,157361
561,157852
562,158485
563,158978
564,159613
565,160108
566,160745
567,161241
568,161881
569,162379
570,163021
571,163521
572,164165
573,164667
574,165313
575,165816
576,166465
577,166970
578,167621
579,168128
580,168781
581,169290
582,169945
583,170455
584,171113
585,171625
586,172285
587,172799
588,173461
589,173977
590,174641
591,175158
592,175825
593,176344
594,177013
595,177534
596,178205
597,178728
598,179401
599,179925
600,180601
601,181127
602,181805
603,182333
604,183013
605,183543
606,184225
607,184756
608,185441
609,185974
610,186661
611,187196
612,187885
613,188422
614,189113
615,189651
616,190345
617,190885
618,191581
619,192123
620,192821
621,193365
622,194065
623,194610
624,195313
625,195860
626,196565
627,197114
628,197821
629,198372
630,199081
631,199633
632,200345
633,200899
634,201613
635,202169
636,202885
637,203443
638,204161
639,204720
640,205441
641,206002
642,206725
643,207288
644,208013
645,208578
646,209305
647,209871
648,210601
649,211169
650,211901
651,212471
652,213205
653,213777
654,214513
655,215086
656,215825
657,216400
658,217141
659,217718
660,218461
661,219040
662,219785
663,220365
664,221113
665,221695
666,222445
667,223029
668,223781
669,224367
670,225121
671,225708
672,226465
673,227054
674,227813
675,228404
676,229165
677,229758
678,230521
679,231115
680,231881
681,232477
682,233245
683,233843
684,234613
685,235213
686,235985
687,236586
688,237361
689,237964
690,238741
691,239346
692,240125
693,240732
694,241513
695,242121
696,242905
697,243515
698,244301
699,244913
700,245701
701,246315
702,247105
703,247720
704,248513
705,249130
706,249925
707,250544
708,251341
709,251962
710,252761
711,253383
712,254185
713,254809
714,255613
715,256239
716,257045
717,257673
718,258481
719,259110
720,259921
721,260552
722,261365
723,261998
724,262813
725,263448
726,264265
727,264901
728,265721
729,266359
730,267181
731,267821
732,268645
733,269287
734,270113
735,270756
736,271585
737,272230
738,273061
739,273708
740,274541
741,275190
742,276025
743,276675
744,277513
745,278165
746,279005
747,279659
748,280501
749,281157
750,282001
751,282658
752,283505
753,284164
754,285013
755,285674
756,286525
757,287188
758,288041
759,288705
760,289561
761,290227
762,291085
763,291753
764,292613
765,293283
766,294145
767,294816
768,295681
769,296354
770,297221
771,297896
772,298765
773,299442
774,300313
775,300991
776,301865
777,302545
778,303421
