n,exact_nonzero_coefficients,upper_bound
0,1,1
1,2,2
2,5,5
3,8,8
4,13,13
5,18,18
6,25,25
7,31,31
8,41,41
9,49,49
10,61,61
11,71,71
12,85,85
13,97,97
14,113,113
15,126,126
16,145,145
17,160,160
18,181,181
19,198,198
20,221,221
21,240,240
22,265,265
23,285,285
24,313,313
25,335,335
26,365,365
27,389,389
28,421,421
29,447,447
30,481,481
31,508,508
32,545,545
33,574,574
34,613,613
35,644,644
36,685,685
37,718,718
38,761,761
39,795,795
40,841,841
41,877,877
42,925,925
43,963,963
44,1013,1013
45,1053,1053
46,1105,1105
47,1146,1146
48,1201,1201
49,1244,1244
50,1301,1301
51,1346,1346
52,1405,1405
53,1452,1452
54,1513,1513
55,1561,1561
56,1625,1625
57,1675,1675
58,1741,1741
59,1793,1793
60,1861,1861
61,1915,1915
62,1985,1985
63,2040,2040
64,2113,2113
65,2170,2170
66,2245,2245
67,2304,2304
68,2381,2381
69,2442,2442
70,2521,2521
71,2583,2583
72,2665,2665
73,2729,2729
74,2813,2813
75,2879,2879
76,2965,2965
77,3033,3033
78,3121,3121
79,3190,3190
80,3281,3281
81,3352,3352
82,3445,3445
83,3518,3518
84,3613,3613
85,3688,3688
86,3785,3785
87,3861,3861
88,3961,3961
89,4039,4039
90,4141,4141
91,4221,4221
92,4325,4325
93,4407,4407
94,4513,4513
95,4596,4596
96,4705,4705
97,4790,4790
98,4901,4901
99,4988,4988
100,5101,5101
101,5190,5190
102,5305,5305
103,5395,5395
104,5513,5513
105,5605,5605
106,5725,5725
107,5819,5819
108,5941,5941
109,6037,6037
110,6161,6161
111,6258,6258
112,6385,6385
113,6484,6484
114,6613,6613
115,6714,6714
116,6845,6845
117,6948,6948
118,7081,7081
119,7185,7185
120,7321,7321
121,7427,7427
122,7565,7565
123,7673,7673
124,7813,7813
125,7923,7923
126,8065,8065
127,8176,8176
128,8321,8321
129,8434,8434
130,8581,8581
131,8696,8696
132,8845,8845
133,8962,8962
134,9113,9113
135,9231,9231
136,9385,9385
137,9505,9505
138,9661,9661
139,9783,9783
140,9941,9941
141,10065,10065
142,10225,10225
143,10350,10350
144,10513,10513
145,10640,10640
146,10805,10805
147,10934,10934
148,11101,11101
149,11232,11232
150,11401,11401
151,11533,11533
152,11705,11705
153,11839,11839
154,12013,12013
155,12149,12149
156,12325,12325
157,12463,12463
158,12641,12641
159,12780,12780
160,12961,12961
161,13102,13102
162,13285,13285
163,13428,13428
164,13613,13613
165,13758,13758
166,13945,13945
167,14091,14091
168,14281,14281
169,14429,14429
170,14621,14621
171,14771,14771
172,14965,14965
173,15117,15117
174,15313,15313
175,15466,15466
176,15665,15665
177,15820,15820
178,16021,16021
179,16178,16178
180,16381,16381
181,16540,16540
182,16745,16745
183,16905,16905
184,17113,17113
185,17275,17275
186,17485,17485
187,17649,17649
188,17861,17861
189,18027,18027
190,18241,18241
191,18408,18408
192,18625,18625
193,18794,18794
194,19013,19013
195,19184,19184
196,19405,19405
197,19578,19578
198,19801,19801
199,19975,19975
200,20201,20201
