n,vertices,cardinality,count
1,2,0,1
1,2,1,2
1,2,2,1
2,5,0,1
2,5,1,5
2,5,2,10
2,5,3,5
3,8,0,1
3,8,1,8
3,8,2,28
3,8,3,48
3,8,4,34
3,8,5,8
4,11,0,1
4,11,1,11
4,11,2,55
4,11,3,154
4,11,4,242
4,11,5,198
4,11,6,77
4,11,7,11
5,14,0,1
5,14,1,14
5,14,2,91
5,14,3,350
5,14,4,847
5,14,5,1274
5,14,6,1141
5,14,7,576
5,14,8,147
5,14,9,14
6,17,0,1
6,17,1,17
6,17,2,136
6,17,3,663
6,17,4,2142
6,17,5,4692
6,17,6,6885
6,17,7,6579
6,17,8,3944
6,17,9,1394
6,17,10,255
6,17,11,17
7,20,0,1
7,20,1,20
7,20,2,190
7,20,3,1120
7,20,4,4505
7,20,5,12844
7,20,6,26190
7,20,7,37820
7,20,8,37910
7,20,9,25680
7,20,10,11292
7,20,11,3000
7,20,12,415
7,20,13,20
8,23,0,1
8,23,1,23
8,23,2,253
8,23,3,1748
8,23,4,8395
8,23,5,29348
8,23,6,76153
8,23,7,147154
8,23,8,210082
8,23,9,218316
8,23,10,161874
8,23,11,83260
8,23,12,28405
8,23,13,5934
8,23,14,644
8,23,15,23
9,26,0,1
9,26,1,26
9,26,2,325
9,26,3,2574
9,26,4,14352
9,26,5,59280
9,26,6,186069
9,26,7,448604
9,26,8,831363
9,26,9,1176630
9,26,10,1257334
9,26,11,998946
9,26,12,577941
9,26,13,236160
9,26,14,64896
9,26,15,10998
9,26,16,962
9,26,17,26
10,29,0,1
10,29,1,29
10,29,2,406
10,29,3,3625
10,29,4,22997
10,29,5,109417
10,29,6,402027
10,29,7,1158260
10,29,8,2632620
10,29,9,4718387
10,29,10,6632445
10,29,11,7245998
10,29,12,6078487
10,29,13,3853259
10,29,14,1805366
10,29,15,604911
10,29,16,137518
10,29,17,19343
10,29,18,1392
10,29,19,29
11,32,0,1
11,32,1,32
11,32,2,496
11,32,3,4928
11,32,4,35032
11,32,5,188480
11,32,6,792256
11,32,7,2649568
11,32,8,7117996
11,32,9,15414880
11,32,10,26882208
11,32,11,37578560
11,32,12,41799728
11,32,13,36636512
11,32,14,24984656
11,32,15,13035648
11,32,16,5081762
11,32,17,1429088
11,32,18,274208
11,32,19,32576
11,32,20,1960
11,32,21,32
12,35,0,1
12,35,1,35
12,35,2,595
12,35,3,6510
12,35,4,51240
12,35,5,307377
12,35,6,1453200
12,35,7,5525420
12,35,8,17099460
12,35,9,43339450
12,35,10,90142871
12,35,11,153657980
12,35,12,213816435
12,35,13,241403365
12,35,14,219366500
12,35,15,158810316
12,35,16,90388970
12,35,17,39731860
12,35,18,13154015
12,35,19,3160640
12,35,20,519897
12,35,21,52890
12,35,22,2695
12,35,23,35
13,38,0,1
13,38,1,38
13,38,2,703
13,38,3,8398
13,38,4,72485
13,38,5,479446
13,38,6,2516322
13,38,7,10709198
13,38,8,37465416
13,38,9,108623532
13,38,10,262080623
13,38,11,526769110
13,38,12,880774716
13,38,13,1220892234
13,38,14,1395814461
13,38,15,1307380880
13,38,16,994801544
13,38,17,608401090
13,38,18,294929571
13,38,19,111215096
13,38,20,31774156
13,38,21,6616028
13,38,22,944680
13,38,23,83220
13,38,24,3629
13,38,25,38
14,41,0,1
14,41,1,41
14,41,2,820
14,41,3,10619
14,41,4,99712
14,41,5,720698
14,41,6,4155637
14,41,7,19556959
14,41,8,76242370
14,41,9,248578121
14,41,10,681674036
14,41,11,1576689645
14,41,12,3077318509
14,41,13,5060963002
14,41,14,6992265747
14,41,15,8080175204
14,41,16,7765625172
14,41,17,6163342671
14,41,18,4004241712
14,41,19,2105897309
14,41,20,883547171
14,41,21,289967334
14,41,22,72415471
14,41,23,13217170
14,41,24,1655088
14,41,25,127428
14,41,26,4797
14,41,27,41
