a,b,multiplicity_of_x^a_(1+x)^b
10,9,5
10,10,28
10,11,65
10,12,80
10,13,55
10,14,20
10,15,3
11,8,2
11,9,32
11,10,142
11,11,300
11,12,350
11,13,232
11,14,82
11,15,12
12,7,20
12,8,70
12,9,157
12,10,339
12,11,565
12,12,603
12,13,383
12,14,132
12,15,19
13,6,13
13,7,116
13,8,301
13,9,430
13,10,497
13,11,557
13,12,512
13,13,310
13,14,105
13,15,15
14,4,1
14,5,12
14,6,84
14,7,306
14,8,583
14,9,655
14,10,502
14,11,332
14,12,224
14,13,125
14,14,42
14,15,6
15,4,16
15,5,100
15,6,294
15,7,542
15,8,679
15,9,585
15,10,343
15,11,140
15,12,50
15,13,21
15,14,7
15,15,1
16,2,6
16,3,37
16,4,117
16,5,301
16,6,557
16,7,686
16,8,570
16,9,335
16,10,144
16,11,42
16,12,6
17,1,2
17,2,72
17,3,230
17,4,372
17,5,474
17,6,560
17,7,533
17,8,345
17,9,140
17,10,36
17,11,7
17,12,1
18,1,39
18,2,224
18,3,500
18,4,607
18,5,487
18,6,330
18,7,224
18,8,125
18,9,42
18,10,6
19,0,6
19,1,66
19,2,250
19,3,471
19,4,507
19,5,331
19,6,140
19,7,50
19,8,21
19,9,7
19,10,1
20,0,4
20,1,34
20,2,113
20,3,199
20,4,205
20,5,125
20,6,42
20,7,6
21,0,1
21,1,7
21,2,21
21,3,35
21,4,35
21,5,21
21,6,7
21,7,1
