n,set_size,count
3,4,6
4,4,16
5,5,30
6,5,24
6,6,12
7,6,70
8,6,32
8,7,64
9,7,126
9,8,18
10,7,40
10,8,180
11,8,198
11,9,110
12,8,48
12,9,384
12,10,24
13,9,286
13,10,364
14,9,56
14,10,700
14,11,168
15,10,390
15,11,900
15,12,30
16,10,64
16,11,1152
16,12,640
17,11,510
17,12,1870
17,13,238
18,11,72
18,12,1764
18,13,1800
18,14,36
19,12,646
19,13,3458
19,14,1026
20,12,80
20,13,2560
20,14,4200
20,15,320
21,13,798
21,14,5880
21,15,3234
21,16,42
22,13,88
22,14,3564
22,15,8624
22,16,1540
23,14,966
23,15,9384
23,16,8372
23,17,414
24,14,96
24,15,4800
24,16,16128
24,17,5376
24,18,48
25,15,1150
25,16,14250
25,17,18900
25,18,2200
26,15,104
26,16,6292
26,17,28080
26,18,15288
26,19,520
27,16,1350
27,17,20790
27,18,38556
27,19,8424
27,20,54
28,16,112
28,17,8064
28,18,46200
28,19,37632
28,20,3024
29,17,1566
29,18,29348
29,19,72732
29,20,26100
29,21,638
30,17,120
30,18,10140
30,19,72600
30,20,83160
30,21,12600
30,22,60
31,18,1798
31,19,40300
31,20,128898
31,21,69564
31,22,4030
32,18,128
32,19,12544
32,20,109824
32,21,168960
32,22,42240
32,23,768
33,19,2046
33,20,54054
33,21,217074
33,22,165528
33,23,18150
33,24,66
34,19,136
34,20,15300
34,21,160888
34,22,320892
34,23,121176
34,24,5236
35,20,2310
35,21,71050
35,22,350350
35,23,360360
35,24,65450
35,25,910
36,20,144
36,21,18432
36,22,229320
36,23,576576
36,24,308880
36,25,25344
36,26,72
37,21,2590
37,22,91760
37,23,545454
37,24,730158
37,25,201058
37,26,6660
38,21,152
38,22,21964
38,23,319200
38,24,988988
38,25,717288
38,26,97812
38,27,1064
39,22,2886
39,23,116688
39,24,823368
39,25,1394250
39,26,546546
39,27,34476
39,28,78
40,22,160
40,23,25920
40,24,435200
40,25,1630720
40,26,1544400
40,27,320320
40,28,8320
41,23,3198
41,24,146370
41,25,1209992
41,26,2532816
41,27,1348490
41,28,141778
41,29,1230
42,23,168
42,24,30324
42,25,582624
42,26,2598960
42,27,3123120
42,28,924924
42,29,45864
42,30,84
43,24,3526
43,25,181374
43,26,1736856
43,27,4409392
43,28,3074500
43,29,493038
43,30,10234
44,24,176
44,25,35200
44,26,767448
44,27,4021248
44,28,5989984
44,29,2416128
44,30,200200
44,31,1408
45,25,3870
45,26,222300
45,27,2441880
45,28,7399080
45,29,6563700
45,30,1506960
45,31,59850
45,32,90
46,25,184
46,26,40572
46,27,996360
46,28,6062064
46,29,10979280
46,30,5814952
46,31,736736
46,32,12420
47,26,4230
47,27,269780
47,28,3370182
47,29,12023352
47,30,13253812
47,31,4154800
47,32,276360
47,33,1598
48,26,192
48,27,46464
48,28,1276800
48,29,8930304
48,30,19348992
