n,size,k_zeros,trees,unicyclic,total
3,4,1,0,6,6
4,4,2,16,0,16
5,5,2,20,10,30
6,5,3,24,0,24
6,6,2,0,12,12
7,6,3,56,14,70
8,6,4,32,0,32
8,7,3,32,32,64
9,7,4,108,18,126
9,8,3,0,18,18
10,7,5,40,0,40
10,8,4,120,60,180
11,8,5,176,22,198
11,9,4,44,66,110
12,8,6,48,0,48
12,9,5,288,96,384
12,10,4,0,24,24
13,9,6,260,26,286
13,10,5,208,156,364
14,9,7,56,0,56
14,10,6,560,140,700
14,11,5,56,112,168
15,10,7,360,30,390
15,11,6,600,300,900
15,12,5,0,30,30
16,10,8,64,0,64
16,11,7,960,192,1152
16,12,6,320,320,640
17,11,8,476,34,510
17,12,7,1360,510,1870
17,13,6,68,170,238
18,11,9,72,0,72
18,12,8,1512,252,1764
18,13,7,1080,720,1800
18,14,6,0,36,36
19,12,9,608,38,646
19,13,8,2660,798,3458
19,14,7,456,570,1026
20,12,10,80,0,80
20,13,9,2240,320,2560
20,14,8,2800,1400,4200
20,15,7,80,240,320
21,13,10,756,42,798
21,14,9,4704,1176,5880
21,15,8,1764,1470,3234
21,16,7,0,42,42
22,13,11,88,0,88
22,14,10,3168,396,3564
22,15,9,6160,2464,8624
22,16,8,616,924,1540
23,14,11,920,46,966
23,15,10,7728,1656,9384
23,16,9,5152,3220,8372
23,17,8,92,322,414
24,14,12,96,0,96
24,15,11,4320,480,4800
24,16,10,12096,4032,16128
24,17,9,2688,2688,5376
24,18,8,0,48,48
25,15,12,1100,50,1150
25,16,11,12000,2250,14250
25,17,10,12600,6300,18900
25,18,9,800,1400,2200
26,15,13,104,0,104
26,16,12,5720,572,6292
26,17,11,21840,6240,28080
26,18,10,8736,6552,15288
26,19,9,104,416,520
27,16,13,1296,54,1350
27,17,12,17820,2970,20790
27,18,11,27216,11340,38556
27,19,10,3888,4536,8424
27,20,9,0,54,54
28,16,14,112,0,112
28,17,13,7392,672,8064
28,18,12,36960,9240,46200
28,19,11,23520,14112,37632
28,20,10,1008,2016,3024
29,17,14,1508,58,1566
29,18,13,25520,3828,29348
29,19,12,53592,19140,72732
29,20,11,13920,12180,26100
29,21,10,116,522,638
30,17,15,120,0,120
30,18,14,9360,780,10140
30,19,13,59400,13200,72600
30,20,12,55440,27720,83160
30,21,11,5400,7200,12600
30,22,10,0,60,60
31,18,15,1736,62,1798
31,19,14,35464,4836,40300
31,20,13,98208,30690,128898
31,21,12,40920,28644,69564
31,22,11,1240,2790,4030
32,18,16,128,0,128
32,19,15,11648,896,12544
32,20,14,91520,18304,109824
32,21,13,118272,50688,168960
32,22,12,21120,21120,42240
32,23,11,128,640,768
33,19,16,1980,66,2046
33,20,15,48048,6006,54054
33,21,14,169884,47190,217074
33,22,13,104544,60984,165528
33,23,12,7260,10890,18150
33,24,11,0,66,66
34,19,17,136,0,136
34,20,16,14280,1020,15300
34,21,15,136136,24752,160888
34,22,14,233376,87516,320892
34,23,13,67320,53856,121176
34,24,12,1496,3740,5236
35,20,17,2240,70,2310
35,21,16,63700,7350,71050
35,22,15,280280,70070,350350
35,23,14,240240,120120,360360
35,24,13,30800,34650,65450
35,25,12,140,770,910
36,20,18,144,0,144
36,21,17,17280,1152,18432
36,22,16,196560,32760,229320
36,23,15,432432,144144,576576
36,24,14,185328,123552,308880
36,25,13,9504,15840,25344
36,26,12,0,72,72
37,21,18,2516,74,2590
37,22,17,82880,8880,91760
37,23,16,444444,101010,545454
37,24,15,507936,222222,730158
37,25,14,105820,95238,201058
37,26,13,1776,4884,6660
38,21,19,152,0,152
38,22,18,20672,1292,21964
38,23,17,276640,42560,319200
38,24,16,760760,228228,988988
38,25,15,456456,260832,717288
38,26,14,43472,54340,97812
38,27,13,152,912,1064
39,22,19,2808,78,2886
39,23,18,106080,10608,116688
39,24,17,681408,141960,823368
39,25,16,1003860,390390,1394250
39,26,15,312312,234234,546546
39,27,14,12168,22308,34476
39,28,13,0,78,78
40,22,20,160,0,160
40,23,19,24480,1440,25920
40,24,18,380800,54400,435200
40,25,17,1281280,349440,1630720
40,26,16,1029600,514800,1544400
40,27,15,160160,160160,320320
40,28,14,2080,6240,8320
41,23,20,3116,82,3198
41,24,19,133824,12546,146370
41,25,18,1014832,195160,1209992
41,26,17,1876160,656656,2532816
41,27,16,820820,527670,1348490
41,28,15,59696,82082,141778
41,29,14,164,1066,1230
42,23,21,168,0,168
42,24,20,28728,1596,30324
42,25,19,514080,68544,582624
42,26,18,2079168,519792,2598960
42,27,17,2162160,960960,3123120
42,28,16,504504,420420,924924
42,29,15,15288,30576,45864
42,30,14,0,84,84
43,24,21,3440,86,3526
43,25,20,166668,14706,181374
43,26,19,1473696,263160,1736856
43,27,18,3345056,1064336,4409392
43,28,17,1967680,1106820,3074500
43,29,16,234780,258258,493038
43,30,15,2408,7826,10234
44,24,22,176,0,176
44,25,21,33440,1760,35200
44,26,20,682176,85272,767448
44,27,19,3267264,753984,4021248
44,28,18,4278560,1711424,5989984
44,29,17,1409408,1006720,2416128
44,30,16,80080,120120,200200
44,31,15,176,1232,1408
45,25,22,3780,90,3870
45,26,21,205200,17100,222300
45,27,20,2093040,348840,2441880
45,28,19,5728320,1670760,7399080
45,29,18,4375800,2187900,6563700
45,30,17,786240,720720,1506960
45,31,16,18900,40950,59850
45,32,15,0,90,90
46,25,23,184,0,184
46,26,22,38640,1932,40572
46,27,21,891480,104880,996360
46,28,20,4992288,1069776,6062064
46,29,19,8051472,2927808,10979280
46,30,18,3578432,2236520,5814952
46,31,17,334880,401856,736736
46,32,16,2760,9660,12420
47,26,23,4136,94,4230
47,27,22,250040,19740,269780
47,28,21,2914752,455430,3370182
47,29,20,9472944,2550408,12023352
47,30,19,9140560,4113252,13253812
47,31,18,2326688,1828112,4154800
47,32,17,105280,171080,276360
47,33,16,188,1410,1598
48,26,24,192,0,192
48,27,23,44352,2112,46464
48,28,22,1149120,127680,1276800
48,29,21,7441920,1488384,8930304
48,30,20,14511744,4837248,19348992
48,31,19,8401536,4667520,13069056
48,32,18,1188096,1188096,2376192
48,33,17,23040,53760,76800
48,34,16,0,96,96
49,27,24,4508,98,4606
49,28,23,301840,22638,324478
49,29,22,3988404,586530,4574934
49,30,21,15193920,3798480,18992400
49,31,20,18106088,7407036,25513124
49,32,19,6237504,4288284,10525788
49,33,18,466480,606424,1072904
49,34,17,3136,11760,14896
50,27,25,200,0,200
50,28,24,50600,2300,52900
50,29,23,1463000,154000,1617000
50,30,22,10852800,2034900,12887700
50,31,21,25194000,7752000,32946000
50,32,20,18475600,9237800,27713400
50,33,19,3712800,3182400,6895200
50,34,18,136000,238000,374000
50,35,17,200,1600,1800
51,28,25,4896,102,4998
51,29,24,361284,25806,387090
51,30,23,5372136,746130,6118266
51,31,22,23721120,5534928,29256048
51,32,21,34263840,12848940,47112780
51,33,20,15418728,9422556,24841284
51,34,19,1747872,1893528,3641400
51,35,18,27744,69360,97104
51,36,17,0,102,102
52,28,26,208,0,208
52,29,25,57408,2496,59904
52,30,24,1841840,184184,2026024
52,31,23,15519504,2738736,18258240
52,32,22,42325920,12093120,54419040
52,33,21,38429248,17467840,55897088
52,34,20,10480704,7860528,18341232
52,35,19,636480,891072,1527552
52,36,18,3536,14144,17680
53,29,26,5300,106,5406
53,30,25,429088,29256,458344
53,31,24,7133588,938630,8072218
