n,matrix_size,m,a,reduced_numerator
0,1,2,1,1
1,2,2,1,4
2,3,2,1,256
3,4,2,1,65536
4,5,2,1,1073741824
5,6,2,1,70368744177664
6,7,2,1,73786976294838206464
7,8,2,1,309485009821345068724781056
8,9,2,1,332306998946228968225951765070086144
9,10,2,1,1427247692705959881058285969449495136382746624
10,11,2,1,98079714615416886934934209737619787751599303819750539264
11,12,2,1,26959946667150639794667015087019630673637144422540572481103610249216
12,13,2,1,474284397516047136454946754595585670566993857190463750305618264096412179005177856
13,14,2,1,33374797436264220037422214158899251790667258161822699530422525122222183215322508594108782608384
14,15,2,1,37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616
15,16,2,1,169230328010303641331690318856389386196071598838855992136870091590247882556495704531248437872567112920983350278405979725889536
16,17,2,1,780437137578998057845399307448291576437149535666242787714789239906342934704941405030076525765872992789956732780351655723861993919822071326572544
17,18,2,1,14396524142538228424993723224595141948383030778566133225922417832357880258148761185020930195532450742879746914027266864394266451377581759004827248578768524336431104
18,19,2,1,4249103942534136789516705652419749018636744941816255385595553105603228478886817941913300018121834285351114635889972008122772634701221657915276159830132698815550650166683145752253825024
19,20,2,1,5016456510113118655434598811035278955030765345404790744303017523831112055108147451509157692220295382716162651878526895249385292291816524375083746691371804094271873160484737966720260389217684476157468082176
20,21,2,1,379032737378102767370356320425415662904513187772631008578870126471203845870697482014374611530431269030880793627229265919475483409207718357286202948008100864063587640630090308972232735749901964068667724412528434753635948938919936
21,22,2,1,114555615673899844817675135734699353962886956688682610117765798809244256021411616637381137063298513501717438036875998880297587443028293506801780104166258318482051497231916848409067205045915915104980160032926980989903722214426950334461435148425897181184
22,23,2,1,553956966280111321359151042308621317197106853745652161186848528428353614047320326248246548509656023453846098404449586961587736474553087989908021159880755329796288475560940755137311819879076531853615938045960455092067922915100261601864210866521544040371494407003426519343169536
23,24,2,1,10715086071862673209484250490600018105614048117055336074437503883703510511249361224931983788156958581275946729175531468251871452856923140435984577574698574803934567774824230985421074605062371141877954182153046474983581941267398767559165543946077062914571196477686542167660429831652624386837205668069376
24,25,2,1,53058536290991634737396540170283858539198978395771271474551549598742698935712572215646062825029533563666321339663466341699370021653261445199826360714064955944866263669556212233526813063143284104557957658305559283253118889734882642786544086063293282737405311454375777285526890640894984855797452638426498665888535738081213096656896
25,26,2,1,1050932584007919349247276470706337614964595016201702265730788379907271770705672950402678499587161021318748225038571874254674373003589884095763648064131391439493377897439940849663371575715335395746244327662295930556112407548110386304314732285524778233931590806624721312177403478258221519824050340117043937656005048385392539239027558362141047023676361763979264
26,27,2,1,333053830229260770621607690475650737235688391912534553770211595212915457909547529536391662135434373914957491646536992249324274119946350877060477011381674264413572144300455051064741867189170673615134701457526073958774197668721551323742800044302024329335435164329957146513229330720904179349319194620509401659106183110500496672854349935639454656924097627831557980822871062737782501399330816
27,28,2,1,422195887798433229774352145185468813016238336131097319380815938242257919877032759055678682325872212299032555117279041959654015279739053454668832857993357497160660916766822054198977340111664599558102697040290856557224005740728229651081256478104685172984831138501872159407593068952851198194574416241549499596609861510631826988369559184497748026624786660912594905737228087742453737599954463816552696563892037688613666816
28,29,2,1,34252599717220740964480066367461775384300796758135575023511521508584925635315744339508868053305634044583154694136169450585248582950654257572432655193363965671767535630204196547350393273030725533727228695644666630323589314711861662622444940809877891254555715382569767905770751145860478863082138388560137377259720908415681491633424571028324954370426945443041702698606233688517571510793616536785654250000170950542508846562924006385143276878597376180224
29,30,2,1,11115604119273511155004203516379341078954808628034459829854555773438420767442288059746195644043492354371488380285262345936276764113820994829096254175403202529890646269655103994182676424586271759758982690318770956816351399016354543413171258947224528497906760582311712578507469290405621852969444894723024257422615383000478827841715617235537223051499470957066430322574055062300668685167453676454641191252490075097410460830484002104118443786127982311697061639884742739324040156591161344
30,31,2,1,57715516349220641403551145131489818535967707556974914498972081580655912641605995884514692702103291057564682320142077470573205915596649000596449124797132990977763935367791720852384692606220407885376850234195316884149692198070466523319924314171909689281792657015325589841528833618559065707305684039682709876498237825049170393034127744282786670958110681647450528619147369273060998443631934873289600324154515400080488767008937665030852875913264330060499715021638582083043723256517866242361536121851272221143794423169024
31,32,2,1,1198704376915095279387480343045361671730644368150573240512773432879842058669565997124016627990207681634233906420719287022894744202442929991306355413307837823268031111266003603547180584046167209105227837310389339858737925377319347088123771981133389542283310696478430941023973246538586112505661167115912895464136639548800025432244070448878784999863781781108587654102719628420246301525634694817150787901841270830731811250688192935437465855092435396362301529334901659687228894334871948311489560575158416231944061329427495951844584329607105423498822025216
32,33,2,1,101974490653789342452103135021850908971991396442353234917068037719346863436020306346621876364766936077761091595926808996836775996618400992892533039594718252497722578504834949342851028529324293067252084723562687291559583492214347767610253670902823545293096604565408113182329534401325431902250930191274076613922411479670822936329681138552340210613187189370546728210259802188028651077399439099268068427865691382368315148212031733140040794225325611722912890252514454588133004072494067350582797677220119843215844591085540229905203079158788219257405738979012199841132549949682977415593013018624
33,34,2,1,34700121045228555050346908199627554351999626650623573385702511705100383013778982462694552235303987720295281791581839500993603492716324012112080030184214932399614610295086089500572728684864081763876641724647641123300767413714333341119647274607679476661617274758087496290970503964721730172238308213210905014199323488305566588745842860156719851543181629073836373481851896982567618683950557677947311671573654921572375593177794417193575473825664871071596555907577556369173723690978645004526352725094828789185066647004215989958593322630820366233667054097276897939000287388430370985902663136278186295034066967302216117429408098156544
34,35,2,1,188925429147415070090867023710384862247944466602645731218914715709256998128394105520308139142321829040991808964031549501092001899361313176552251310762274501183611033742519060083506700030603548961193847683236020430717887921692522425420621034792772637558242898097946814749675065203149850981821819361676062288761012586597602547891197754519849336925393461617999791637980638989521464367131962835153017412953203951699262325047633594560931896553430632130285068716628588438090164278056534796501788673534755861820786494390646366989929412711486089280286786489931205488044796999497301789393147209627217597170916544198738754894078575348993733181927662807200053695703897314689024
35,36,2,1,4114431500917533264816329437256320298259880389702321590529342434051794115825991814370499596893941148081522183246816078635084275208836866418595011285189812179838948194489086026247946328361034225900607674736382569507159406235931504938850640079296540215610712716472164446868705521939136395235353947595652357422272552085939835480181459297639349767622336683545142825629616665307089011559145359656682567305205523523735834680405989702615962918080881972339868762659487667540739308178721530344409828782129900515915899833113304896835259629045812270311536601404826049683014415892091185212232478293828945985854377370363747914440178202013218336198004612169557083644697244078763073363906011870318620015713861716112572416
0,1,3,1,1
1,2,3,1,9
2,3,3,1,729
3,4,3,1,4782969
4,5,3,1,282429536481
5,6,3,1,150094635296999121
6,7,3,1,6461081889226673298932241
7,8,3,1,2503155504993241601315571986085849
8,9,3,1,8727963568087712425891397479476727340041449
9,10,3,1,22185312344622607535965183080365494317672538611578408721
10,11,3,1,507528786056415600719754159741696356908742250191663887263627442114881
11,12,3,1,104495676331778315966103878903450701989608781073244439950619431748912396904023371769
