n,matrix_size,m,a,numerator,denominator
0,1,1,1,1,1
1,2,1,1,1,12
2,3,1,1,1,2160
3,4,1,1,1,6048000
4,5,1,1,1,266716800000
5,6,1,1,1,186313420339200000
0,1,1,2,1,2
1,2,1,2,1,72
2,3,1,2,1,43200
3,4,1,2,1,423360000
4,5,1,2,1,67212633600000
5,6,1,2,1,172153600393420800000
0,1,1,3,1,3
1,2,1,3,1,240
2,3,1,3,1,378000
3,4,1,3,1,10668672000
4,5,1,3,1,5175372787200000
5,6,1,3,1,42202225467872870400000
0,1,1,5,1,5
1,2,1,5,1,1260
2,3,1,5,1,8890560
3,4,1,5,1,1408264704000
4,5,1,5,1,4485780768268800000
5,6,1,5,1,269685408935166352128000000
0,1,2,1,1,1
1,2,2,1,4,45
2,3,2,1,256,496125
3,4,2,1,65536,344158439625
4,5,2,1,1073741824,242272682455369190625
5,6,2,1,70368744177664,10854276041712288256930862128125
0,1,2,2,1,2
1,2,2,2,1,48
2,3,2,2,1,17280
3,4,2,2,1,96768000
4,5,2,2,1,8534937600000
5,6,2,2,1,11924058901708800000
0,1,2,3,1,3
1,2,2,3,4,525
2,3,2,3,256,22920975
3,4,2,3,65536,63275987399625
4,5,2,3,1073741824,177624332221127738821875
5,6,2,3,70368744177664,31765861129710535242109450659028125
0,1,2,5,1,5
1,2,2,5,4,2205
2,3,2,5,256,280945665
3,4,2,5,65536,2441649609023625
4,5,2,5,1073741824,22601350636258041676153125
5,6,2,5,70368744177664,13752248387681792908719761593585078125
0,1,3,1,1,1
1,2,3,1,9,112
2,3,3,1,729,1783600
3,4,3,1,4782969,36653693440000
4,5,3,1,282429536481,108232330861118464000000
5,6,3,1,150094635296999121,45960773753339643109566054400000000
0,1,3,2,1,2
1,2,3,2,9,400
2,3,3,2,729,10841600
3,4,3,2,4782969,371537512192000
4,5,3,2,282429536481,1809112690885391091200000
5,6,3,2,150094635296999121,1257916499885328406114575225241600000
0,1,3,3,1,3
1,2,3,3,1,108
2,3,3,3,1,58320
3,4,3,3,1,489888000
4,5,3,3,1,64812182400000
5,6,3,3,1,135822483427276800000
0,1,3,5,1,5
1,2,3,5,9,3520
2,3,3,5,729,354791360
3,4,3,5,4782969,46222644130432000
4,5,3,5,282429536481,865830761121243001884800000
5,6,3,5,150094635296999121,2333132400108167403084381128998912000000
0,1,4,1,1,1
1,2,4,1,16,225
2,3,4,1,16384,52360425
3,4,4,1,268435456,3132736008845625
4,5,4,1,1125899906842624,769498317977443213925390625
5,6,4,1,75557863725914323419136,48456823792942779184791905247454306640625
0,1,4,2,1,2
1,2,4,2,1,45
2,3,4,2,32,496125
3,4,4,2,4096,344158439625
4,5,4,2,33554432,242272682455369190625
5,6,4,2,1099511627776,10854276041712288256930862128125
0,1,4,3,1,3
1,2,4,3,16,1617
2,3,4,3,16384,836433675
3,4,4,3,268435456,107819709174725625
4,5,4,3,1125899906842624,56096721587329400404200571875
5,6,4,3,75557863725914323419136,7402787946214766010054088711359447825590625
0,1,4,5,1,5
1,2,4,5,16,5265
2,3,4,5,16384,5400105165
3,4,4,5,268435456,1386034867503365625
4,5,4,5,1125899906842624,1438387342298966872799314453125
5,6,4,5,75557863725914323419136,378949119915194708006497303863345676025390625
0,1,6,1,1,1
1,2,6,1,36,637
2,3,6,1,186624,971568325
3,4,6,1,313456656384,7794453644038140625
4,5,6,1,303256405652583481344,580664830780009673325165712890625
5,6,6,1,10561970993654308399280075833344,25032062540763120849026324212490743619944814453125
0,1,6,2,1,2
1,2,6,2,9,448
2,3,6,2,729,14268800
3,4,6,2,4782969,586459095040000
4,5,6,2,282429536481,3463434587555790848000000
5,6,6,2,150094635296999121,2941489520213737159012227481600000000
0,1,6,3,1,3
1,2,6,3,4,405
2,3,6,3,256,13395375
3,4,6,3,65536,27876833609625
4,5,6,3,1073741824,58872261836654713321875
5,6,6,3,70368744177664,7912767234408258139302598491403125
0,1,6,5,1,5
1,2,6,5,36,10285
2,3,6,5,186624,45599051465
3,4,6,5,313456656384,1018890286552242036625
4,5,6,5,303256405652583481344,206585009937536250225641150473653125
5,6,6,5,10561970993654308399280075833344,23890620732566983076100797761279824114623823465203125
0,1,10,1,1,1
1,2,10,1,100,2541
2,3,10,1,4000000,44152011981
3,4,10,1,16000000000000,1257387902945347089609
4,5,10,1,102400000000000000000000,928103093663296974313100754115200321
5,6,10,1,1638400000000000000000000000000000000,27608615389630028455780050293772491493344666278408974069
0,1,10,2,1,2
1,2,10,2,25,1584
2,3,10,2,15625,515192832
3,4,10,2,244140625,67714901552922624
4,5,10,2,95367431640625,3579227429376707736977276928
5,6,10,2,23283064365386962890625,1898127779703709444283268121940188836397056
0,1,10,3,1,3
1,2,10,3,100,11661
2,3,10,3,4000000,288860263263
3,4,10,3,16000000000000,11436743285814781944009
4,5,10,3,102400000000000000000000,11586530929681049601809091601285429203
5,6,10,3,1638400000000000000000000000000000000,469406155938888898531235730549637057619354696038641438549
0,1,10,5,1,5
1,2,10,5,4,1125
2,3,10,5,256,62015625
3,4,10,5,65536,215099024765625
4,5,10,5,1073741824,757102132673028720703125
5,6,10,5,70368744177664,169598063151754504014544720751953125
0,1,12,1,1,1
1,2,12,1,144,4225
2,3,12,1,11943936,177135765625
3,4,12,1,1283918464548864,158155535553237214890625
4,5,12,1,317987388813563376533766144,5277053936961393055587512406556969140625
5,6,12,1,11340829999761469526101508912153106579456,409050192039800296528220820911178111657039313025659753515625
0,1,12,2,1,2
1,2,12,2,9,637
2,3,12,2,23328,971568325
3,4,12,2,19591041024,7794453644038140625
4,5,12,2,9476762676643233792,580664830780009673325165712890625
5,6,12,2,165030796775848568738751184896,25032062540763120849026324212490743619944814453125
0,1,12,3,1,3
1,2,12,3,16,2025
2,3,12,3,16384,1413731475
3,4,12,3,268435456,253751616716495625
4,5,12,3,1125899906842624,186988091268518700983869921875
5,6,12,3,75557863725914323419136,35325024545055286025713298925394189541015625
0,1,12,5,1,5
1,2,12,5,144,41905
2,3,12,5,11943936,3139824860765
3,4,12,5,1283918464548864,4823278230885459442722625
4,5,12,5,317987388813563376533766144,271521112767058442493590460440141054403125
5,6,12,5,11340829999761469526101508912153106579456,35088226729524686911636463893740364840625397911311547672265625
