EXACT VERIFICATION: PASS
box_polynomial_identity: 448
box_polynomial_integrality: 168
complete_digit_block: 30
composite_naive_counterexample: 1
denominator_valuation: 15015
digit_sum_formula: 3078
extended_product_vs_numerator: 19008
finite_gcd_certificate: 84
global_closed_form: 728
inverse_denominator_support: 5824
inverse_identity_entry: 5824
lambert_series_all_coefficients: 6
matrix_vs_numerator_theorem: 2304
matrix_vs_product: 2304
multiplicative_recurrence: 348
noncoprime_reduced_pair: 424
published_oeis_terms: 14
ratio_recursion_vs_numerator_theorem: 12727
ratio_recursion_vs_product: 12727
residual_lower_bound: 24600
residual_minimum_at_minus_one: 1200
residue_count: 24600
second_difference: 3072
sharpness_witness: 457
sparse_indices_counterexample: 1
squared_moments_counterexample: 1
superfactorial_valuation: 3078
two_shift_certificate: 160
two_step_direct_determinant: 2187
two_step_numerator_support: 3645
two_step_universal_divisor: 3645
universal_denominator_divides: 11847
Total checks: 159555
Python: 3.14.4
Elapsed seconds: 2.946
Finite verification corroborates, but does not replace, the mathematical proofs.
