n,m,a,numerator,denominator,numerator_factorization
0,2,1,1,1,{}
1,2,1,4,45,"{""2"": 2}"
2,2,1,256,496125,"{""2"": 8}"
3,2,1,65536,344158439625,"{""2"": 16}"
4,2,1,1073741824,242272682455369190625,"{""2"": 30}"
5,2,1,70368744177664,10854276041712288256930862128125,"{""2"": 46}"
6,2,1,73786976294838206464,124017899730349897586970988528804576796953125,"{""2"": 66}"
7,2,1,309485009821345068724781056,90437933972987508441425875810076994134583340526356494140625,"{""2"": 88}"
8,2,1,332306998946228968225951765070086144,269568846365465224786223139334815827646659472035725809049051854125650634765625,"{""2"": 118}"
9,2,1,1427247692705959881058285969449495136382746624,51340212115632023641008185814095838617887590157428726760174674160655941764797804728461456298828125,"{""2"": 150}"
10,2,1,98079714615416886934934209737619787751599303819750539264,2499845690399279867761256269181056251745249841493020009226536443629937346419728628518626197388117018706031208038330078125,"{""2"": 186}"
11,2,1,26959946667150639794667015087019630673637144422540572481103610249216,7781764189463032922500724767949611756084431954241604674315138072688022089358434050394023323014587528568475861499635504950484747240543365478515625,"{""2"": 224}"
12,2,1,474284397516047136454946754595585670566993857190463750305618264096412179005177856,24782725080179110999690465222712643645027537752968511021659189400426208762449202481552192900651168147050870915429981152505456568073576496137920306259594084322452545166015625,"{""2"": 268}"
0,3,1,1,1,{}
1,3,1,9,112,"{""3"": 2}"
2,3,1,729,1783600,"{""3"": 6}"
3,3,1,4782969,36653693440000,"{""3"": 14}"
4,3,1,282429536481,108232330861118464000000,"{""3"": 24}"
5,3,1,150094635296999121,45960773753339643109566054400000000,"{""3"": 36}"
6,3,1,6461081889226673298932241,25271961243597954772188326822239162040320000000000,"{""3"": 52}"
7,3,1,2503155504993241601315571986085849,1999757999107408700888240120016721623139554220893798400000000000000,"{""3"": 70}"
8,3,1,8727963568087712425891397479476727340041449,22775651128731288933501198511651010676883527049894679597589604765696000000000000000000,"{""3"": 90}"
9,3,1,22185312344622607535965183080365494317672538611578408721,3024472223647494322682687516236977696071891899309433824002183630071800305289470318653931520000000000000000000,"{""3"": 116}"
10,3,1,507528786056415600719754159741696356908742250191663887263627442114881,57817704862578328637789722190053234550919558727991933311361217038955733851362430709210675505513813223534210357329920000000000000000000,"{""3"": 144}"
11,3,1,104495676331778315966103878903450701989608781073244439950619431748912396904023371769,159121155215477145088970093891997464436561605010085123659000051663649508321363712215576957516450150664367846168328379919003265163101296069181440000000000000000000,"{""3"": 174}"
12,3,1,1742693381014614361631744253876750131626600682858921288089186323970185832803443622626158010427690561,567428211617109760796328659416832454493650339124737768954711471823434917581207631856844712508851235289142364055095968590133818546962030965928524076042589672399372426412032000000000000000000000,"{""3"": 208}"
0,4,1,1,1,{}
1,4,1,16,225,"{""2"": 4}"
2,4,1,16384,52360425,"{""2"": 14}"
3,4,1,268435456,3132736008845625,"{""2"": 28}"
4,4,1,1125899906842624,769498317977443213925390625,"{""2"": 50}"
5,4,1,75557863725914323419136,48456823792942779184791905247454306640625,"{""2"": 76}"
6,4,1,324518553658426726783156020576256,3127707117968468496401084635961086290208820740777587890625,"{""2"": 108}"
7,4,1,22300745198530623141535718272648361505980416,51718246348942119398162246317802380267049591137906338719607047325640869140625,"{""2"": 144}"
8,4,1,1569275433846670190958947355801916604025588861116008628224,14018882285875445441239742029640056539768839938904498762667171277031149917820916052413302642822265625,"{""2"": 190}"
9,4,1,1766847064778384329583297500742918515827483896875618958121606201292619776,973205348933987514497046270157350927420020571086841478634633767327394087779534667773163172171576111818970848945798492431640625,"{""2"": 240}"
10,4,1,127314748520905380391777855525586135065716774604121015664758778084648831235208544136462336,69205635008492132423078031935187154056221264726982721548684953218700979069195589771823877024794921801935027648903228803036480696580066266064359283447265625,"{""2"": 296}"
11,4,1,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936,1260196362914753429680863222606338015460102872246732560924053569334954416755701416386214528867631204139057963144358100385651859157843600708882836941803154852314240957725569095611572265625,"{""2"": 356}"
12,4,1,43322963970637732180912721627235682866194329302747133987038743447103457934462900359999600095377180907771737671271930809827721216,94014553279313092968373031472140852221319837881887905940762295674710418229852459063541417342991341338015858439458156559480177248969895714370093925388140563619962910319621775604505781672940845956467605670823307037353515625,"{""2"": 424}"
0,5,1,1,1,{}
1,5,1,25,396,"{""5"": 2}"
2,5,1,15625,64399104,"{""5"": 6}"
3,5,1,244140625,4232181347057664,"{""5"": 12}"
4,5,1,95367431640625,111850857168022116780539904,"{""5"": 20}"
5,5,1,23283064365386962890625,29658246557870460066926064405315450568704,"{""5"": 32}"
6,5,1,142108547152020037174224853515625,3152669856062192140455900825838228340037417189918998790144,"{""5"": 46}"
7,5,1,21684043449710088680149056017398834228515625,134266634916654877592806319793543800376414297989666693544913935978926299938816,"{""5"": 62}"
8,5,1,82718061255302767487140869206996285356581211090087890625,2290041176159186534412448071836209699702608102764085427056650994653585242477339642684636310846570496,"{""5"": 80}"
9,5,1,7888609052210118054117285652827862296732064351090230047702789306640625,15638282686404445224008265046770241396280100627499633701291666060718191144537656131346046531989635555517186777103266696134656,"{""5"": 100}"
10,5,1,470197740328915003187494614888898271127466222708835008603500682511366903781890869140625,1068721152219363932504462660140550931038295683297739919288304144067007277876194337488909093677943047372996766873744718151212403333469261736550018280587264,"{""5"": 124}"
11,5,1,700649232162408535461864791644958065640130970938257885878534141944895541342930300743319094181060791015625,29232779537975243352945554271580159184599451345751174777476380771508359793997723940500446600198353806669519648961725960751504766260025038862138043414393928498443202635935901734368444416,"{""5"": 150}"
12,5,1,26101217871994098106841176437026190222804657032275866191034545821878892978389944908891584507415473126457072794437408447265625,320008562544585461375429443614552838168539416391147669469947925840604517496613740909599304505624354964927543647503387207709820033399617911603138341333050655587838237375820540563940574201197770449545443794886330433929216,"{""5"": 178}"
0,6,1,1,1,{}
1,6,1,36,637,"{""2"": 2, ""3"": 2}"
2,6,1,186624,971568325,"{""2"": 8, ""3"": 6}"
3,6,1,313456656384,7794453644038140625,"{""2"": 16, ""3"": 14}"
4,6,1,303256405652583481344,580664830780009673325165712890625,"{""2"": 30, ""3"": 24}"
5,6,1,10561970993654308399280075833344,25032062540763120849026324212490743619944814453125,"{""2"": 46, ""3"": 36}"
6,6,1,476743696199376997304779171699676062704205824,22446398063081703285860937439061546045576825869040999693019117314453125,"{""2"": 66, ""3"": 52}"
7,6,1,774689106047187352199812260768109135572848954062050944876544,11619652118151203915647743001524946488558165309892986357571660259763128250316137657010791015625,"{""2"": 88, ""3"": 70}"
8,6,1,2900363380223248278680600406338496999219106180260838995508595531710366960582656,222114097939195183265215769287431542632671361678148471222890168206063203099480295131936132812367130962028914222847900390625,"{""2"": 118, ""3"": 90}"
9,6,1,31663935855823665680778813987354966766475687641611080038188677516093542955638571342800764305254907904,198353398223795721107395138451466878650882753047268188119746287178049451660530834330900022833832220332375770296185220711259814215112026335814933868408203125,"{""2"": 150, ""3"": 116}"
10,6,1,49778278495522215528437215965294780717176013992267299043265674863272177847492539416716307272472594437357502534405644389187584,408550105582921215210679800432854819656542891208734158732543565660477352501166802131536060258929073071844347690158735952994075843552905329625121227091285961122675580939496517377437042236328125,"{""2"": 186, ""3"": 144}"
11,6,1,2817197860852578802939445108831274442011586370387860539940669682402669791088703647389534008602606201782333916432893000720392371657331457271074708783104,485121387468860408845132791558446314976873644714040125631113774319879865094320190702657314976307982604958472280876047979433400610960984852763791980959096546935717268287922437223120176984465213705710384371981448123363057281494140625,"{""2"": 224, ""3"": 174}"
12,6,1,826532280269719549685632972920486493706141744468272793413259356162366341648392333768078779862951909806083757887865987581126892583474825829555006120806340347721060934983499137417216,47814008528841143510343404815656007531864044641002010408531985471929055819925733230259076451094118019706855667894007555239486213545719477011212942539515778022913640230612699921517278910171321310631326889811732514350126106149023123132710413608538334593823832163722076416015625,"{""2"": 268, ""3"": 208}"
0,7,1,1,1,{}
1,7,1,49,960,"{""7"": 2}"
2,7,1,117649,757944000,"{""7"": 6}"
3,7,1,13841287201,477583631065728000,"{""7"": 12}"
4,7,1,79792266297612001,238111144537013651241360000000,"{""7"": 20}"
5,7,1,22539340290692258087863249,93598127376997316686065385280004096000000000,"{""7"": 30}"
6,7,1,311973482284542371301330321821976049,28954333655267309700042563149099934889750678994944000000000000,"{""7"": 42}"
7,7,1,10367793076318844190248738727596255138212949486449,345026818337934752050529249543054331211131439364972526699677787095040000000000000000,"{""7"": 58}"
8,7,1,16883055225799411425266916330285994919148364119538560494041005601,3229962780937400151090560929786885920738259622946413208098178439074678107911453411563043553280000000000000000,"{""7"": 76}"
9,7,1,1347137238494276547832006567721872890819326613454654477690085519113574118965817601,23743902971828916502882255580965250535010635674706876739325273987592206304592664555899539518129829727516778227770064896000000000000000000,"{""7"": 96}"
10,7,1,5267065530394883184651384028840252727177370209716317304311848947467915376271784433951441748896850449,137018491600454916375361949802448003072850308618926833537515101590172776321520582783125251072032091346817737348064418925799394671967448462416353951744000000000000000000,"{""7"": 118}"
11,7,1,1009070900075187879934194433318980336861560294920733696206957917126307891466567015160903161773357095564413691577856916049,620552356761668224004850981624070123720071897391974219153273630128997788983727305772827307523807654032479789244127804083100814344632238065669164510710227045862187497495913291076075520000000000000000000,"{""7"": 142}"
12,7,1,9472633233748348064691781883776780056144230698344752655431276446489866207161042801383674691511797068656593091565768432551250774391792479460801,2205334191835025161662070003463721746377837610920243500298870913556134708526932866283663896154964845930897453023295124210677902900945891612924812744282423531432875795533388710659848963584282451538343562884234679943168000000000000000000000,"{""7"": 168}"
0,10,1,1,1,{}
1,10,1,100,2541,"{""2"": 2, ""5"": 2}"
2,10,1,4000000,44152011981,"{""2"": 8, ""5"": 6}"
3,10,1,16000000000000,1257387902945347089609,"{""2"": 16, ""5"": 12}"
4,10,1,102400000000000000000000,928103093663296974313100754115200321,"{""2"": 30, ""5"": 20}"
5,10,1,1638400000000000000000000000000000000,27608615389630028455780050293772491493344666278408974069,"{""2"": 46, ""5"": 32}"
6,10,1,10485760000000000000000000000000000000000000000000000,5282784235127522962292227501169880632936129819475798948205874851929755222917509,"{""2"": 66, ""5"": 46}"
7,10,1,6710886400000000000000000000000000000000000000000000000000000000000000,1623201531627673546749685113811112977714205938315633096890596580254756766327024027333436688656598433267801,"{""2"": 88, ""5"": 62}"
8,10,1,27487790694400000000000000000000000000000000000000000000000000000000000000000000000000000000,51211111304271787103477007082865998376877719142422673925333765663966279221061522217988818367999717461347652646348634188367299040991559129,"{""2"": 118, ""5"": 80}"
9,10,1,11258999068426240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2590583361587780058353068394688160850494920146523826705683256945684641593696186214946838630947056346819311430485009246314611536592092408706147565825938849032143454574755381,"{""2"": 150, ""5"": 100}"
10,10,1,46116860184273879040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,21003396236775218463699907026332467700914612138465148857626614627604961162534590871841480866021631338799336736112778249066440647383633142828719740425622178119974952952679600565656600313000137743098891650522308229,"{""2"": 186, ""5"": 124}"
11,10,1,18889465931478580854784000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,272839096740973395674045080145677014963880546550321864954375741271110913069518968674842815893213892681292302054587552668909269315274493507797573186506385890418798383232960107628068044991501804431991161466205799281080860423065641077016832364035373963318081,"{""2"": 224, ""5"": 150}"
12,10,1,12379400392853802748991242240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90838193671898590522656547939388223878749541397002133740861699310068873485487584269346073855037447628628683803889627542850027374838521715917374142112662671817642457572121044907985561334955230605001819657839554003408217894444436053906113409692009131372565963897755480895381778560806942232650238557268401,"{""2"": 268, ""5"": 178}"
0,12,1,1,1,{}
1,12,1,144,4225,"{""2"": 4, ""3"": 2}"
2,12,1,11943936,177135765625,"{""2"": 14, ""3"": 6}"
3,12,1,1283918464548864,158155535553237214890625,"{""2"": 28, ""3"": 14}"
4,12,1,317987388813563376533766144,5277053936961393055587512406556969140625,"{""2"": 50, ""3"": 24}"
5,12,1,11340829999761469526101508912153106579456,409050192039800296528220820911178111657039313025659753515625,"{""2"": 76, ""3"": 36}"
6,12,1,2096740949760495307774675647438927281263215959790317469696,2644591837161624232778097472660380844456914307658048666570216470333188052584572265625,"{""2"": 108, ""3"": 52}"
7,12,1,55822233109153529900804013636894474877227461490150256260562795941153088733184,39550585464626864416946635799544892738082388726474385047970620960822132962191122313880207494831960572807666015625,"{""2"": 144, ""3"": 70}"
8,12,1,13696578814908776479995762192028953476669713855460190428847391707113327611954842704750673885791256576,87480346035418410047363883784018658336659728733309212413599983059532797821156286817268416243310708322699676353184493861769841930627173229150390625,"{""2"": 190, ""3"": 90}"
9,12,1,39198053997288109788909480500698236820906692444706444505262038621995431396530088013565820189453295523526608706057503887375466496,36195065279245249949186085697791478725219949261356185278208818951691450325755004199072255429488206808253355169126168892612392458745252808305753573665071431599014691918296229713134765625,"{""2"": 240, ""3"": 116}"
10,12,1,64615899763892941349398528819004136995691884425569227399723320566893041850533878731331471195699388856658206452000919598872571113671700955231689327965441622016,138274778916173008485730286433625082339277093611987864883231883438237929421444163717922974241262200543166291919656018192345705558591609259207977387988680328019419413464854984760146456414612506554285473380235185507622789306640625,"{""2"": 296, ""3"": 144}"
11,12,1,15338284098808322584184990104893550271512911225911875461363573420691485423495225300047928337544880824380825174046265891467821105224296378158676970874047410363231417517764445029837892992630784,1218945895165846692871439771920118346767965641539158907343486601031611955282369302904118577651954427889503430688278419150199416763707301323068543638718066100414016891297597660020482966717499703359729437185338514257626202573864831602160211533449601545369606423302105712890625,"{""2"": 356, ""3"": 174}"
12,12,1,75498642557564991682953221286152212095240774870346996431004866303001223690481111030580681374029486291383662072179949569848824324966478233574427734953527384384036617375303467541183202731700492919439351099824383053742560222642176,3569651827969041327728813272840967008082551758431196806340132912669558758415093825075667320677684327949619302657482876133018338609454161787295475785771627017040200413721072594630224735371409873385090198262224737484636942841825842133133183368655808186628686990519132628813183102551213596063217178508929413301842367095947265625,"{""2"": 424, ""3"": 208}"
