m,d,b,numerator,denominator
0,1,1,1,1
1,1,1,1,1
2,1,1,1,12
3,1,1,1,2160
4,1,1,1,6048000
5,1,1,1,266716800000
0,1,2,1,1
1,1,2,1,2
2,1,2,1,72
3,1,2,1,43200
4,1,2,1,423360000
5,1,2,1,67212633600000
0,1,3,1,1
1,1,3,1,3
2,1,3,1,240
3,1,3,1,378000
4,1,3,1,10668672000
5,1,3,1,5175372787200000
0,1,5,1,1
1,1,5,1,5
2,1,5,1,1260
3,1,5,1,8890560
4,1,5,1,1408264704000
5,1,5,1,4485780768268800000
0,2,1,1,1
1,2,1,1,1
2,2,1,4,45
3,2,1,256,496125
4,2,1,65536,344158439625
5,2,1,1073741824,242272682455369190625
0,2,2,1,1
1,2,2,1,2
2,2,2,1,48
3,2,2,1,17280
4,2,2,1,96768000
5,2,2,1,8534937600000
0,2,3,1,1
1,2,3,1,3
2,2,3,4,525
3,2,3,256,22920975
4,2,3,65536,63275987399625
5,2,3,1073741824,177624332221127738821875
0,2,5,1,1
1,2,5,1,5
2,2,5,4,2205
3,2,5,256,280945665
4,2,5,65536,2441649609023625
5,2,5,1073741824,22601350636258041676153125
0,3,1,1,1
1,3,1,1,1
2,3,1,9,112
3,3,1,729,1783600
4,3,1,4782969,36653693440000
5,3,1,282429536481,108232330861118464000000
0,3,2,1,1
1,3,2,1,2
2,3,2,9,400
3,3,2,729,10841600
4,3,2,4782969,371537512192000
5,3,2,282429536481,1809112690885391091200000
0,3,3,1,1
1,3,3,1,3
2,3,3,1,108
3,3,3,1,58320
4,3,3,1,489888000
5,3,3,1,64812182400000
0,3,5,1,1
1,3,5,1,5
2,3,5,9,3520
3,3,5,729,354791360
4,3,5,4782969,46222644130432000
5,3,5,282429536481,865830761121243001884800000
0,4,1,1,1
1,4,1,1,1
2,4,1,16,225
3,4,1,16384,52360425
4,4,1,268435456,3132736008845625
5,4,1,1125899906842624,769498317977443213925390625
0,4,2,1,1
1,4,2,1,2
2,4,2,1,45
3,4,2,32,496125
4,4,2,4096,344158439625
5,4,2,33554432,242272682455369190625
0,4,3,1,1
1,4,3,1,3
2,4,3,16,1617
3,4,3,16384,836433675
4,4,3,268435456,107819709174725625
5,4,3,1125899906842624,56096721587329400404200571875
0,4,5,1,1
1,4,5,1,5
2,4,5,16,5265
3,4,5,16384,5400105165
4,4,5,268435456,1386034867503365625
5,4,5,1125899906842624,1438387342298966872799314453125
0,6,1,1,1
1,6,1,1,1
2,6,1,36,637
3,6,1,186624,971568325
4,6,1,313456656384,7794453644038140625
5,6,1,303256405652583481344,580664830780009673325165712890625
0,6,2,1,1
1,6,2,1,2
2,6,2,9,448
3,6,2,729,14268800
4,6,2,4782969,586459095040000
5,6,2,282429536481,3463434587555790848000000
0,6,3,1,1
1,6,3,1,3
2,6,3,4,405
3,6,3,256,13395375
4,6,3,65536,27876833609625
5,6,3,1073741824,58872261836654713321875
0,6,5,1,1
1,6,5,1,5
2,6,5,36,10285
3,6,5,186624,45599051465
4,6,5,313456656384,1018890286552242036625
5,6,5,303256405652583481344,206585009937536250225641150473653125
0,10,1,1,1
1,10,1,1,1
2,10,1,100,2541
3,10,1,4000000,44152011981
4,10,1,16000000000000,1257387902945347089609
5,10,1,102400000000000000000000,928103093663296974313100754115200321
0,10,2,1,1
1,10,2,1,2
2,10,2,25,1584
3,10,2,15625,515192832
4,10,2,244140625,67714901552922624
5,10,2,95367431640625,3579227429376707736977276928
0,10,3,1,1
1,10,3,1,3
2,10,3,100,11661
3,10,3,4000000,288860263263
4,10,3,16000000000000,11436743285814781944009
5,10,3,102400000000000000000000,11586530929681049601809091601285429203
0,10,5,1,1
1,10,5,1,5
2,10,5,4,1125
3,10,5,256,62015625
4,10,5,65536,215099024765625
5,10,5,1073741824,757102132673028720703125
0,12,1,1,1
1,12,1,1,1
2,12,1,144,4225
3,12,1,11943936,177135765625
4,12,1,1283918464548864,158155535553237214890625
5,12,1,317987388813563376533766144,5277053936961393055587512406556969140625
0,12,2,1,1
1,12,2,1,2
2,12,2,9,637
3,12,2,23328,971568325
4,12,2,19591041024,7794453644038140625
5,12,2,9476762676643233792,580664830780009673325165712890625
0,12,3,1,1
1,12,3,1,3
2,12,3,16,2025
3,12,3,16384,1413731475
4,12,3,268435456,253751616716495625
5,12,3,1125899906842624,186988091268518700983869921875
0,12,5,1,1
1,12,5,1,5
2,12,5,144,41905
3,12,5,11943936,3139824860765
4,12,5,1283918464548864,4823278230885459442722625
5,12,5,317987388813563376533766144,271521112767058442493590460440141054403125
