m,a,b,N,D_N
0,1,1,0,1
0,1,1,1,2
0,1,1,2,5
0,1,1,3,13
0,1,1,4,34
0,1,1,5,89
0,1,1,6,233
0,1,1,7,610
0,1,1,8,1597
0,1,1,9,4181
0,1,1,10,10946
0,1,1,11,28657
0,1,1,12,75025
0,1,1,13,196418
0,1,1,14,514229
0,1,1,15,1346269
0,1,1,16,3524578
0,1,1,17,9227465
0,1,1,18,24157817
0,1,1,19,63245986
0,1,1,20,165580141
0,1,1,21,433494437
0,1,1,22,1134903170
0,1,1,23,2971215073
0,1,1,24,7778742049
0,1,1,25,20365011074
0,1,1,26,53316291173
0,1,1,27,139583862445
0,1,1,28,365435296162
0,1,1,29,956722026041
0,1,1,30,2504730781961
0,2,3,0,1
0,2,3,1,5
0,2,3,2,31
0,2,3,3,203
0,2,3,4,1345
0,2,3,5,8933
0,2,3,6,59359
0,2,3,7,394475
0,2,3,8,2621569
0,2,3,9,17422277
0,2,3,10,115784095
0,2,3,11,769472267
0,2,3,12,5113721281
0,2,3,13,33984519845
0,2,3,14,225852667231
0,2,3,15,1500960659243
0,2,3,16,9975011268865
0,2,3,17,66291444217733
0,2,3,18,440556452322079
0,2,3,19,2927828620617035
0,2,3,20,19457620894037569
0,2,3,21,129310509566747237
0,2,3,22,859365488487639775
0,2,3,23,5711129321800393067
0,2,3,24,37954745178014386561
0,2,3,25,252237797527911554885
0,2,3,26,1676309673621162960031
0,2,3,27,11140337211218099686283
0,2,3,28,74035910627154330849985
0,2,3,29,492024250116271749623333
0,2,3,30,3269870805285785019336799
0,1,2,0,1
0,1,2,1,3
0,1,2,2,11
0,1,2,3,43
0,1,2,4,171
0,1,2,5,683
0,1,2,6,2731
0,1,2,7,10923
0,1,2,8,43691
0,1,2,9,174763
0,1,2,10,699051
0,1,2,11,2796203
0,1,2,12,11184811
0,1,2,13,44739243
0,1,2,14,178956971
0,1,2,15,715827883
0,1,2,16,2863311531
0,1,2,17,11453246123
0,1,2,18,45812984491
0,1,2,19,183251937963
0,1,2,20,733007751851
0,1,2,21,2932031007403
0,1,2,22,11728124029611
0,1,2,23,46912496118443
0,1,2,24,187649984473771
0,1,2,25,750599937895083
0,1,2,26,3002399751580331
0,1,2,27,12009599006321323
0,1,2,28,48038396025285291
0,1,2,29,192153584101141163
0,1,2,30,768614336404564651
0,0,1,0,1
0,0,1,1,1
0,0,1,2,1
0,0,1,3,1
0,0,1,4,1
0,0,1,5,1
0,0,1,6,1
0,0,1,7,1
0,0,1,8,1
0,0,1,9,1
0,0,1,10,1
0,0,1,11,1
0,0,1,12,1
0,0,1,13,1
0,0,1,14,1
0,0,1,15,1
0,0,1,16,1
0,0,1,17,1
0,0,1,18,1
0,0,1,19,1
0,0,1,20,1
0,0,1,21,1
0,0,1,22,1
0,0,1,23,1
0,0,1,24,1
0,0,1,25,1
0,0,1,26,1
0,0,1,27,1
0,0,1,28,1
0,0,1,29,1
0,0,1,30,1
0,-4,1,0,1
0,-4,1,1,-3
0,-4,1,2,5
0,-4,1,3,-7
0,-4,1,4,9
0,-4,1,5,-11
0,-4,1,6,13
0,-4,1,7,-15
0,-4,1,8,17
0,-4,1,9,-19
0,-4,1,10,21
0,-4,1,11,-23
0,-4,1,12,25
0,-4,1,13,-27
0,-4,1,14,29
0,-4,1,15,-31
0,-4,1,16,33
0,-4,1,17,-35
0,-4,1,18,37
0,-4,1,19,-39
0,-4,1,20,41
0,-4,1,21,-43
0,-4,1,22,45
0,-4,1,23,-47
0,-4,1,24,49
0,-4,1,25,-51
0,-4,1,26,53
0,-4,1,27,-55
0,-4,1,28,57
0,-4,1,29,-59
0,-4,1,30,61
1,1,1,0,1
1,1,1,1,3
1,1,1,2,8
1,1,1,3,21
1,1,1,4,55
1,1,1,5,144
1,1,1,6,377
1,1,1,7,987
1,1,1,8,2584
1,1,1,9,6765
1,1,1,10,17711
1,1,1,11,46368
1,1,1,12,121393
1,1,1,13,317811
1,1,1,14,832040
1,1,1,15,2178309
1,1,1,16,5702887
1,1,1,17,14930352
1,1,1,18,39088169
1,1,1,19,102334155
1,1,1,20,267914296
1,1,1,21,701408733
1,1,1,22,1836311903
1,1,1,23,4807526976
1,1,1,24,12586269025
1,1,1,25,32951280099
1,1,1,26,86267571272
1,1,1,27,225851433717
1,1,1,28,591286729879
1,1,1,29,1548008755920
1,1,1,30,4052739537881
1,2,3,0,1
1,2,3,1,8
1,2,3,2,55
1,2,3,3,368
1,2,3,4,2449
1,2,3,5,16280
1,2,3,6,108199
1,2,3,7,719072
1,2,3,8,4778785
1,2,3,9,31758632
1,2,3,10,211059991
1,2,3,11,1402652240
1,2,3,12,9321678001
1,2,3,13,61949553848
1,2,3,14,411701328775
1,2,3,15,2736064645568
1,2,3,16,18183205205569
1,2,3,17,120841059834440
1,2,3,18,803079631825399
1,2,3,19,5337067516093232
1,2,3,20,35468823442317265
1,2,3,21,235716979893699032
1,2,3,22,1566516428168736871
1,2,3,23,10410678606306603680
1,2,3,24,69186780996934197601
1,2,3,25,459798140518714147688
1,2,3,26,3055704095177305403095
1,2,3,27,20307449496750015895568
1,2,3,28,134958259117404378536689
1,2,3,29,896899027468484885233400
1,2,3,30,5960567887691239675036999
1,1,2,0,1
1,1,2,1,5
1,1,2,2,21
1,1,2,3,85
1,1,2,4,341
1,1,2,5,1365
1,1,2,6,5461
1,1,2,7,21845
1,1,2,8,87381
1,1,2,9,349525
1,1,2,10,1398101
1,1,2,11,5592405
1,1,2,12,22369621
1,1,2,13,89478485
1,1,2,14,357913941
1,1,2,15,1431655765
1,1,2,16,5726623061
1,1,2,17,22906492245
1,1,2,18,91625968981
1,1,2,19,366503875925
1,1,2,20,1466015503701
1,1,2,21,5864062014805
1,1,2,22,23456248059221
1,1,2,23,93824992236885
1,1,2,24,375299968947541
1,1,2,25,1501199875790165
1,1,2,26,6004799503160661
1,1,2,27,24019198012642645
1,1,2,28,96076792050570581
1,1,2,29,384307168202282325
1,1,2,30,1537228672809129301
1,0,1,0,1
1,0,1,1,2
1,0,1,2,3
1,0,1,3,4
1,0,1,4,5
1,0,1,5,6
1,0,1,6,7
1,0,1,7,8
1,0,1,8,9
1,0,1,9,10
1,0,1,10,11
1,0,1,11,12
1,0,1,12,13
1,0,1,13,14
1,0,1,14,15
1,0,1,15,16
1,0,1,16,17
1,0,1,17,18
1,0,1,18,19
1,0,1,19,20
1,0,1,20,21
1,0,1,21,22
1,0,1,22,23
1,0,1,23,24
1,0,1,24,25
1,0,1,25,26
1,0,1,26,27
1,0,1,27,28
1,0,1,28,29
1,0,1,29,30
1,0,1,30,31
1,-4,1,0,1
1,-4,1,1,-2
1,-4,1,2,3
1,-4,1,3,-4
1,-4,1,4,5
1,-4,1,5,-6
1,-4,1,6,7
1,-4,1,7,-8
1,-4,1,8,9
1,-4,1,9,-10
1,-4,1,10,11
1,-4,1,11,-12
1,-4,1,12,13
1,-4,1,13,-14
1,-4,1,14,15
1,-4,1,15,-16
1,-4,1,16,17
1,-4,1,17,-18
1,-4,1,18,19
1,-4,1,19,-20
1,-4,1,20,21
1,-4,1,21,-22
1,-4,1,22,23
1,-4,1,23,-24
1,-4,1,24,25
1,-4,1,25,-26
1,-4,1,26,27
1,-4,1,27,-28
1,-4,1,28,29
1,-4,1,29,-30
1,-4,1,30,31
2,1,1,0,1
2,1,1,1,7
2,1,1,2,31
2,1,1,3,115
2,1,1,4,390
2,1,1,5,1254
2,1,1,6,3893
2,1,1,7,11789
2,1,1,8,35045
2,1,1,9,102695
2,1,1,10,297516
2,1,1,11,853932
2,1,1,12,2432041
2,1,1,13,6881395
2,1,1,14,19361995
2,1,1,15,54214939
2,1,1,16,151164018
2,1,1,17,419910354
2,1,1,18,1162585565
2,1,1,19,3209268665
2,1,1,20,8835468881
2,1,1,21,24266461007
2,1,1,22,66501634776
2,1,1,23,181882282200
2,1,1,24,496539007825
2,1,1,25,1353272290399
2,1,1,26,3682496714743
2,1,1,27,10006336858819
2,1,1,28,27153652025310
2,1,1,29,73593914702910
2,1,1,30,199228840377221
2,2,3,0,1
2,2,3,1,19
2,2,3,2,222
2,2,3,3,2138
2,2,3,4,18659
2,2,3,5,153657
2,2,3,6,1218364
2,2,3,7,9407668
2,2,3,8,71232069
2,2,3,9,531282527
2,2,3,10,3915507482
2,2,3,11,28578349326
2,2,3,12,206916861991
2,2,3,13,1488044339845
2,2,3,14,10639652951160
2,2,3,15,75695993182568
2,2,3,16,536202468042377
2,2,3,17,3783746481147051
2,2,3,18,26609752448123734
2,2,3,19,186570607666235842
2,2,3,20,1304557115287370091
2,2,3,21,9099444903523488977
2,2,3,22,63328212558451414964
2,2,3,23,439840924226712733212
2,2,3,24,3049192297603493139661
2,2,3,25,21102328546297047258871
2,2,3,26,145810996208678387660178
2,2,3,27,1006041574535035608056438
2,2,3,28,6931914238009833801733295
2,2,3,29,47702713538084047962201885
2,2,3,30,327885745132680573812752624
2,1,2,0,1
2,1,2,1,12
2,1,2,2,87
2,1,2,3,514
2,1,2,4,2733
2,1,2,5,13656
2,1,2,6,65539
2,1,2,7,305838
2,1,2,8,1398105
2,1,2,9,6291460
2,1,2,10,27962031
2,1,2,11,123032922
2,1,2,12,536870917
2,1,2,13,2326440624
2,1,2,14,10021590363
2,1,2,15,42949672966
2,1,2,16,183251937969
2,1,2,17,778820736348
2,1,2,18,3298534883335
2,1,2,19,13927147285170
2,1,2,20,58640620148061
2,1,2,21,246290604621832
2,1,2,22,1032074914605747
2,1,2,23,4315949642896734
2,1,2,24,18014398509481993
2,1,2,25,75059993789508276
2,1,2,26,312249574164354399
2,1,2,27,1297036692682702858
2,1,2,28,5380300354831952565
2,1,2,29,22289815755732374880
2,1,2,30,92233720368547758091
2,0,1,0,1
2,0,1,1,5
2,0,1,2,14
2,0,1,3,30
2,0,1,4,55
2,0,1,5,91
2,0,1,6,140
2,0,1,7,204
2,0,1,8,285
2,0,1,9,385
2,0,1,10,506
2,0,1,11,650
2,0,1,12,819
2,0,1,13,1015
2,0,1,14,1240
2,0,1,15,1496
2,0,1,16,1785
2,0,1,17,2109
2,0,1,18,2470
2,0,1,19,2870
2,0,1,20,3311
2,0,1,21,3795
