size,D,E,T,B,F_t0,F_t1,F_t2,Q_v1,P_u1_v_minus1,complement,difference
0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,1,1,1,0,0
2,-1,1,-1,-1,-1,-2,-5,-1,-1,0,-1
3,-1,-1,0,-2,0,-1,-4,1,-1,-1,1
4,1,-1,1,1,0,2,8,1,0,0,2
5,1,-1,0,2,-1,-3,-9,-1,1,4,1
6,-1,1,-1,3,-1,-2,-5,1,-1,3,-1
7,-1,-1,0,-2,0,-1,-4,1,-1,-4,2
8,1,-1,1,1,0,2,8,1,0,0,3
9,1,-1,0,2,-1,-3,-9,-1,1,9,1
10,-1,-1,-1,3,1,4,13,1,-1,8,0
11,-1,1,0,4,0,3,12,-1,-1,-8,-1
12,1,-1,1,-3,0,2,8,-1,0,-7,1
13,1,-1,0,2,-1,-3,-9,-1,1,8,0
14,-1,1,-1,3,-1,-2,-5,1,-1,8,-1
15,-1,-1,0,-2,0,-1,-4,1,-1,-9,3
16,1,-1,1,1,0,2,8,1,0,0,4
17,1,-1,0,2,-1,-3,-9,-1,1,16,1
18,-1,-1,-1,3,1,4,13,1,-1,15,-1
19,-1,1,0,4,0,3,12,-1,-1,-16,0
20,1,1,1,-3,0,-4,-16,-1,0,-16,1
21,1,1,0,-4,1,5,17,1,1,17,1
22,-1,-1,-1,-5,1,4,13,-1,-1,16,0
23,-1,1,0,4,0,3,12,-1,-1,-16,-1
24,1,-1,1,-3,0,2,8,-1,0,-15,1
25,1,-1,0,2,-1,-3,-9,-1,1,16,0
26,-1,-1,-1,3,1,4,13,1,-1,16,-1
27,-1,1,0,4,0,3,12,-1,-1,-17,1
28,1,-1,1,-3,0,2,8,-1,0,-16,0
29,1,-1,0,2,-1,-3,-9,-1,1,16,-1
30,-1,1,-1,3,-1,-2,-5,1,-1,15,-1
31,-1,-1,0,-2,0,-1,-4,1,-1,-16,4
32,1,-1,1,1,0,2,8,1,0,0,5
33,1,-1,0,2,-1,-3,-9,-1,1,25,1
34,-1,-1,-1,3,1,4,13,1,-1,24,-2
35,-1,1,0,4,0,3,12,-1,-1,-28,1
36,1,1,1,-3,0,-4,-16,-1,0,-27,3
37,1,1,0,-4,1,5,17,1,1,36,2
38,-1,-1,-1,-5,1,4,13,-1,-1,32,-1
39,-1,1,0,4,0,3,12,-1,-1,-33,1
40,1,1,1,-3,0,-4,-16,-1,0,-32,2
41,1,1,0,-4,1,5,17,1,1,36,1
42,-1,1,-1,-5,-1,-6,-21,-1,-1,35,1
43,-1,-1,0,-6,0,-5,-20,1,-1,-36,-2
44,1,1,1,5,0,-4,-16,1,0,-32,1
45,1,1,0,-4,1,5,17,1,1,33,1
46,-1,-1,-1,-5,1,4,13,-1,-1,32,0
47,-1,1,0,4,0,3,12,-1,-1,-32,-1
48,1,-1,1,-3,0,2,8,-1,0,-31,1
49,1,-1,0,2,-1,-3,-9,-1,1,32,0
50,-1,-1,-1,3,1,4,13,1,-1,32,-1
51,-1,1,0,4,0,3,12,-1,-1,-33,1
52,1,1,1,-3,0,-4,-16,-1,0,-32,2
53,1,1,0,-4,1,5,17,1,1,36,1
54,-1,-1,-1,-5,1,4,13,-1,-1,35,-1
55,-1,1,0,4,0,3,12,-1,-1,-36,2
56,1,-1,1,-3,0,2,8,-1,0,-32,-1
57,1,-1,0,2,-1,-3,-9,-1,1,33,-1
58,-1,-1,-1,3,1,4,13,1,-1,32,-2
59,-1,1,0,4,0,3,12,-1,-1,-36,3
60,1,-1,1,-3,0,2,8,-1,0,-27,-1
61,1,-1,0,2,-1,-3,-9,-1,1,28,-2
62,-1,1,-1,3,-1,-2,-5,1,-1,24,-1
63,-1,-1,0,-2,0,-1,-4,1,-1,-25,5
64,1,-1,1,1,0,2,8,1,0,0,6
