size,binary,gray,runs,one_runs,a,b,constant,t_squared_coefficient
1,1,1,1,1,0,1,1,0
2,10,11,2,1,1,1,-1,-1
3,11,10,1,1,1,0,0,-1
4,100,110,2,1,2,0,0,2
5,101,111,3,2,2,1,-1,-2
6,110,101,2,1,1,1,-1,-1
7,111,100,1,1,1,0,0,-1
8,1000,1100,2,1,2,0,0,2
9,1001,1101,3,2,2,1,-1,-2
10,1010,1111,4,2,3,1,1,3
11,1011,1110,3,2,3,0,0,3
12,1100,1010,2,1,2,0,0,2
13,1101,1011,3,2,2,1,-1,-2
14,1110,1001,2,1,1,1,-1,-1
15,1111,1000,1,1,1,0,0,-1
16,10000,11000,2,1,2,0,0,2
17,10001,11001,3,2,2,1,-1,-2
18,10010,11011,4,2,3,1,1,3
19,10011,11010,3,2,3,0,0,3
20,10100,11110,4,2,4,0,0,-4
21,10101,11111,5,3,4,1,1,4
22,10110,11101,4,2,3,1,1,3
23,10111,11100,3,2,3,0,0,3
24,11000,10100,2,1,2,0,0,2
25,11001,10101,3,2,2,1,-1,-2
26,11010,10111,4,2,3,1,1,3
27,11011,10110,3,2,3,0,0,3
28,11100,10010,2,1,2,0,0,2
29,11101,10011,3,2,2,1,-1,-2
30,11110,10001,2,1,1,1,-1,-1
31,11111,10000,1,1,1,0,0,-1
32,100000,110000,2,1,2,0,0,2
33,100001,110001,3,2,2,1,-1,-2
34,100010,110011,4,2,3,1,1,3
35,100011,110010,3,2,3,0,0,3
36,100100,110110,4,2,4,0,0,-4
37,100101,110111,5,3,4,1,1,4
38,100110,110101,4,2,3,1,1,3
39,100111,110100,3,2,3,0,0,3
40,101000,111100,4,2,4,0,0,-4
41,101001,111101,5,3,4,1,1,4
42,101010,111111,6,3,5,1,-1,-5
43,101011,111110,5,3,5,0,0,-5
44,101100,111010,4,2,4,0,0,-4
45,101101,111011,5,3,4,1,1,4
46,101110,111001,4,2,3,1,1,3
47,101111,111000,3,2,3,0,0,3
48,110000,101000,2,1,2,0,0,2
49,110001,101001,3,2,2,1,-1,-2
50,110010,101011,4,2,3,1,1,3
51,110011,101010,3,2,3,0,0,3
52,110100,101110,4,2,4,0,0,-4
53,110101,101111,5,3,4,1,1,4
54,110110,101101,4,2,3,1,1,3
55,110111,101100,3,2,3,0,0,3
56,111000,100100,2,1,2,0,0,2
57,111001,100101,3,2,2,1,-1,-2
58,111010,100111,4,2,3,1,1,3
59,111011,100110,3,2,3,0,0,3
60,111100,100010,2,1,2,0,0,2
61,111101,100011,3,2,2,1,-1,-2
62,111110,100001,2,1,1,1,-1,-1
63,111111,100000,1,1,1,0,0,-1
64,1000000,1100000,2,1,2,0,0,2
65,1000001,1100001,3,2,2,1,-1,-2
66,1000010,1100011,4,2,3,1,1,3
67,1000011,1100010,3,2,3,0,0,3
68,1000100,1100110,4,2,4,0,0,-4
69,1000101,1100111,5,3,4,1,1,4
70,1000110,1100101,4,2,3,1,1,3
71,1000111,1100100,3,2,3,0,0,3
72,1001000,1101100,4,2,4,0,0,-4
73,1001001,1101101,5,3,4,1,1,4
74,1001010,1101111,6,3,5,1,-1,-5
75,1001011,1101110,5,3,5,0,0,-5
76,1001100,1101010,4,2,4,0,0,-4
77,1001101,1101011,5,3,4,1,1,4
78,1001110,1101001,4,2,3,1,1,3
79,1001111,1101000,3,2,3,0,0,3
80,1010000,1111000,4,2,4,0,0,-4
81,1010001,1111001,5,3,4,1,1,4
82,1010010,1111011,6,3,5,1,-1,-5
83,1010011,1111010,5,3,5,0,0,-5
84,1010100,1111110,6,3,6,0,0,6
85,1010101,1111111,7,4,6,1,-1,-6
86,1010110,1111101,6,3,5,1,-1,-5
87,1010111,1111100,5,3,5,0,0,-5
88,1011000,1110100,4,2,4,0,0,-4
89,1011001,1110101,5,3,4,1,1,4
90,1011010,1110111,6,3,5,1,-1,-5
91,1011011,1110110,5,3,5,0,0,-5
92,1011100,1110010,4,2,4,0,0,-4
93,1011101,1110011,5,3,4,1,1,4
94,1011110,1110001,4,2,3,1,1,3
95,1011111,1110000,3,2,3,0,0,3
96,1100000,1010000,2,1,2,0,0,2
97,1100001,1010001,3,2,2,1,-1,-2
98,1100010,1010011,4,2,3,1,1,3
99,1100011,1010010,3,2,3,0,0,3
100,1100100,1010110,4,2,4,0,0,-4
101,1100101,1010111,5,3,4,1,1,4
102,1100110,1010101,4,2,3,1,1,3
103,1100111,1010100,3,2,3,0,0,3
104,1101000,1011100,4,2,4,0,0,-4
105,1101001,1011101,5,3,4,1,1,4
106,1101010,1011111,6,3,5,1,-1,-5
107,1101011,1011110,5,3,5,0,0,-5
108,1101100,1011010,4,2,4,0,0,-4
109,1101101,1011011,5,3,4,1,1,4
110,1101110,1011001,4,2,3,1,1,3
111,1101111,1011000,3,2,3,0,0,3
112,1110000,1001000,2,1,2,0,0,2
113,1110001,1001001,3,2,2,1,-1,-2
114,1110010,1001011,4,2,3,1,1,3
115,1110011,1001010,3,2,3,0,0,3
116,1110100,1001110,4,2,4,0,0,-4
117,1110101,1001111,5,3,4,1,1,4
118,1110110,1001101,4,2,3,1,1,3
119,1110111,1001100,3,2,3,0,0,3
120,1111000,1000100,2,1,2,0,0,2
121,1111001,1000101,3,2,2,1,-1,-2
122,1111010,1000111,4,2,3,1,1,3
123,1111011,1000110,3,2,3,0,0,3
124,1111100,1000010,2,1,2,0,0,2
125,1111101,1000011,3,2,2,1,-1,-2
126,1111110,1000001,2,1,1,1,-1,-1
127,1111111,1000000,1,1,1,0,0,-1
128,10000000,11000000,2,1,2,0,0,2
129,10000001,11000001,3,2,2,1,-1,-2
130,10000010,11000011,4,2,3,1,1,3
131,10000011,11000010,3,2,3,0,0,3
132,10000100,11000110,4,2,4,0,0,-4
133,10000101,11000111,5,3,4,1,1,4
134,10000110,11000101,4,2,3,1,1,3
135,10000111,11000100,3,2,3,0,0,3
136,10001000,11001100,4,2,4,0,0,-4
137,10001001,11001101,5,3,4,1,1,4
138,10001010,11001111,6,3,5,1,-1,-5
139,10001011,11001110,5,3,5,0,0,-5
140,10001100,11001010,4,2,4,0,0,-4
141,10001101,11001011,5,3,4,1,1,4
142,10001110,11001001,4,2,3,1,1,3
143,10001111,11001000,3,2,3,0,0,3
144,10010000,11011000,4,2,4,0,0,-4
145,10010001,11011001,5,3,4,1,1,4
146,10010010,11011011,6,3,5,1,-1,-5
147,10010011,11011010,5,3,5,0,0,-5
148,10010100,11011110,6,3,6,0,0,6
149,10010101,11011111,7,4,6,1,-1,-6
150,10010110,11011101,6,3,5,1,-1,-5
151,10010111,11011100,5,3,5,0,0,-5
