n,g_n,"H_n (n by n, H_0=1)"
0,1,1
1,1,1
2,3,2
3,8,-3
4,20,-17
5,53,-88
6,141,-199
7,378,3321
8,1026,45898
9,2808,815949
10,7746,5865903
11,21526,-353902160
12,60208,-33250757823
13,169391,-1662036502303
14,479103,-71797322924206
15,1361584,20970421804466029
16,3886372,2944866357991690431
17,11136722,859117693766889407384
18,32028136,-53062134201723981677543
19,92413076,-97872050488209331747882823
20,267450882,-60416484856865568190209933414
21,776172314,
22,2258302068,
23,6586156124,
24,19250110402,
25,56379135660,
26,165434871522,
27,486300262392,
28,1431862310234,
29,4222526459457,
30,12470301510773,
31,36878872361402,
32,109204426338802,
33,323767635391676,
34,961011071752110,
35,2855607840862678,
36,8494140618927432,
37,25291137292794248,
38,75374473168345078,
