n,h_n,h_n_star,normalized_h_n
0,1,1,1
1,1,0,5
2,-71,2684,-71
3,-1633125,52144375,-13065
4,-498130468750,10296680078125,-1275214
5,87785612945556640625,-5531454127960205078125,2876558965
6,691831908588349819183349609375,-44724617275992393493652343750000,11607013366079
7,-48441860346058398135937750339508056640625,7913295535992678895127028226852416992187500,-16644496475497605
8,-23313992999535078221203576731568318791687488555908203125,2208711331418538236713477118655646336264908313751220703125,-6562305636576533162549
9,-71030443852211016166826320576005437956723653769586235284805297851562500,6721384742091390050278990703712909959843813112456700764596462249755859375,-655140209591866308320622100
10,23732478549414211948229018845599522138542527530287451487112093673204071819782257080078125,-3095586711817613683598846231187319635650221692313270593910345951371709816157817840576171875,286908060818371818543108342531949
11,1573090955114913634995112776048710325291113729349625128915377082262395946887778563905158080160617828369140625,-201005207323503951410625921298406209518405116245393194131004615773147120583175251340435352176427841186523437500,997064846732509472767744826230525722405
12,1202134482305508012231793429269092278477386739512444568508335446562176019878376276905419285656595462796758511103689670562744140625,-127696986082267396518560011461320454654038409309718952505781549698395081906768913206713829400218429555025068111717700958251953125000,1597910808578887829081896279579609750527676721
