m,X_m,Y_m,alpha_m,beta_m
0,infinity,infinity,undefined,undefined
1,0,0,undefined,0
2,71/25,-1974/125,-2684/71,-71
3,65325/5041,14724605/357911,1089691/185523,-1633125/5041
4,-90540194/170694225,-5029380490811/2230120049625,37515003121/3332134182,90540194/6827769
5,37582242877725/1626170745796,-309984306133163864085/2073715701429500344,-31062771578363129/733645652798702,-939556071943125/1626170745796
6,14801425942611065906/8274591479121871225,71225555432610820099585901406/23802350300980628999849282125,-10922710656714915442141/6677651671013874869647,-14801425942611065906/330983659164874849
7,47878875554503538498778825/134722759280336558067834241,-9859764313436801457755403927759272891590/1563728867681910068454933758046824111039,-3814010400605402777061536188516/38638578612551101591510548159,-1196971888862588462469470625/134722759280336558067834241
8,76168769236039381044938039749775371/277039262922852194962132360736025,19934482810308895071107272400821948534484444517540839/4611179035293867678419950703228328391375924720125,1498998979269890709746447813638638510151/21845254607827234677611219659825039029,-76168769236039381044938039749775371/11081570516914087798485294429441
9,-10904478909508581001507818347608980660070500/43063855267844138140204804139846751656177401,-144702301680385875520638050603245648979358771376550678118883020645/282598180156889617956151138828375977466934268198672596490713355149,95241983386121328556737372488563151955456749849/859846058030527118359989097827889074477620346580,272611972737714525037695458690224516501762500/43063855267844138140204804139846751656177401
10,1882778384687644168833425922781662047173254123042778001/429208694224074515216767330133119501283212131008410000,-6367220364462059606519618361040146409964250059128412564054515773179606784346114101/281191873892611436080204329886402448898847848046155188570826111839671531861000000,-1346201854168641617188865674876640464364891156765090464336649/37593001419628807804808065362978844323567072796880961094580,-1882778384687644168833425922781662047173254123042778001/17168347768962980608670693205324780051328485240336400
11,653217272665018313075377424132962301172137657314046471961508150500/82316235362558542303482915236868198810522324154364843120085738601,474511384115430780703361974909494602053591916063741218610498555280566509546114178798876828715306100/23617191461740355237999772001314494344016117036190007625426968709671564096403242940320998105063349,152157936071057946608434104003688583550231165504836429465648431278103351/57213188337238280717861174381152611681276446404562241948446746003523469,-16330431816625457826884435603324057529303441432851161799037703762500/82316235362558542303482915236868198810522324154364843120085738601
12,-458453491450085238285891562560394380057360084009868470123262734237753686059229/994138308589722605853995505560151278992700561866350377645844161750347118984025,-2884535550018988630753261619500663821792428392647160376033587149348123895085607790676767363175551948027231227173805574/991220360284927975471808040853924074771572479750565664395124517283027254241212658482648222122342009267952852779580125,6867425836783932454795477803063082834290066755808085520407574371718051019553660952116/318644139089585815215363437095859943252400943206638262222109454359354010410965326801,458453491450085238285891562560394380057360084009868470123262734237753686059229/39765532343588904234159820222406051159708022474654015105833766470013884759361
