n,q_n,mu_n
0,1,1
1,-1,1
2,0,2
3,1,2
4,-2,3
5,1,4
6,2,4
7,-6,6
8,6,7
9,3,6
10,-20,11
11,30,10
12,-6,6
13,-65,22
14,140,8
15,-98,0
16,-182,57
17,616,-26
18,-708,-11
19,-294,186
20,2520,-233
21,-4149,56
22,1188,639
23,9240,-1298
24,-21670,914
25,17028,1938
26,27456,-6278
27,-103246,7176
28,128128,3602
29,39039,-27428
30,-446524,44788
31,784784,-11124
32,-288574,-106075
33,-1692964,245498
34,4253808,-187713
35,-3661086,-332350
36,-5013776,1215977
37,20857096,-1489504
38,-27562236,-533899
39,-5354048,5435482
40,91954224,-9452233
