n,q_n,mu_n
0,1,1
1,-1,1
2,1,2
3,0,2
4,-3,4
5,9,5
6,-17,6
7,20,15
8,1,6
9,-80,35
10,251,25
11,-485,17
12,543,185
13,246,-176
14,-3093,536
15,9141,12
16,-16935,-774
17,16557,4701
18,18969,-9105
19,-136554,14613
20,374073,-2454
21,-648612,-46284
22,506925,180393
23,1216791,-381435
24,-6427529,509760
25,16285394,34254
26,-25990379,-2361096
27,13742611,7956809
28,72990029,-16182632
29,-313304285,18907091
30,734330727,10127816
31,-1059824064,-121537925
32,210715929,370025558
33,4238027245,-703947279
34,-15580896235,695210289
35,33765316282,899360745
36,-43037512271,-6349869082
37,-10896113647,17666527102
38,241418162179,-31067234047
39,-783652321932,23987905025
40,1566715410597,63895694953
