n,degree,coefficient
0,0,1
1,0,1
2,0,1
2,1,0
2,2,1
3,0,1
3,1,0
3,2,2
3,3,1
3,4,1
4,0,1
4,1,0
4,2,3
4,3,2
4,4,4
4,5,2
4,6,1
5,0,1
5,1,0
5,2,4
5,3,3
5,4,8
5,5,7
5,6,7
5,7,3
5,8,1
6,0,1
6,1,0
6,2,5
6,3,4
6,4,13
6,5,14
6,6,20
6,7,16
6,8,11
6,9,4
6,10,1
7,0,1
7,1,0
7,2,6
7,3,5
7,4,19
7,5,23
7,6,40
7,7,43
7,8,44
7,9,30
7,10,16
7,11,5
7,12,1
8,0,1
8,1,0
8,2,7
8,3,6
8,4,26
8,5,34
8,6,68
8,7,86
8,8,111
8,9,106
8,10,86
8,11,50
8,12,22
8,13,6
8,14,1
9,0,1
9,1,0
9,2,8
9,3,7
9,4,34
9,5,47
9,6,105
9,7,148
9,8,222
9,9,259
9,10,273
9,11,226
9,12,153
9,13,77
9,14,29
9,15,7
9,16,1
10,0,1
10,1,0
10,2,9
10,3,8
10,4,43
10,5,62
10,6,152
10,7,232
10,8,389
10,9,518
10,10,648
10,11,672
10,12,602
10,13,434
10,14,253
10,15,112
10,16,37
10,17,8
10,18,1
11,0,1
11,1,0
11,2,10
11,3,9
11,4,53
11,5,79
11,6,210
11,7,341
11,8,625
11,9,917
11,10,1296
11,11,1565
11,12,1696
11,13,1555
11,14,1212
11,15,770
11,16,395
11,17,156
11,18,46
11,19,9
11,20,1
12,0,1
12,1,0
12,2,11
12,3,10
12,4,64
12,5,98
12,6,280
12,7,478
12,8,944
12,9,1494
12,10,2320
12,11,3130
12,12,3885
12,13,4214
12,14,4029
12,15,3284
12,16,2265
12,17,1284
12,18,589
12,19,210
12,20,56
12,21,10
12,22,1
13,0,1
13,1,0
13,2,12
13,3,11
13,4,76
13,5,119
13,6,363
13,7,646
13,8,1361
13,9,2291
13,10,3841
13,11,5648
13,12,7770
13,13,9533
13,14,10573
13,15,10315
13,16,8808
13,17,6438
13,18,3982
13,19,2037
13,20,846
13,21,275
13,22,67
13,23,11
13,24,1
14,0,1
14,1,0
14,2,13
14,3,12
14,4,89
14,5,142
14,6,460
14,7,848
14,8,1892
14,9,3354
14,10,5999
14,11,9460
14,12,14129
14,13,19066
14,14,23662
14,15,26392
14,16,26412
14,17,23296
14,18,17944
14,19,11868
14,20,6655
14,21,3102
14,22,1178
14,23,352
14,24,79
14,25,12
14,26,1
15,0,1
15,1,0
15,2,14
15,3,13
15,4,103
15,5,167
15,6,572
15,7,1087
15,8,2554
15,9,4733
15,10,8954
15,11,14972
15,12,23940
15,13,34885
15,14,47324
15,15,58547
15,16,66151
15,17,67292
15,18,61214
15,19,49126
15,20,34430
15,21,20779
15,22,10660
15,23,4565
15,24,1598
15,25,442
15,26,92
15,27,13
15,28,1
16,0,1
16,1,0
16,2,15
16,3,14
16,4,118
16,5,194
16,6,700
16,7,1366
16,8,3365
16,9,6482
16,10,12887
16,11,22660
16,12,38406
16,13,59668
16,14,87083
16,15,117094
16,16,145630
16,17,165578
16,18,171361
16,19,159688
16,20,132902
16,21,97680
16,22,62767
16,23,34826
16,24,16471
16,25,6526
16,26,2120
16,27,546
16,28,106
16,29,14
16,30,1
17,0,1
17,1,0
17,2,16
17,3,15
17,4,134
17,5,223
17,6,845
17,7,1688
17,8,4344
17,9,8659
17,10,18001
17,11,33075
17,12,58981
17,13,96794
17,14,150272
17,15,216521
17,16,291260
17,17,362151
17,18,415277
17,19,435413
17,20,414825
17,21,355840
17,22,272570
17,23,184613
17,24,109499
17,25,56225
17,26,24675
17,27,9100
17,28,2759
17,29,665
17,30,121
17,31,15
17,32,1
18,0,1
18,1,0
18,2,17
18,3,16
18,4,151
18,5,254
18,6,1008
18,7,2056
18,8,5511
18,9,11326
18,10,24522
18,11,46848
18,12,87397
18,13,150444
18,14,246379
18,15,376504
18,16,540959
18,17,724302
18,18,903110
18,19,1041480
18,20,1105827
18,21,1073176
18,22,945555
18,23,750256
18,24,531856
18,25,333866
18,26,183873
18,27,87880
18,28,35988
18,29,12418
18,30,3531
18,31,800
18,32,137
18,33,16
18,34,1
19,0,1
19,1,0
19,2,18
19,3,17
19,4,169
19,5,287
19,6,1190
19,7,2473
19,8,6887
19,9,14549
19,10,32700
19,11,64695
19,12,125692
19,13,225708
19,14,387426
19,15,623055
19,16,947321
19,17,1350505
19,18,1806220
19,19,2253615
19,20,2615004
19,21,2805658
19,22,2768718
19,23,2496417
19,24,2043054
19,25,1506479
19,26,993370
19,27,580944
19,28,298641
19,29,133527
19,30,51272
19,31,16628
19,32,4453
19,33,952
19,34,154
19,35,17
19,36,1
20,0,1
20,1,0
20,2,19
20,3,18
20,4,188
20,5,322
20,6,1392
20,7,2942
20,8,8494
20,9,18398
20,10,42810
20,11,87422
20,12,176239
20,13,328698
20,14,588382
20,15,989810
20,16,1581298
20,17,2379922
20,18,3379744
20,19,4507230
20,20,5633359
20,21,6568450
20,22,7116204
