n,kind,rank_lower_bound,k,b,U_n_k_b,normalized_ratio
6,LC,0,1,6,15,5/12
6,LC,0,2,1,0,0
6,LC,0,2,2,0,0
6,LC,0,2,3,1,2/3
6,LC,0,2,4,1,3/8
6,LC,0,2,5,2,12/25
6,LC,0,2,6,4,2/3
6,LC,0,2,7,4,24/49
6,LC,0,2,8,5,15/32
6,LC,0,2,9,7,14/27
6,LC,0,2,10,10,3/5
6,LC,0,2,11,10,60/121
6,LC,0,2,12,11,11/24
6,LC,0,2,13,13,6/13
6,LC,0,2,14,16,24/49
6,LC,0,2,15,20,8/15
6,LC,0,3,1,0,0
6,LC,0,3,2,0,0
6,LC,0,3,3,0,0
6,LC,0,3,4,1,15/16
6,LC,0,3,5,1,3/5
6,LC,0,3,6,1,5/12
6,LC,0,3,7,2,30/49
6,LC,0,3,8,2,15/32
6,LC,0,3,9,3,5/9
6,LC,0,3,10,5,3/4
6,LC,0,3,11,5,75/121
6,LC,0,3,12,5,25/48
6,LC,0,3,13,6,90/169
6,LC,0,3,14,6,45/98
6,LC,0,3,15,7,7/15
6,LC,0,3,16,9,135/256
6,LC,0,3,17,9,135/289
6,LC,0,3,18,10,25/54
6,LC,0,3,19,12,180/361
6,LC,0,3,20,15,9/16
6,LC,0,4,1,0,0
6,LC,0,4,2,0,0
6,LC,0,4,3,0,0
6,LC,0,4,4,0,0
6,LC,0,4,5,1,4/5
6,LC,0,4,6,1,5/9
6,LC,0,4,7,1,20/49
6,LC,0,4,8,1,5/16
6,LC,0,4,9,2,40/81
6,LC,0,4,10,2,2/5
6,LC,0,4,11,2,40/121
6,LC,0,4,12,3,5/12
6,LC,0,4,13,3,60/169
6,LC,0,4,14,4,20/49
6,LC,0,4,15,6,8/15
6,LC,0,5,1,0,0
6,LC,0,5,2,0,0
6,LC,0,5,3,0,0
6,LC,0,5,4,0,0
6,LC,0,5,5,0,0
6,LC,0,5,6,1,5/12
5,OLC,0,1,5,10,4/5
5,OLC,0,2,1,0,0
5,OLC,0,2,2,0,0
5,OLC,0,2,3,1,5/6
5,OLC,0,2,4,1,15/32
5,OLC,0,2,5,2,3/5
5,OLC,0,2,6,4,5/6
5,OLC,0,2,7,4,30/49
5,OLC,0,2,8,5,75/128
5,OLC,0,2,9,7,35/54
5,OLC,0,2,10,10,3/4
5,OLC,0,3,1,0,0
5,OLC,0,3,2,0,0
5,OLC,0,3,3,0,0
5,OLC,0,3,4,1,5/6
5,OLC,0,3,5,1,8/15
5,OLC,0,3,6,1,10/27
5,OLC,0,3,7,2,80/147
5,OLC,0,3,8,2,5/12
5,OLC,0,3,9,3,40/81
5,OLC,0,3,10,5,2/3
5,OLC,0,4,1,0,0
5,OLC,0,4,2,0,0
5,OLC,0,4,3,0,0
5,OLC,0,4,4,0,0
5,OLC,0,4,5,1,1/2
2,ULC,0,1,2,1,1
3,ULC,0,1,3,3,1
3,ULC,0,2,1,0,0
3,ULC,0,2,2,0,0
3,ULC,0,2,3,1,1
4,ULC,0,1,4,6,1
4,ULC,0,2,1,0,0
4,ULC,0,2,2,0,0
4,ULC,0,2,3,1,1
4,ULC,0,2,4,1,9/16
4,ULC,0,2,5,2,18/25
4,ULC,0,2,6,4,1
4,ULC,0,3,1,0,0
4,ULC,0,3,2,0,0
4,ULC,0,3,3,0,0
4,ULC,0,3,4,1,1
7,LC,6,1,7,21,3/7
7,LC,6,2,15,20,28/45
7,LC,6,2,16,20,35/64
7,LC,6,2,17,21,147/289
7,LC,6,2,18,23,161/324
7,LC,6,2,19,26,182/361
7,LC,6,2,20,30,21/40
7,LC,6,2,21,35,5/9
7,LC,6,3,20,15,63/80
7,LC,6,3,21,15,5/7
7,LC,6,3,22,15,315/484
7,LC,6,3,23,16,336/529
7,LC,6,3,24,16,7/12
7,LC,6,3,25,17,357/625
7,LC,6,3,26,19,399/676
7,LC,6,3,27,19,133/243
7,LC,6,3,28,20,15/28
7,LC,6,3,29,22,462/841
7,LC,6,3,30,25,7/12
7,LC,6,3,31,25,525/961
7,LC,6,3,32,26,273/512
7,LC,6,3,33,28,196/363
7,LC,6,3,34,31,651/1156
7,LC,6,3,35,35,3/5
7,LC,6,4,15,6,14/15
7,LC,6,4,16,6,105/128
7,LC,6,4,17,6,210/289
7,LC,6,4,18,6,35/54
7,LC,6,4,19,7,245/361
7,LC,6,4,20,7,49/80
7,LC,6,4,21,7,5/9
7,LC,6,4,22,8,70/121
7,LC,6,4,23,8,280/529
7,LC,6,4,24,9,35/64
7,LC,6,4,25,11,77/125
7,LC,6,4,26,11,385/676
7,LC,6,4,27,11,385/729
7,LC,6,4,28,12,15/28
7,LC,6,4,29,12,420/841
7,LC,6,4,30,13,91/180
7,LC,6,4,31,15,525/961
7,LC,6,4,32,15,525/1024
7,LC,6,4,33,16,560/1089
7,LC,6,4,34,18,315/578
7,LC,6,4,35,21,3/5
7,LC,6,5,6,1,35/36
7,LC,6,5,7,1,5/7
7,LC,6,5,8,1,35/64
7,LC,6,5,9,1,35/81
7,LC,6,5,10,1,7/20
7,LC,6,5,11,2,70/121
7,LC,6,5,12,2,35/72
7,LC,6,5,13,2,70/169
7,LC,6,5,14,2,5/14
7,LC,6,5,15,3,7/15
7,LC,6,5,16,3,105/256
7,LC,6,5,17,3,105/289
7,LC,6,5,18,4,35/81
7,LC,6,5,19,4,140/361
7,LC,6,5,20,5,7/16
7,LC,6,5,21,7,5/9
7,LC,6,6,1,0,0
7,LC,6,6,2,0,0
7,LC,6,6,3,0,0
7,LC,6,6,4,0,0
7,LC,6,6,5,0,0
7,LC,6,6,6,0,0
7,LC,6,6,7,1,3/7
6,OLC,5,1,6,15,5/6
6,OLC,5,2,10,10,9/10
6,OLC,5,2,11,10,90/121
6,OLC,5,2,12,11,11/16
6,OLC,5,2,13,13,9/13
6,OLC,5,2,14,16,36/49
6,OLC,5,2,15,20,4/5
6,OLC,5,3,10,5,1
6,OLC,5,3,11,5,100/121
6,OLC,5,3,12,5,25/36
6,OLC,5,3,13,6,120/169
6,OLC,5,3,14,6,30/49
6,OLC,5,3,15,7,28/45
6,OLC,5,3,16,9,45/64
6,OLC,5,3,17,9,180/289
6,OLC,5,3,18,10,50/81
6,OLC,5,3,19,12,240/361
6,OLC,5,3,20,15,3/4
6,OLC,5,4,5,1,1
6,OLC,5,4,6,1,25/36
6,OLC,5,4,7,1,25/49
6,OLC,5,4,8,1,25/64
6,OLC,5,4,9,2,50/81
6,OLC,5,4,10,2,1/2
6,OLC,5,4,11,2,50/121
6,OLC,5,4,12,3,25/48
6,OLC,5,4,13,3,75/169
6,OLC,5,4,14,4,25/49
6,OLC,5,4,15,6,2/3
6,OLC,5,5,1,0,0
6,OLC,5,5,2,0,0
6,OLC,5,5,3,0,0
6,OLC,5,5,4,0,0
6,OLC,5,5,5,0,0
6,OLC,5,5,6,1,1/2
