n,kind,rank_lower_bound,k,max_ratio,maximizing_b,maximizing_c
6,LC,0,1,5/12,6,15
6,LC,0,2,2/3,6,4
6,LC,0,3,15/16,4,1
6,LC,0,4,4/5,5,1
6,LC,0,5,5/12,6,1
5,OLC,0,1,4/5,5,10
5,OLC,0,2,5/6,6,4
5,OLC,0,3,5/6,4,1
5,OLC,0,4,1/2,5,1
2,ULC,0,1,1,2,1
3,ULC,0,1,1,3,3
3,ULC,0,2,1,3,1
4,ULC,0,1,1,4,6
4,ULC,0,2,1,6,4
4,ULC,0,3,1,4,1
7,LC,6,1,3/7,7,21
7,LC,6,2,28/45,15,20
7,LC,6,3,63/80,20,15
7,LC,6,4,14/15,15,6
7,LC,6,5,35/36,6,1
7,LC,6,6,3/7,7,1
6,OLC,5,1,5/6,6,15
6,OLC,5,2,9/10,10,10
6,OLC,5,3,1,10,5
6,OLC,5,4,1,5,1
6,OLC,5,5,1/2,6,1
