r,N_r
0,1
1,2
2,4
3,9
4,21
5,48
6,106
7,227
8,475
9,978
10,1992
11,4029
12,8113
13,16292
14,32662
15,65415
16,130935
17,261990
18,524116
19,1048385
20,2096941
21,4194072
22,8388354
23,16776939
24,33554131
25,67108538
26,134217376
27,268435077
28,536870505
29,1073741388
30,2147483182
31,4294966799
32,8589934063
33,17179868622
34,34359737772
35,68719476105
36,137438952805
37,274877906240
38,549755813146
39,1099511626995
40,2199023254731
41,4398046510242
42,8796093021304
43,17592186043469
44,35184372087841
45,70368744176628
46,140737488354246
47,281474976709527
48,562949953420135
49,1125899906841398
50,2251799813683972
51,4503599627369169
52,9007199254739613
53,18014398509480552
54,36028797018962482
55,72057594037926395
56,144115188075854275
57,288230376151710090
58,576460752303421776
59,1152921504606845205
60,2305843009213692121
61,4611686018427386012
62,9223372036854773854
63,18446744073709549599
64,36893488147419101151
65,73786976294838204318
66,147573952589676410716
67,295147905179352823577
68,590295810358705649365
69,1180591620717411301008
70,2361183241434822604362
71,4722366482869645211139
72,9444732965739290424763
73,18889465931478580852082
74,37778931862957161706792
75,75557863725914323416285
76,151115727451828646835345
77,302231454903657293673540
78,604462909807314587350006
79,1208925819614629174703015
80,2417851639229258349409111
81,4835703278458516698821382
82,9671406556917033397646004
83,19342813113834066795295329
84,38685626227668133590594061
85,77371252455336267181191608
86,154742504910672534362386786
87,309485009821345068724777227
88,618970019642690137449558195
89,1237940039285380274899120218
90,2475880078570760549798244352
91,4951760157141521099596492709
92,9903520314283042199192989513
93,19807040628566084398385983212
94,39614081257132168796771970702
95,79228162514264337593543945775
96,158456325028528675187087896015
97,316912650057057350374175796590
98,633825300114114700748351597836
99,1267650600228229401496703200425
100,2535301200456458802993406405701
