modulus,residue,positive,negative,zero,positive_fraction
1,0,50000,50000,0,0.5
2,0,24999,25001,0,0.49998
2,1,25001,24999,0,0.50002
3,0,16666,16667,0,0.4999849998499985
3,1,16667,16667,0,0.5
3,2,16667,16666,0,0.5000150001500016
4,0,12499,12501,0,0.49996
4,1,12500,12500,0,0.5
4,2,12500,12500,0,0.5
4,3,12501,12499,0,0.50004
5,0,9993,10007,0,0.49965
5,1,10006,9994,0,0.5003
5,2,10008,9992,0,0.5004
5,3,10001,9999,0,0.50005
5,4,9992,10008,0,0.4996
6,0,8337,8329,0,0.5002400096003841
6,1,8336,8331,0,0.50014999700006
6,2,8331,8336,0,0.49985000299994
6,3,8329,8338,0,0.499730005399892
6,4,8331,8336,0,0.49985000299994
6,5,8336,8330,0,0.500180007200288
7,0,7158,7127,0,0.5010850542527127
7,1,7130,7156,0,0.499090018199636
7,2,7135,7151,0,0.499440011199776
7,3,7165,7121,0,0.5015399692006159
7,4,7143,7143,0,0.5
7,5,7120,7166,0,0.498390032199356
7,6,7149,7136,0,0.5004550227511375
8,0,6250,6250,0,0.5
8,1,6250,6250,0,0.5
8,2,6250,6250,0,0.5
8,3,6251,6249,0,0.50008
8,4,6249,6251,0,0.49992
8,5,6250,6250,0,0.5
8,6,6250,6250,0,0.5
8,7,6250,6250,0,0.5
9,0,5553,5558,0,0.4997749977499775
9,1,5556,5556,0,0.5
9,2,5558,5553,0,0.5002250022500225
9,3,5555,5556,0,0.4999549995499955
9,4,5555,5556,0,0.4999549995499955
9,5,5554,5557,0,0.4998649986499865
9,6,5558,5553,0,0.5002250022500225
9,7,5556,5555,0,0.5000450004500046
9,8,5555,5556,0,0.4999549995499955
10,0,4996,5004,0,0.4996
10,1,5003,4997,0,0.5003
10,2,5004,4996,0,0.5004
10,3,5001,4999,0,0.5001
10,4,4996,5004,0,0.4996
10,5,4997,5003,0,0.4997
10,6,5003,4997,0,0.5003
10,7,5004,4996,0,0.5004
10,8,5000,5000,0,0.5
10,9,4996,5004,0,0.4996
11,0,4545,4545,0,0.5
11,1,4542,4549,0,0.4996150038499615
11,2,4543,4548,0,0.4997250027499725
11,3,4545,4546,0,0.4999450005499945
11,4,4546,4545,0,0.5000549994500055
11,5,4544,4547,0,0.4998350016499835
11,6,4543,4548,0,0.4997250027499725
11,7,4545,4546,0,0.4999450005499945
11,8,4550,4541,0,0.5004949950500495
11,9,4550,4541,0,0.5004949950500495
11,10,4547,4544,0,0.5001649983500165
12,0,4167,4166,0,0.500060002400096
12,1,4167,4167,0,0.5
12,2,4165,4169,0,0.49976001919846413
12,3,4165,4169,0,0.49976001919846413
12,4,4166,4168,0,0.49988000959923207
12,5,4169,4164,0,0.50030001200048
12,6,4170,4163,0,0.500420016800672
12,7,4169,4164,0,0.50030001200048
12,8,4166,4167,0,0.499939997599904
12,9,4164,4169,0,0.49969998799952
12,10,4165,4168,0,0.499819992799712
12,11,4167,4166,0,0.500060002400096
