n,a_n,Delta_n
1,1,-4
2,5,7
3,18,9
4,63,-9
5,221,-47
6,776,-49
7,2725,81
8,9569,311
9,33602,249
10,117995,-665
11,414345,-2015
12,1454992,-1121
13,5109273,5153
14,17941453,12775
15,63002258,3817
16,221235399,-38313
17,776878533,-79119
18,2728045592,-1169
19,9579660701,275825
20,33639430153,477207
21,118126444802,-150055
22,414806579603,-1933113
23,1456612858961,-2788799
24,5114964721440,2004799
25,17961439747441,13231681
26,63072442405845,15655367
27,221481854849938,-19611191
28,777743974335503,-88612169
29,2731084630047981,-83124207
30,9590332426370856,168589071
31,33676904419722965,581062801
32,118258037456198129,404645111
33,415268673411717442,-1346371911
34,1458235523154196475,-3730261465
35,5120662783249549145,-1670390175
36,17981448760101521072,10233893599
37,63142704997061182473,23419086433
38,221728585251291236893,4232208295
39,778610379771144103698,-74978035543
40,2734127053579055123479,-143465817833
41,9601016040025223523413,17212714801
42,33714420432713927950392,533310665391
43,118389776704384319878221,854304653745
44,415731281992134647135513,-407420639273
45,1459859994992483876736002,-3698749228135
46,5126367192690050532551203,-4913511245433
47,18001480062767369023868321,4560553782401
48,63213045860681858907106880,25076403318399
49,221975590509882748113242081,26997080261761
50,779477750380934643662622885,-41750898967673
