n,j,real_root,imag_root,absolute_error_O1_over_n,n_times_error,refined_error,n_squared_times_refined_error,scaled_Chebyshev_residual
10,1,-11.183816409771559340734122086712778,-1.8998975522237215404590672805359156,0.057511033578650873595,0.57511033578650873595,0.0029129079315507198737,0.29129079315507198737,4.0202847e-80
20,1,-42.588916262029590397726550233529539,-3.6260833153719737296455494478017671,0.028499658458818079421,0.56999316917636158842,0.00038849387363698883339,0.15539754945479553335,1.9836439e-79
50,1,-258.4019047814014316329693062773553,-8.8738717071454501395519754510576679,0.011455085071892600637,0.57275425359463003187,0.000029668867419169730105,0.074172168547924325264,1.2240142e-78
100,1,-1023.3766812040341150054628166868173,-17.642837883420055704593049391684789,0.0057476199203145603977,0.57476199203145603977,5.15092291096137274e-6,0.0515092291096137274,2.6135989e-77
200,1,-4073.1442686304740858517065900583048,-35.189314188011738202384222885552271,0.0028799102140371614785,0.5759820428074322957,1.0973699062725020299e-6,0.043894796250900081197,6.7889671e-78
500,1,-25380.98917730745670765206230027827,-87.835619262715164529187421040779873,0.0011535699894321136901,0.57678499471605684506,1.6613859777973430124e-7,0.041534649444933575311,2.3508332e-75
10,2,-2.8685206700532583985720986043718056,-0.52752567696878008143778674571257396,0.067840649421847218381,0.67840649421847218381,0.014108966450730620556,1.4108966450730620556,1.2164137e-81
20,2,-10.711239706179386302958530696600062,-0.92900270369803457857530363707718212,0.029656420473941625904,0.59312840947883251809,0.0016254240159193442444,0.65016960636773769778,2.5105221e-80
50,2,-64.663189886384030515278161626484229,-2.2271297931645778046205491532329075,0.011528234361205139351,0.57641171806025696757,0.00011933526255567095555,0.29833815638917738887,1.6986982e-79
100,2,-255.90672308519880790170010691309821,-4.415029072221331399659970763058372,0.0057568243648777510577,0.57568243648777510577,0.000020620105728911836152,0.20620105728911836152,7.776963e-79
200,2,-1018.3485803464457990548026222158333,-8.7994895967349698091224726453158115,0.0028810669810628917616,0.57621339621257835232,4.3898693401931073552e-6,0.17559477360772429421,2.6979727e-77
500,2,-6345.3097964401152958167520122873838,-21.959770064947987885810507177904523,0.0011536443121213003225,0.57682215606065016125,6.645586524200274014e-7,0.16613966310500685035,3.2753055e-76
