first_move,poisoned_apery_grundy,normal_apery_grundy
4,2,3
6,4,5
8,3,4
9,6,7
10,5,6
12,5,6
13,7,8
14,9,10
15,11,12
16,9,10
17,12,13
18,8,9
19,14,15
20,6,7
21,15,16
22,13,14
23,16,17
24,16,17
25,17,18
26,18,19
27,19,20
28,12,13
29,20,21
30,21,22
31,23,24
32,15,16
33,23,24
34,24,25
35,25,26
36,17,18
37,25,26
38,27,28
39,27,28
40,10,11
41,29,30
42,26,27
43,29,30
44,22,23
45,30,31
46,30,31
47,26,27
48,31,32
49,32,33
50,28,29
51,32,33
52,35,36
53,34,35
54,35,36
55,35,36
56,37,38
57,37,38
58,34,35
59,40,41
60,34,35
61,41,42
62,42,43
63,43,44
64,38,39
65,39,40
66,43,44
67,45,46
68,44,45
69,46,47
70,44,45
71,47,48
72,33,34
73,44,45
74,48,49
75,48,49
76,47,48
77,51,52
78,50,51
79,52,53
80,36,37
81,53,54
82,53,54
83,54,55
84,55,56
85,57,58
86,56,57
87,58,59
88,51,52
89,58,59
90,58,59
91,59,60
92,59,60
93,61,62
94,61,62
95,63,64
96,61,62
97,56,57
98,65,66
99,65,66
100,64,65
101,68,69
102,62,63
103,66,67
104,67,68
105,69,70
106,69,70
107,67,68
108,69,70
109,67,68
110,71,72
111,70,71
112,68,69
113,74,75
114,74,75
115,74,75
116,73,74
117,73,74
118,75,76
119,73,74
120,75,76
121,77,78
122,76,77
123,76,77
124,49,50
125,75,76
126,77,78
127,81,82
128,80,81
129,81,82
130,82,83
131,83,84
132,82,83
133,82,83
134,83,84
135,79,80
136,79,80
137,84,85
138,85,86
139,85,86
140,84,85
141,87,88
142,86,87
143,88,89
144,88,89
145,91,92
146,88,89
147,89,90
148,89,90
149,93,94
150,92,93
151,94,95
152,87,88
153,95,96
154,95,96
155,96,97
156,94,95
157,98,99
158,97,98
159,97,98
160,93,94
161,92,93
162,99,100
163,100,101
164,99,100
165,100,101
166,101,102
167,90,91
168,101,102
169,90,91
170,100,101
171,101,102
172,104,105
173,103,104
174,104,105
175,106,107
176,105,106
177,78,79
178,103,104
179,78,79
180,60,61
181,109,110
182,106,107
183,109,110
184,108,109
185,110,111
186,109,110
187,107,108
188,107,108
189,112,113
190,111,112
191,113,114
192,111,112
193,114,115
194,115,116
195,114,115
196,114,115
197,118,119
198,116,117
199,118,119
200,116,117
201,116,117
202,121,122
203,119,120
204,120,121
205,121,122
206,124,125
207,122,123
208,117,118
209,124,125
210,123,124
211,123,124
212,122,123
213,123,124
214,125,126
215,120,121
216,127,128
217,128,129
218,126,127
219,129,130
220,128,129
221,126,127
222,131,132
223,132,133
224,129,130
225,133,134
226,132,133
227,134,135
228,133,134
229,134,135
230,135,136
231,137,138
232,130,131
233,137,138
234,134,135
235,136,137
236,138,139
237,139,140
238,140,141
239,138,139
240,136,137
241,142,143
242,142,143
243,142,143
244,141,142
245,143,144
246,144,145
247,146,147
248,144,145
249,144,145
250,147,148
251,147,148
252,146,147
253,150,151
254,149,150
255,149,150
256,149,150
257,148,149
258,151,152
259,154,155
260,102,103
261,151,152
262,148,149
263,155,156
264,150,151
