n,index,upper_masks,ideal_count_including_empty,omega_tower_inner_exponent
1,0,1,2,exception: omega^2
2,0,1;2,4,4
2,1,3;2,3,3
3,0,1;2;4,8,9
3,1,1;6;4,6,7
3,2,3;2;4,6,7
3,3,5;2;4,6,7
3,4,5;6;4,5,6
3,5,7;2;4,5,6
3,6,7;6;4,4,5
4,0,1;2;4;8,16,18
4,1,1;2;12;8,12,14
4,2,1;6;4;8,12,14
4,3,1;10;4;8,12,14
4,4,1;10;12;8,10,12
4,5,1;14;4;8,10,12
4,6,1;14;12;8,8,10
4,7,3;2;4;8,12,14
4,8,3;2;12;8,9,11
4,9,5;2;4;8,12,14
4,10,5;6;4;8,10,12
4,11,5;10;4;8,9,11
4,12,5;14;4;8,8,10
4,13,7;2;4;8,10,12
4,14,7;6;4;8,8,10
4,15,9;2;4;8,12,14
4,16,9;2;12;8,10,12
4,17,9;6;4;8,9,11
4,18,9;10;4;8,10,12
4,19,9;10;12;8,9,11
4,20,9;14;4;8,8,10
4,21,9;14;12;8,7,9
4,22,11;2;4;8,10,12
4,23,11;2;12;8,8,10
4,24,11;10;4;8,8,10
4,25,11;10;12;8,7,9
4,26,13;2;4;8,10,12
4,27,13;2;12;8,8,10
4,28,13;6;4;8,8,10
4,29,13;10;4;8,8,10
4,30,13;10;12;8,7,9
4,31,13;14;4;8,7,9
4,32,13;14;12;8,6,8
4,33,15;2;4;8,9,11
4,34,15;2;12;8,7,9
4,35,15;6;4;8,7,9
4,36,15;10;4;8,7,9
4,37,15;10;12;8,6,8
4,38,15;14;4;8,6,8
4,39,15;14;12;8,5,7
