n,relation,frontiers,frontier_height,width,max_type
1,,1,1,1,omega
2,,1,1,2,omega^2
2,0<1,2,2,1,omega*2
3,,1,1,3,omega^3
3,0<1,2,2,2,omega^2*2
3,0<2,2,2,2,omega^2*2
3,0<1;0<2,2,2,2,omega^2
3,1<2,2,2,2,omega^2*2
3,0<2;1<2,2,2,2,omega^2 + omega
3,0<1;0<2;1<2,3,3,1,omega*3
4,,1,1,4,omega^4
4,0<1,2,2,3,omega^3*2
4,0<2,2,2,3,omega^3*2
4,0<1;0<2,2,2,3,omega^3
4,0<3,2,2,3,omega^3*2
4,0<1;0<3,2,2,3,omega^3
4,0<2;0<3,2,2,3,omega^3
4,0<1;0<2;0<3,2,2,3,omega^3
4,1<2,2,2,3,omega^3*2
4,0<2;1<2,2,2,3,omega^3 + omega^2
4,0<1;0<2;1<2,3,3,2,omega^2*3
4,0<3;1<2,4,3,2,omega^2*4
4,0<2;0<3;1<2,3,3,2,omega^2*3
4,0<1;0<2;0<3;1<2,3,3,2,omega^2*2
4,1<3,2,2,3,omega^3*2
4,0<2;1<3,4,3,2,omega^2*4
4,0<3;1<3,2,2,3,omega^3 + omega^2
4,0<1;0<3;1<3,3,3,2,omega^2*3
4,0<2;0<3;1<3,3,3,2,omega^2*3
4,0<1;0<2;0<3;1<3,3,3,2,omega^2*2
4,1<2;1<3,2,2,3,omega^3
4,0<2;1<2;1<3,3,3,2,omega^2*3
4,0<3;1<2;1<3,3,3,2,omega^2*3
4,0<2;0<3;1<2;1<3,2,2,2,omega^2*2
4,0<1;0<2;0<3;1<2;1<3,3,3,2,omega^2
4,2<3,2,2,3,omega^3*2
4,0<1;2<3,4,3,2,omega^2*4
4,0<3;2<3,2,2,3,omega^3 + omega^2
4,0<1;0<3;2<3,3,3,2,omega^2*3
4,0<2;0<3;2<3,3,3,2,omega^2*3
4,0<1;0<2;0<3;2<3,3,3,2,omega^2*2
4,1<3;2<3,2,2,3,omega^3 + omega^2
4,0<3;1<3;2<3,2,2,3,omega^3 + omega
4,0<1;0<3;1<3;2<3,3,3,2,omega^2*2 + omega
4,0<2;0<3;1<3;2<3,3,3,2,omega^2*2 + omega
4,0<1;0<2;0<3;1<3;2<3,3,3,2,omega^2 + omega
4,1<2;1<3;2<3,3,3,2,omega^2*3
4,0<3;1<2;1<3;2<3,3,3,2,omega^2*2 + omega
4,0<2;0<3;1<2;1<3;2<3,3,3,2,omega^2 + omega*2
4,0<1;0<2;0<3;1<2;1<3;2<3,4,4,1,omega*4
5,,1,1,5,omega^5
5,0<1,2,2,4,omega^4*2
5,0<2,2,2,4,omega^4*2
5,0<1;0<2,2,2,4,omega^4
5,0<3,2,2,4,omega^4*2
5,0<1;0<3,2,2,4,omega^4
5,0<2;0<3,2,2,4,omega^4
5,0<1;0<2;0<3,2,2,4,omega^4
5,0<4,2,2,4,omega^4*2
5,0<1;0<4,2,2,4,omega^4
5,0<2;0<4,2,2,4,omega^4
5,0<1;0<2;0<4,2,2,4,omega^4
5,0<3;0<4,2,2,4,omega^4
5,0<1;0<3;0<4,2,2,4,omega^4
5,0<2;0<3;0<4,2,2,4,omega^4
5,0<1;0<2;0<3;0<4,2,2,4,omega^4
5,1<2,2,2,4,omega^4*2
5,0<2;1<2,2,2,4,omega^4 + omega^3
5,0<1;0<2;1<2,3,3,3,omega^3*3
5,0<3;1<2,4,3,3,omega^3*4
5,0<2;0<3;1<2,3,3,3,omega^3*3
5,0<1;0<2;0<3;1<2,3,3,3,omega^3*2
