a,h,v2_D,v5_D,C,V,T_h_mod_10_16,D_h_mod_10_16
499,0,1,0,0,,0000000000000001,0000000000000498
499,1,3,3,3,3,0000000000000499,4768250062499000
499,2,5,6,5,2,4768250062499499,7611780874500000
499,3,7,9,7,2,2380030936999499,1874624750000000
499,4,9,12,9,2,4254655686999499,3468625000000000
499,5,11,15,11,2,7723280686999499,1187500000000000
499,6,13,18,13,2,8910780686999499,6250000000000000
499,7,15,21,15,2,5160780686999499,5000000000000000
499,8,17,24,17,2,0160780686999499,0000000000000000
499,9,19,27,19,2,0160780686999499,0000000000000000
749,0,2,0,0,,0000000000000001,0000000000000748
749,1,4,3,3,3,0000000000000749,2347761929686000
749,2,6,6,6,3,2347761929686749,1493869827000000
749,3,8,9,8,2,3841631756686749,4443901500000000
749,4,10,12,10,2,8285533256686749,2316750000000000
749,5,12,15,12,2,0602283256686749,5375000000000000
749,6,14,18,14,2,5977283256686749,7500000000000000
749,7,16,21,16,2,3477283256686749,0000000000000000
749,8,18,24,18,2,3477283256686749,0000000000000000
749,9,20,27,20,2,3477283256686749,0000000000000000
2749,0,2,0,0,,0000000000000001,0000000000002748
2749,1,4,3,3,3,0000000000002749,3851756492182000
2749,2,6,6,6,3,3851756492184749,6009668063000000
2749,3,8,9,8,2,9861424555184749,9239329500000000
2749,4,10,12,10,2,9100754055184749,8421750000000000
2749,5,12,15,12,2,7522504055184749,1375000000000000
2749,6,14,18,14,2,8897504055184749,7500000000000000
2749,7,16,21,16,2,6397504055184749,0000000000000000
2749,8,18,24,18,2,6397504055184749,0000000000000000
2749,9,20,27,20,2,6397504055184749,0000000000000000
16249,0,3,0,0,,0000000000000001,0000000000016248
16249,1,6,4,4,4,0000000000016249,6628122070280000
16249,2,9,8,8,4,6628122070296249,1461735800000000
16249,3,12,12,12,4,8089857870296249,4613000000000000
16249,4,15,16,15,3,2702857870296249,5000000000000000
16249,5,18,20,18,3,7702857870296249,0000000000000000
16249,6,21,24,21,3,7702857870296249,0000000000000000
16249,7,24,28,24,3,7702857870296249,0000000000000000
16249,8,27,32,27,3,7702857870296249,0000000000000000
16249,9,30,36,30,3,7702857870296249,0000000000000000
781249,0,6,0,0,,0000000000000001,0000000000781248
781249,1,12,8,8,8,0000000000781249,2832641600000000
781249,2,18,16,16,8,2832641600781249,0000000000000000
781249,3,24,24,24,8,2832641600781249,0000000000000000
781249,4,30,32,30,6,2832641600781249,0000000000000000
781249,5,36,40,36,6,2832641600781249,0000000000000000
781249,6,42,48,42,6,2832641600781249,0000000000000000
781249,7,48,56,48,6,2832641600781249,0000000000000000
781249,8,54,64,54,6,2832641600781249,0000000000000000
781249,9,60,72,60,6,2832641600781249,0000000000000000
